cellName,trees,deconvolvedBy,rawX,rawY,rawZ,integratedX,integratedY,integratedZ
Apr6f-all,apical,Patrick,0.203,0.203,0.231,NA,NA,NA
Aug3a-all,"apical-basal",Doron,0.1,0.1,0.2,0.2,0.2,0.2
Aug3b-all,"apical-basal",Patrick,0.1,0.1,0.2,0.2,0.2,0.2
Aug3c-all,"apical-basal",Patrick,0.1,0.1,0.2,0.2,0.2,0.2
Aug3e-all,"apical-basal",Doron,0.25,0.25,0.2,0.25,0.25,0.2
Aug3f-all,"apical-basal",Doron,0.1,0.1,0.2,0.2,0.2,0.2
Aug3g-all,"apical-basal",Doron,0.1,0.1,0.2,0.2,0.2,0.2
Dec15d-all,apical,Patrick,0.1,0.1,0.2,0.2,0.2,0.2
Dec15e-all,apical,Doron,0.1,0.1,0.2,0.2,0.2,0.2
Feb27f-all,apical,Patrick,0.1,0.1,0.2,0.2,0.2,0.2
Feb27n-all,"apical-basal",Patrick,0.1,0.1,0.2,0.2,0.2,0.2
Jun7d-all,"apical-basal",Patrick,0.203,0.203,0.231,0.203,0.203,0.231
May31d-all,apical,Patrick,0.203,0.203,0.231,0.203,0.203,0.231
May31e-all,apical,Patrick,0.203,0.203,0.231,0.203,0.203,0.231
May3c-all,"apical-basal",Patrick,0.1,0.1,0.2,0.2,0.2,0.2
May3d-all,"apical-basal",Patrick,0.1,0.1,0.2,0.2,0.2,0.2
May3g-all,"apical-basal",Doron,0.25,0.25,0.2,0.25,0.25,0.2
May3h-all,"apical-basal",Patrick,0.1,0.1,0.2,0.2,0.2,0.2
May3i-all,"apical-basal",Doron,0.25,0.25,0.2,0.25,0.25,0.2
May3j-all,apical,Patrick,0.1,0.1,0.2,0.2,0.2,0.2
May3t-all,"apical-basal",Patrick,0.1,0.1,0.2,0.2,0.2,0.2
May3x-all,apical,Doron,0.1,0.1,0.2,0.2,0.2,0.2
May4_2000-all,"apical-basal",Patrick,0.098,0.098,0.081,0.2,0.2,0.2
