              ID  SECTION-NUMBER  SECTION-LENGTH    BRANCH-ORDER               X               Y               Z   HEAD-DIAMETER   NECK-DIAMETER         MAX-DTS            TYPE            AUTO   XYPLANE-ANGLE     SWC-NODE-ID SWC-NODE-OFFSET        ATTACH-X        ATTACH-Y        ATTACH-Z   SOMA-DISTANCE
               2              76      128.462524             N/A      251.199982      126.060760       34.655766        0.268759        0.020000        2.932280            thin             yes       -2.668143            1838        0.000000      248.272003      124.600998       34.503300      124.264206
               4              59       37.116676             N/A      203.465057      183.737900       34.644520        0.449075        0.020000        2.923342        mushroom             yes       17.401118              13        0.975405      203.683578      179.745499       35.897621       30.704002
               6              90       43.456474             N/A      304.063843      207.766571       14.394464        1.152227        0.309133        2.312327        mushroom             yes        7.242284            2863        0.000000      302.973694      209.965088       14.706311      150.139893
              11             114      160.743042             N/A      498.091003      141.102783       70.668610        0.486389        0.251251        2.322298        mushroom             yes       16.152655            5289        0.358457      496.093506      140.640182       71.262459      381.259705
              19              76      128.462524             N/A      245.511185      145.330521       36.753838        0.535263        0.020000        2.744209        mushroom             yes      -29.092423            1798        0.000000      243.041443      145.155121       35.376163      101.464409
              22             104       84.575325             N/A      419.933319      245.168365       55.371834        0.020000             N/A        2.891682            thin             yes       -5.822365            4389        0.000000      422.179993      247.173004       55.064800      290.536407
              24              59       37.116676             N/A      205.030594      178.396927       41.084888        0.408735        0.020000        2.801389        mushroom             yes      -73.946870              14        0.991920      205.063995      179.832001       36.096298       32.261536
              27              82       33.043869             N/A      295.403595      186.264038       44.985497        1.009459        0.020000        2.536110        mushroom             yes       56.830940            2575        0.334144      295.222168      187.469971       46.851292      133.350021
              35              69       57.333767             N/A      228.672852      235.676361       22.535389        0.446515        0.020000        2.688986        mushroom             yes      -50.281968             933        0.983867      230.294006      235.080002       20.456100      109.045181
              37              70      113.684998             N/A      207.990021      293.285156       46.674202        0.366867        0.020000        2.789867        mushroom             yes       75.485798            1193        0.987129      208.593079      292.675049       49.987877      170.268356
              39              85        8.372847             N/A      271.374451      187.453781       29.516870        1.197748        0.020000        2.377988        mushroom             yes      -13.249888            2639        0.983084      272.329285      189.538162       28.977022      106.014702
              41              78       34.403133             N/A      272.418549      187.184494       37.493835        0.433990        0.020000        2.503584        mushroom             yes       28.732853            2073        0.719624      271.088989      188.600998       38.558899      104.549408
              48              79      136.535706             N/A      308.895447      197.269089       47.383896        0.538660        0.020000        2.720876        mushroom             yes      -23.254060            2161        0.000000      309.836823      195.302048       46.446812      148.916687
              54              81       82.428551             N/A      307.810059      201.020935       51.935135        0.593233        0.020000        2.603089        mushroom             yes       38.557930            2467        0.000000      306.785858      202.278381       53.227833      151.956589
