              ID  SECTION-NUMBER  SECTION-LENGTH    BRANCH-ORDER               X               Y               Z   HEAD-DIAMETER   NECK-DIAMETER         MAX-DTS            TYPE            AUTO   XYPLANE-ANGLE     SWC-NODE-ID SWC-NODE-OFFSET        ATTACH-X        ATTACH-Y        ATTACH-Z   SOMA-DISTANCE
               0              37       97.179565             N/A      136.779663      222.329865       22.397512        0.325331        0.020000        2.869669            thin             yes      -88.834667            3527        0.000000      136.716934      222.318130       19.260815       68.132950
               1               9      129.987442             N/A      210.906754      127.852455       55.326183        0.719696        0.020000        2.706351        mushroom             yes       -2.448853            1064        0.000000      209.354004      125.255997       55.196800       75.213860
               2              76      128.462524             N/A      251.199982      126.060760       34.655766        0.268759        0.020000        2.932280            thin             yes       -2.668143            7734        0.000000      248.272003      124.600998       34.503300      124.264206
               3              21      126.037476             N/A      186.423050      124.924667       26.472298        0.426713        0.020000        2.837533        mushroom             yes       42.161524            1918        0.000000      184.841049      123.722282       28.271635       59.549717
               4              59       37.116676             N/A      203.465057      183.737900       34.644520        0.449075        0.020000        2.923342        mushroom             yes       17.401118            5909        0.975405      203.683578      179.745499       35.897621       30.704002
               5              57        6.777409             N/A      134.526016      286.460327        9.671015        0.433368        0.020000        2.886229        mushroom             yes        0.437217            5886        0.212364      138.218002      286.420013        9.699190      139.220490
               6              90       43.456474             N/A      304.063843      207.766571       14.394464        1.152227        0.309133        2.312327        mushroom             yes        7.242284            8759        0.000000      302.973694      209.965088       14.706311      150.139893
               7              24      143.290176             N/A      185.427353      117.257568       37.171093        0.272949        0.020000        2.878152            thin             yes      -77.216175            2415        0.307966      184.688995      117.407997       33.850101       66.141541
               8              31       44.787964             N/A      133.505280      161.789505        8.284422        0.555345        0.020000        2.884598        mushroom             yes        0.783015            3223        0.203508      133.918243      165.530457        8.335860       68.422867
               9              50      113.394615             N/A       96.636902      175.802551       22.188978        0.200000        0.020000        2.883518            thin             yes       84.305950            5265        0.673475       96.706940      175.503723       25.267208       86.941414
              10              44      142.620926             N/A       54.323521      191.063004       44.300362        0.625381        0.229476        2.310711        mushroom             yes       -8.377252            4362        0.655202       55.019478      188.934143       43.970535      132.950226
