              ID  SECTION-NUMBER  SECTION-LENGTH    BRANCH-ORDER               X               Y               Z   HEAD-DIAMETER   NECK-DIAMETER         MAX-DTS            TYPE            AUTO   XYPLANE-ANGLE     SWC-NODE-ID SWC-NODE-OFFSET        ATTACH-X        ATTACH-Y        ATTACH-Z   SOMA-DISTANCE
               4              34       18.227081             N/A      619.246399      294.238922       43.293625        0.491054        0.020000        2.781899        mushroom             yes       51.332679            3715        0.000000      620.932068      294.507446       45.426704      167.144821
               8               8      101.624557             N/A      513.035034      420.030090       37.800560        0.760284        0.020000        2.438383        mushroom             yes      -11.387617             684        0.000000      515.945251      420.446869       37.208431      131.833130
               9               9       58.007633             N/A      489.311615      381.600037       75.023308        0.264144        0.020000        2.943477            thin             yes      -30.122634             889        0.000000      489.209717      379.245575       73.655952       78.195267
              16              17      127.383514             N/A      521.658447      409.124146       56.144535        0.925455        0.020000        2.703867        mushroom             yes       14.319057            1919        0.412557      519.442566      410.613525       56.826031      121.396385
              17              33      113.531387             N/A      614.051697      294.115570       54.011948        0.757568        0.020000        2.654677        mushroom             yes       11.475840            3678        0.068517      613.593872      296.352936       54.475574      152.674286
              20              10      134.127518             N/A      404.316345      376.065430       79.396233        0.475297        0.020000        2.778492        mushroom             yes       33.040298            1138        0.000000      402.572174      374.914734       80.755295      122.864372
              26             135       47.675850             N/A      520.947571      313.677612       25.952269        0.753782        0.020000        2.696591        mushroom             yes       44.340819            5035        0.579790      521.111572      312.099091       27.503183       53.370747
              30              16       60.348709             N/A      536.886841      341.537354       42.427128        0.446838        0.020000        2.734260        mushroom             yes      -41.806721            1658        0.409790      535.632202      342.881348       40.782845       71.480164
              36              33      113.531387             N/A      590.781738      293.811188       52.359386        0.619888        0.020000        2.697693        mushroom             yes       28.490996            3620        0.001484      591.534973      295.687988       53.457001      129.635178
              42             139       38.032795             N/A      522.309631      359.394562       23.160477        0.333982        0.020000        2.657571            thin             yes       19.792695            5220        0.000000      520.501099      357.821564       24.023067       82.550308
