              ID  SECTION-NUMBER  SECTION-LENGTH    BRANCH-ORDER               X               Y               Z   HEAD-DIAMETER   NECK-DIAMETER         MAX-DTS            TYPE            AUTO   XYPLANE-ANGLE     SWC-NODE-ID SWC-NODE-OFFSET        ATTACH-X        ATTACH-Y        ATTACH-Z   SOMA-DISTANCE
               0             110      141.093857             N/A      211.901047      348.969116      156.417999        0.475423        0.020000        2.680669        mushroom             yes      -49.731209           12566        0.919837      211.040817      350.074738      154.764343      331.698792
               1              67      121.968079             N/A      321.091888      324.682495       74.631599        0.539851        0.020000        2.857572        mushroom             yes      -25.414783            7251        0.888768      320.494812      322.396576       73.509003      169.127014
               2             103      132.188293             N/A      284.446381      359.987274       92.485451        0.897038        0.200000        2.353330        mushroom             yes      -40.504396           11563        0.000000      283.139008      361.040985       91.051102      220.056870
               3              59      103.008911             N/A      378.049988      354.273773       66.875053        0.565323        0.020000        2.738809        mushroom             yes      -33.455039            6161        0.000000      376.298004      353.278015       65.543503      127.226479
               4              34       18.227081             N/A      619.246399      294.238922       43.293625        0.491054        0.020000        2.781899        mushroom             yes       51.332679            3715        0.000000      620.932068      294.507446       45.426704      167.144821
               5              92      103.688629             N/A      218.986603      322.458221       78.990852        0.472347        0.020000        2.509838        mushroom             yes       25.866632           10278        0.000000      220.363007      324.265991       80.092499      278.678436
               6             108      120.531784             N/A      212.344452      456.433655      162.331451        0.552479        0.020000        2.561741        mushroom             yes       74.648417           12311        0.000000      212.865005      456.539001      164.266006      429.537445
               7              99       69.797791             N/A      318.896851      344.535034       67.462402        0.293920        0.020000        2.932439            thin             yes        0.735785           11083        0.000000      318.039001      341.105988       67.507797      167.499115
               8               8      101.624557             N/A      513.035034      420.030090       37.800560        0.760284        0.020000        2.438383        mushroom             yes      -11.387617             684        0.000000      515.945251      420.446869       37.208431      131.833130
               9               9       58.007633             N/A      489.311615      381.600037       75.023308        0.264144        0.020000        2.943477            thin             yes      -30.122634             889        0.000000      489.209717      379.245575       73.655952       78.195267
              10             131      103.663864             N/A      257.267487      342.000885       99.851357        0.770325        0.020000        2.655608        mushroom             yes        8.224213           13410        0.000000      256.973999      344.144012      100.164001      244.617325
              11              97      109.454903             N/A      316.526215      414.424377       52.104603        0.691355        0.020000        2.524888        mushroom             yes       18.594660           10717        0.000000      314.648010      414.415985       52.736500      226.818939
              12              60       86.752586             N/A      443.467957      383.438568       52.856174        0.236659        0.020000        2.826492            thin             yes      -67.334186            6427        0.000000      443.669006      382.441010       50.419399      133.994232
              13              85       48.589539             N/A      240.920609      311.300629       88.065979        0.536545        0.020000        2.803647        mushroom             yes       -8.730967            9454        0.000000      239.751007      308.544006       87.606102      254.247314
              14              71       53.621498             N/A      302.000000      278.200012       76.686867        0.255073        0.020000        2.927037            thin             yes        2.616102            7833        0.950787      304.171936      275.699402       76.838203      195.263748
              15              87      162.481903             N/A      187.458145      294.155457      117.827225        0.513171        0.020000        2.706389        mushroom             yes       -1.927135            9590        0.727260      186.950943      296.438904      117.748520      324.632446
              16              17      127.383514             N/A      521.658447      409.124146       56.144535        0.925455        0.020000        2.703867        mushroom             yes       14.319057            1919        0.412557      519.442566      410.613525       56.826031      121.396385
              17              33      113.531387             N/A      614.051697      294.115570       54.011948        0.757568        0.020000        2.654677        mushroom             yes       11.475840            3678        0.068517      613.593872      296.352936       54.475574      152.674286
              18              76      131.353058             N/A      139.269638      202.654190      113.080048        0.607195        0.354206        2.358978        mushroom             yes      -26.956480            8721        0.617841      139.755493      201.209641      112.304955      390.971741
              19             100      246.937210             N/A      159.231445      268.410431      164.716797        0.588310             N/A        2.684513          stubby             yes      -26.853692           11480        0.000000      159.151993      266.639008      163.819000      394.300720
              20              10      134.127518             N/A      404.316345      376.065430       79.396233        0.475297        0.020000        2.778492        mushroom             yes       33.040298            1138        0.000000      402.572174      374.914734       80.755295      122.864372
              21              84       74.634850             N/A      274.393036      306.679871       73.170959        0.261023        0.020000        2.922141            thin             yes       -4.960955            9372        0.000000      273.959991      303.175995       72.864502      213.678268
              22              67      121.968079             N/A      345.199982      311.399963       61.525223        0.254944        0.020000        2.884857            thin             yes        3.526006            7176        0.000000      345.975006      314.497986       61.722000      137.957199
              23             100      246.937210             N/A      158.211792      254.401123      171.477997        0.592919        0.523061        2.561216        mushroom             yes       60.665148           11496        0.632056      157.078995      253.988998      173.623001      409.182953
              24              79       49.314785             N/A      105.621704      181.099854      109.103760        0.457587        0.020000        2.816191        mushroom             yes      -23.217190            8792        0.514702      107.739891      179.975159      108.075012      433.828247
              25              99       69.797791             N/A      329.510376      335.318848       63.985531        0.505692        0.020000        2.688226        mushroom             yes      -17.326494           11071        0.218558      329.746124      338.157043       63.097042      154.655945
              26             135       47.675850             N/A      520.947571      313.677612       25.952269        0.753782        0.020000        2.696591        mushroom             yes       44.340819           13834        0.579790      521.111572      312.099091       27.503183       53.370747
              27              89       91.019440             N/A      204.197571      307.437042      116.707443        0.803598             N/A        2.635325          stubby             yes       62.408308           10049        0.192724      205.080414      306.994781      118.596878      307.351929
              28              72       76.643112             N/A      276.066956      242.598648      134.928909        0.701054        0.020000        2.783985        mushroom             yes      -10.365001            8032        0.000000      273.248993      241.041000      134.339996      286.395233
              29             132      123.283859             N/A      145.247849      226.323639      182.536728        0.020000             N/A        2.690795          stubby             yes      -71.810431           13726        0.617247      146.111786      226.517838      179.841827      445.307129
