              ID  SECTION-NUMBER  SECTION-LENGTH    BRANCH-ORDER               X               Y               Z   HEAD-DIAMETER   NECK-DIAMETER         MAX-DTS            TYPE            AUTO   XYPLANE-ANGLE     SWC-NODE-ID SWC-NODE-OFFSET        ATTACH-X        ATTACH-Y        ATTACH-Z   SOMA-DISTANCE
               0              67      123.810394             N/A      495.587128       90.881653       56.859196        0.685595        0.025000        2.492141        mushroom             yes        6.382712            6025        0.887783      493.192291       92.569595       57.186943      163.093338
               2              44      232.575439             N/A       46.950420       85.783821      101.792992        0.258041             N/A        2.839805          stubby             yes      -55.048061            3614        0.625864       45.377510       86.264015       99.440094      628.135193
               3               6       27.722277             N/A      521.000000      205.999985       23.894056        0.507305        0.025000        2.949945        mushroom             yes        3.149150             322        0.893140      518.236511      203.405563       24.102604       93.566612
               4              51       29.996590             N/A       66.585304      280.575806       36.061321        1.015440        0.025000        2.880539        mushroom             yes       -4.042944            4242        0.000000       62.730099      279.558014       35.779499      611.823181
               5              52      212.788986             N/A      129.744751      239.225189       92.482582        0.025000             N/A        2.833139          stubby             yes       65.881241            4062        0.925272      128.354584      238.840363       95.704384      486.224030
               6              44      232.575439             N/A       47.737495       83.638733       99.516632        0.652825        0.025000        2.916662        mushroom             yes        4.232036            3617        0.484187       44.214802       83.919525       99.778130      630.714722
               7              26       70.202179             N/A      453.228882      205.848038       54.829269        1.104381        0.422806        2.302645        mushroom             yes       21.274594            1587        0.579022      453.915588      203.476837       55.790489      145.520493
               8              64      133.326340             N/A      518.303284      171.636887       57.498375        0.684448        0.401391        2.336986        mushroom             yes      -35.097068            5406        0.180370      519.022217      170.037598       56.266163       85.345543
               9              39      181.209671             N/A      172.727234      282.176086      110.470596        0.550720        0.414862        2.482392        mushroom             yes       42.333276            2969        0.280141      173.833969      282.886902      111.668861      463.422302
              10              44      232.575439             N/A      169.835159      169.628235      102.139420        0.700957        0.025000        2.552922        mushroom             yes       -2.094195            3423        0.584554      167.176483      169.591003      102.042191      465.555206
              11               5       75.380997             N/A      478.319122      226.399490       11.171072        0.840736        0.025000        2.549922        mushroom             yes      -72.171630             297        0.495331      477.480835      226.151550        8.452929      146.299622
              12              44      232.575439             N/A       87.069496      127.150963       97.064659        0.715139        0.358977        2.265377        mushroom             yes      -26.365224            3548        0.000000       88.258484      125.894264       96.207176      566.924438
              13              60      109.369453             N/A      570.803345      134.943848       75.168182        0.729750        0.504197        2.592351        mushroom             yes       -0.477503            4971        0.673215      569.470825      132.602356       75.145729      110.963470
              14              52      212.788986             N/A       35.021309      177.780075       99.804970        1.074575        0.025000        2.123125        mushroom             yes      -76.154195            4362        0.028055       35.175133      177.420349       98.217628      615.011353
              15              68       73.038376             N/A      523.822876      130.943726       86.919144        1.007585        0.025000        2.375688        mushroom             yes      -10.683370            6173        0.287300      525.717773      130.239166       86.537758      121.842751
              16              48      128.267090             N/A      140.249985      236.585938       95.969658        0.350876        0.025000        2.742927        mushroom             yes      -28.507793            4061        0.694253      139.217621      234.648972       94.777534      475.434570
              17               0       39.603706             N/A      580.436768      181.499985       48.494240        0.399750        0.025000        2.848982        mushroom             yes      -14.428376               4        0.404007      581.200378      185.808502       47.368450       11.635628
              18               3      119.934555             N/A      518.963501      258.750000       38.683380        0.403077        0.025000        2.738051        mushroom             yes      -85.690565             123        0.299236      518.830811      258.474304       34.623096      129.073990
              19              26       70.202179             N/A      396.430023      204.055954       58.734520        0.670166        0.025000        2.377260        mushroom             yes       15.790082            1632        0.002251      396.372742      206.621109       59.460087      203.654755
              20              40       69.142075             N/A       83.203102      373.430969      122.455582        0.460045             N/A        2.321789            thin             yes       74.124077            3149        0.000000       82.683403      373.425995      124.282997      612.465271
              21              18       92.863518             N/A      498.697876      198.463730       41.280857        0.679216        0.387573        2.246235        mushroom             yes       18.443378             900        0.466658      498.374573      200.350983       41.919418      102.066154
              22              52      212.788986             N/A       36.897686      179.431335       95.323677        0.424484        0.025000        2.752485        mushroom             yes       52.471695            4362        0.733449       38.150200      178.407974       97.429390      611.686951
              23              52      212.788986             N/A      107.869812      222.213867       95.185097        0.677800        0.025000        2.152229        mushroom             yes       54.358685            4268        0.360862      108.011414      223.302658       96.716377      517.799072
