              ID  SECTION-NUMBER  SECTION-LENGTH    BRANCH-ORDER               X               Y               Z   HEAD-DIAMETER   NECK-DIAMETER         MAX-DTS            TYPE            AUTO   XYPLANE-ANGLE     SWC-NODE-ID SWC-NODE-OFFSET        ATTACH-X        ATTACH-Y        ATTACH-Z   SOMA-DISTANCE
         1000000              58      136.975586             N/A      665.565369      210.390717       39.741005        0.889029        0.673123        2.403789        mushroom             yes      -17.182069            3692        0.472689      665.285095      208.442261       39.132324       91.102219
         1000001              81       79.218704             N/A      552.954773       65.098152       31.075352        0.895297        0.025000        2.471921        mushroom             yes       -7.229507            5090        0.102844      555.145752       63.542160       30.734463      158.486404
         1000002              28       73.639412             N/A      606.500000      246.250015       46.023891        0.474519        0.025000        2.984262        mushroom             yes       -6.467599            2027        0.276018      609.863770      245.869781       45.640137       69.596634
         1000003              16       79.076584             N/A      516.794128      197.386734        5.306440        0.921677        0.516392        2.333576        mushroom             yes        3.671407            1161        0.582912      517.197388      195.266602        5.444920      107.080284
         1000004              72      101.197670             N/A      645.250000      215.749985       18.157635        0.349794        0.025000        2.927174            thin             yes       -0.864208            4529        0.000000      644.405029      212.302994       18.104099       77.006584
         1000005               8      139.166428             N/A      562.195923      129.875137       31.503168        0.280100        0.025000        2.943685            thin             yes       64.049193             752        0.527456      561.754150      131.191788       34.356819       71.069298
         1000006               6      139.085953             N/A      588.823608      120.587936       40.030148        0.652480        0.025000        2.906143        mushroom             yes        0.840068             281        0.317200      591.652893      122.451340       40.079823       73.408775
         1000007              49       27.892553             N/A      574.024414      236.264297       11.657248        0.466260        0.025000        2.766106        mushroom             yes      -14.611849            3194        0.000000      571.601990      235.505997       10.995500       79.597282
         1000008              72      101.197670             N/A      673.046448      210.391678       15.444736        0.830435        0.531533        2.343124        mushroom             yes       15.418793            4566        0.506173      673.875061      208.021622       16.137192      108.094650
         1000009              89      120.720848             N/A      646.677795      154.481186       51.546154        0.755052        0.025000        2.588643        mushroom             yes      -20.423158            5757        0.000000      647.327026      156.785004       50.654900       82.212921
         1000010              72      101.197670             N/A      687.550964      205.040878       17.601366        0.598110        0.025000        2.763371        mushroom             yes      -63.711854            4580        0.786572      688.125000      206.554993       14.323300      122.790413
         1000011              47       22.719458             N/A      594.932800      200.112488       30.088665        0.652649        0.025000        2.748133        mushroom             yes      -22.506632            3146        0.420985      593.208191      197.897537       28.925510       28.496044
         1000012              91       96.069214             N/A      642.436157      145.468033       85.356178        0.625623        0.025000        2.701750        mushroom             yes       17.801859            5975        0.373990      640.551392      143.326752       86.272156       82.113487
         1000013               7      149.263748             N/A      566.685059        9.903676       33.430458        0.951680        0.628747        2.372256        mushroom             yes       59.905304             703        0.000000      567.771973       10.087100       35.332401      196.399155
         1000014              51       38.004112             N/A      588.000000      230.043228       14.695534        0.430664        0.025000        2.923590        mushroom             yes      -38.479398            3405        0.121690      590.144470      229.258911       12.880577       72.130554
         1000015              44       14.948734             N/A      598.497192      190.164154       36.414581        0.663150        0.574544        2.599287        mushroom             yes       69.359160            3139        0.687724      599.581177      191.382980       40.744740       18.529362
         1000016              89      120.720848             N/A      697.415710      158.534576       54.041924        0.586775        0.025000        2.935373        mushroom             yes      -10.928922            5828        0.104446      696.387817      161.649567       53.408539      137.120270
