              ID  SECTION-NUMBER  SECTION-LENGTH    BRANCH-ORDER               X               Y               Z   HEAD-DIAMETER   NECK-DIAMETER         MAX-DTS            TYPE            AUTO   XYPLANE-ANGLE     SWC-NODE-ID SWC-NODE-OFFSET        ATTACH-X        ATTACH-Y        ATTACH-Z   SOMA-DISTANCE
               0              58      136.974136             N/A      665.565369      210.390717       39.741005        0.889032        0.673123        2.403787        mushroom             yes      -17.185368            3692        0.470071      665.286072      208.442215       39.132229       91.104103
               1             173      123.810181             N/A      495.587128       90.881653       56.859196        0.685603        0.025000        2.490939        mushroom             yes        6.381913           13099        0.887280      493.192078       92.569405       57.186909      163.092804
               2             146      232.574112             N/A       46.950420       85.783821      101.792992        0.258045             N/A        2.841923          stubby             yes      -55.047514           10531        0.625795       45.377445       86.263954       99.440079      628.134705
               3              81       79.218880             N/A      552.954773       65.098152       31.075352        0.895303        0.025000        2.471710        mushroom             yes       -7.233940            5094        0.276291      555.145508       63.541840       30.734253      160.247314
               4             108       27.721804             N/A      521.000000      205.999985       23.894056        0.507305        0.025000        2.950527        mushroom             yes        3.136924            7239        0.892431      518.235596      203.405701       24.101824       93.567177
               5              16       79.077286             N/A      516.794128      197.386734        5.306440        0.921677        0.516392        2.333806        mushroom             yes        3.671202            1161        0.583598      517.197632      195.266632        5.444913      107.080635
               6              28       73.639229             N/A      606.500000      246.250015       46.023891        0.474653        0.025000        2.983593        mushroom             yes       -6.435040            2027        0.283712      609.863708      245.866348       45.642048       69.592155
               7              72      101.198257             N/A      645.250000      215.749985       18.157635        0.349794        0.025000        2.927434            thin             yes       -0.864768            4529        0.000000      644.405151      212.302719       18.104061       77.006027
               8               8      139.167603             N/A      562.195923      129.875137       31.503168        0.280100        0.025000        2.943799            thin             yes       64.041366             752        0.528554      561.754578      131.192398       34.356739       71.069290
               9             153       29.996521             N/A       66.585304      280.575806       36.061321        1.015440        0.025000        2.880259        mushroom             yes       -4.042404           11159        0.000000       62.730137      279.557892       35.779537      611.822815
              10               6      139.084473             N/A      588.823608      120.587936       40.030148        0.652480        0.025000        2.906375        mushroom             yes        0.838907             281        0.317636      591.652954      122.451706       40.079758       73.409760
              11              49       27.892715             N/A      574.024414      236.264297       11.657248        0.466260        0.025000        2.766151        mushroom             yes      -14.612340            3194        0.000000      571.602051      235.506149       10.995503       79.596985
              12              72      101.198257             N/A      673.046448      210.391678       15.444736        0.830435        0.531533        2.343132        mushroom             yes       15.420760            4566        0.505576      673.874695      208.021835       16.137196      108.095886
              13              89      120.721252             N/A      646.677795      154.481186       51.546154        0.755052        0.025000        2.587943        mushroom             yes      -20.426723            5758        0.000000      647.326599      156.784576       50.654926       82.903908
              14              72      101.198257             N/A      687.550964      205.040878       17.601366        0.598110        0.025000        2.763744        mushroom             yes      -63.704467            4581        0.000000      688.125183      206.555466       14.323338      124.270142
              15              47       22.718941             N/A      594.932800      200.112488       30.088665        0.652649        0.025000        2.747609        mushroom             yes      -22.506454            3147        0.568868      593.208435      197.897537       28.925583       29.926876
              16             154      212.788116             N/A      129.711288      239.240112       92.474800        0.025000             N/A        2.836194          stubby             yes       66.350953           11162        0.754121      128.354828      238.840012       95.704323      487.909119
              17             146      232.574112             N/A       47.737495       83.638733       99.516632        0.652825        0.025000        2.916522        mushroom             yes        4.232206           10534        0.484013       44.214836       83.919464       99.778137      630.714233
              18             128       70.201836             N/A      453.228882      205.848038       54.829269        1.104381        0.422806        2.303172        mushroom             yes       21.270612            8504        0.578618      453.916077      203.476715       55.790390      145.520905
              19              91       96.068298             N/A      642.436157      145.468033       85.356178        0.625612        0.025000        2.702217        mushroom             yes       17.838701            5975        0.368845      640.553101      143.326172       86.273956       82.116158
              20               7      149.265259             N/A      566.685059        9.903676       33.430458        0.951680        0.628747        2.372679        mushroom             yes       59.894334             703        0.000000      567.772461       10.087145       35.332405      196.401917
              21              51       38.003128             N/A      588.000000      230.043228       14.695534        0.430664        0.025000        2.923052        mushroom             yes      -38.480167            3407        0.702975      590.144836      229.259918       12.880528       73.294662
              22             170      133.324936             N/A      518.303284      171.636887       57.498375        0.684448        0.401391        2.338308        mushroom             yes      -35.090661           12480        0.180559      519.022278      170.037292       56.266243       85.345360
              23              44       14.948254             N/A      598.497192      190.164154       36.414581        0.663150        0.574544        2.599444        mushroom             yes       69.361864            3137        0.783481      599.580933      191.382858       40.744682       12.404966
