              ID  SECTION-NUMBER  SECTION-LENGTH    BRANCH-ORDER               X               Y               Z   HEAD-DIAMETER   NECK-DIAMETER         MAX-DTS            TYPE            AUTO   XYPLANE-ANGLE     SWC-NODE-ID SWC-NODE-OFFSET        ATTACH-X        ATTACH-Y        ATTACH-Z   SOMA-DISTANCE
               0              81      128.924683             N/A      649.289368      161.798065       48.860256        0.454947        0.025000        2.843139        mushroom             yes      -69.750378            3905        0.797672      648.994934      160.799423       46.038059       86.757759
               1             176       77.848236             N/A      420.980408      280.538208       38.759117        0.750420        0.025000        2.507461        mushroom             yes       12.846407            9782        0.000000      423.057495      280.720001       39.234600      238.236206
               2             158      134.986374             N/A       86.758682      179.899811      159.651779        0.929985        0.843253        2.808887        mushroom             yes        5.021489            8907        0.740133       86.026604      182.647980      159.901672      554.404846
               3             192       95.359909             N/A      559.927124      282.840424       46.765736        0.881471        0.460346        2.264948        mushroom             yes      -47.932230           10928        0.680420      558.775085      283.416748       45.338493      161.006683
               4              78      122.803482             N/A      664.422058      103.322098       75.975090        0.517499        0.025000        2.954684        mushroom             yes        0.963503            3652        0.000000      661.000000      102.891129       76.033096      122.211746
               5              63      142.847427             N/A      603.254089      316.317322       38.622986        0.744786        0.503540        2.499721        mushroom             yes      -46.417509            2510        0.000000      602.901245      314.702515       36.886200      155.401337
               6              80      120.847458             N/A      697.423218      158.527481       54.093906        0.568876        0.025000        2.945429        mushroom             yes      -10.580070            3823        0.000000      696.174988      161.485001       53.494301      136.504303
               7              41       29.760780             N/A      545.508362      235.550171       22.750175        0.402550        0.025000        2.815543        mushroom             yes      -74.774359            1479        0.000000      544.874878      236.269089       19.229647       95.407173
               8             209      109.443802             N/A      447.285645      156.847748       76.429268        0.671692        0.025000        2.671375        mushroom             yes        2.481444           12319        0.321894      445.407501      155.222504       76.536903      174.166824
               9              27      103.980820             N/A      671.738098      211.588364       16.049555        0.473134        0.025000        2.909666        mushroom             yes        7.366846            1141        0.367273      672.018494      208.285202       16.478153      105.789360
              10             184        8.302464             N/A      512.131042      198.581696       49.385117        0.817207        0.569610        2.335372        mushroom             yes       30.051134            7041        0.877970      511.605011      196.758743       50.482800       82.433052
              11             128       14.961448             N/A      523.760071      198.304398       51.888683        1.384339        1.104951        2.249277        mushroom             yes       11.538658            7036        0.659665      523.713928      196.026230       52.353878       71.927818
              12              27      103.980820             N/A      679.995117      209.773422       14.387497        1.097339        0.844650        2.229177        mushroom             yes       25.053676            1151        0.540418      680.239075      208.363998       15.056127      115.576675
              13              67      125.358559             N/A      659.187744      225.220596       46.766743        0.919876        0.025000        2.308925        mushroom             yes       -9.547926            3059        0.000000      657.907471      227.570007       46.316700       90.544731
              14             147      132.056641             N/A      156.383499      299.167572      119.091362        0.612214        0.286300        2.367774        mushroom             yes      -19.508923            7986        0.000000      158.214645      300.220917      118.342918      489.579010
              15             112      140.227875             N/A      588.823608      120.587936       40.030148        0.647856        0.025000        2.882292        mushroom             yes        4.415050            6298        0.000000      591.732483      122.150627       40.285099       74.573517
              16             129        8.990658             N/A      516.414673      199.042633       49.379791        0.025000             N/A        2.907090            thin             yes       63.003204            7040        0.703732      516.055359      197.097290       53.262859       79.763290
              17              43       76.066010             N/A      517.227173      252.463974       17.616703        0.447991        0.025000        2.826778        mushroom             yes       22.705300            1531        0.000000      516.273193      250.140854       18.667503      132.370300
              18              80      120.847458             N/A      694.287659      163.161682       53.311665        0.874423        0.025000        2.353443        mushroom             yes        7.264797            3822        0.577380      694.107422      161.066284       53.579769      134.817169
              19             192       95.359909             N/A      557.653320      284.993164       46.113518        0.500765        0.025000        2.650862        mushroom             yes      -40.946531           10929        0.000000      559.397522      284.464996       44.532299      162.742584
              20             177       72.695694             N/A      426.963470      251.961777       47.527546        0.885010        0.253979        2.126715        mushroom             yes       85.384710            9844        0.641009      427.049591      252.101501       49.560764      204.004227
              21              77      129.960068             N/A      708.856995      105.874168       43.287685        0.993782        0.560014        2.190817        mushroom             yes       50.436927            3533        0.876598      709.111023      104.514183       44.962254      159.319138
              22               3        4.941587             N/A      612.456909      205.920074       34.014812        0.688788        0.025000        2.606772        mushroom             yes       83.896767              18        0.000000      612.663757      206.171249       37.057899       32.915905
              23              63      142.847427             N/A      581.500061      320.917450       24.531555        0.404724        0.025000        2.847229        mushroom             yes       17.466613            2565        0.551638      583.040039      318.888977       25.332930      198.018845
              24              41       29.760780             N/A      543.365540      236.914780       22.258455        0.540654        0.025000        2.581194        mushroom             yes      -81.103597            1482        0.000000      543.823730      237.014999       19.262100       97.950623
              25             110      140.758331             N/A      557.561035      129.426285       31.241222        0.590198        0.025000        2.753171        mushroom             yes       82.166038            6113        0.549953      557.362671      128.957214       34.942810       76.595688
              26             132       37.066967             N/A      490.249146      198.719116       56.479458        0.200000             N/A        2.741928          stubby             yes       13.178989            7054        0.601268      491.722168      201.468246       57.209782      106.066345
              27             158      134.986374             N/A       92.327805      184.750000      153.879333        0.270366        0.025000        2.594683            thin             yes       66.340394            8905        0.000000       91.365875      184.883743      156.095993      547.258728
              28              92      100.722771             N/A      663.336426      106.993607       80.573601        0.691719        0.025000        2.575342        mushroom             yes        3.841854            4809        0.776195      664.947266      108.625023       80.727562      119.308296
              29             148       65.940201             N/A       85.517464      380.729614      123.025490        0.871453        0.668334        2.286455        mushroom             yes       69.916913            8122        0.000000       85.226219      380.239532      124.584763      620.049316
              30              27      103.980820             N/A      673.147156      210.294144       15.372641        0.840125        0.584333        2.253160        mushroom             yes       17.101171            1144        0.418203      674.113770      208.146255       16.097300      108.744392
              31              32        3.895503             N/A      645.467896      168.983978       21.543983        0.329701        0.025000        2.784213            thin             yes      -68.979688            1337        0.000000      646.601257      169.417496       18.386200       83.447212
              32             112      140.227875             N/A      640.250000       60.702240       45.626186        0.397583        0.025000        2.691996        mushroom             yes       42.980764            6412        0.000000      641.397217       61.671345       47.025654      158.599182
              33             133       70.701439             N/A      399.775330      205.078949       57.684700        0.673261        0.025000        2.500924        mushroom             yes       48.687497            7113        0.000000      399.929047      206.669266       59.502556      199.865860
              34              41       29.760780             N/A      539.699951      239.321198       21.956144        0.415363        0.025000        2.694426        mushroom             yes      -67.997020            1489        0.886943      540.899231      239.313202       18.988201      103.284882
              35             196      121.252251             N/A      527.546814      221.453903       38.856113        0.868390             N/A        2.162858          stubby             yes       41.578403           11206        0.106543      528.940002      221.568756       40.096298       90.336868
              36              44        7.103640             N/A      562.515747      230.450089       18.354563        0.757983        0.025000        2.673153        mushroom             yes       -0.272754            1609        0.737653      559.644226      230.704071       18.340839       80.982605
              37             208      130.475372             N/A      410.837372      136.761948       39.127140        0.876910        0.025000        2.474568        mushroom             yes      -46.278122           12147        0.000000      410.561249      138.136246       37.661400      211.640533
              38             197       12.495890             N/A      528.720459      204.946091       35.540028        0.694220             N/A        2.498570          stubby             yes       52.072333           11336        0.421569      527.992493      203.505005       37.611900       78.250694
              39             144      129.391235             N/A       92.652267      314.758606       43.552982        1.177406        0.692155        2.302171        mushroom             yes       -6.475850            7845        0.000000       92.642601      313.359711       43.394192      572.544861
              40             144      129.391235             N/A       99.100868      310.757874       47.651245        0.673218             N/A        2.167156            thin             yes       64.579393            7835        0.000000       99.202873      309.779999       49.719898      562.167664
              41              17       92.402466             N/A      624.759583      259.466980       31.093519        0.824442        0.470856        2.137042        mushroom             yes        5.768999             549        0.545188      622.593872      259.181519       31.314213       94.885063
              42             104       88.380081             N/A      582.624817      124.346771       73.048874        0.683695        0.025000        2.485250        mushroom             yes       24.334218            5722        0.000000      581.487488      125.557503       73.800102       78.912621
              43             179       52.160091             N/A      495.458374      198.246277       66.715744        0.881866             N/A        2.192496            thin             yes       12.977505           10016        0.000000      496.866241      198.973892       67.080963      111.797821
              44             156      232.617798             N/A       62.738319      105.474556       98.099426        0.834804             N/A        2.397016            thin             yes      -17.701157            8697        0.684608       61.640823      106.356606       97.650040      601.113098
              45              46       22.159903             N/A      574.019714      236.254013       11.658461        0.458008        0.025000        2.782866        mushroom             yes      -13.195916            1635        0.499287      571.930420      234.892853       11.073786       79.884377
              46              63      142.847427             N/A      598.431824      249.818451       52.342197        0.768271        0.025000        2.729332        mushroom             yes        1.891425            2406        0.515533      595.545227      250.297562       52.438828       79.077217
              47             183      164.421463             N/A      473.630859      162.774445       59.829338        0.780564        0.391935        2.259219        mushroom             yes      -23.806909           10278        0.000000      472.453400      163.778564       59.146599      146.056885
              48             140        8.996456             N/A      120.457130      411.771118       23.222433        0.897385        0.529423        2.245709        mushroom             yes      -34.980863            7683        0.000000      120.903709      410.734344       22.432556      658.738159
              49             144      129.391235             N/A      128.763763      297.906342       73.819183        1.021704             N/A        2.325098          stubby             yes       74.182066            7784        0.151260      128.332977      297.515106       75.873222      517.545105
              50             133       70.701439             N/A      460.735077      202.838562       54.043987        0.862373             N/A        2.242217          stubby             yes       30.877765            7073        0.316141      460.477325      204.895569       55.283615      138.085602
              51             156      232.617798             N/A      102.420151      133.501419       96.851814        1.303766        1.086919        2.290487        mushroom             yes      -36.255700            8652        0.657499      101.404396      134.434052       95.840500      550.231140
              52             151      109.515244             N/A      201.686905      229.749985      108.397881        0.200000             N/A        2.684464          stubby             yes      -75.882511            8260        0.670716      201.442215      230.355820      105.800011      413.991699
              53              27      103.980820             N/A      699.009338      201.829376       11.021117        1.164125        0.725393        2.203631        mushroom             yes       -2.282899            1173        0.000000      699.358887      203.561737       10.950665      138.281891
              54             173      135.420975             N/A      319.331238      212.342896      100.774742        0.611778        0.025000        2.604692        mushroom             yes       33.331141            9629        0.285020      320.133087      214.001740      101.986458      299.690521
              55              90       96.756592             N/A      660.775757      135.411682       98.761345        0.444763        0.025000        2.751670        mushroom             yes       42.195470            4662        0.692867      660.345459      137.161652      100.395126      110.300201
              56              88       44.804333             N/A      637.250061      164.977448       86.782150        0.406067        0.025000        2.727046        mushroom             yes       -0.779425            4512        0.225900      636.574829      167.106049       86.751770       77.276657
              57              65      133.626877             N/A      566.953369      248.761185       76.678246        0.868572        0.025000        2.587327        mushroom             yes      -38.120560            2845        0.000000      565.565125      247.479111       75.195442       95.032822
              58             136       93.918732             N/A      181.362656      264.302948       95.920570        0.672338             N/A        2.351151          stubby             yes       71.167329            7300        0.000000      180.711243      264.355011       97.836601      443.518158
              59             118       33.736866             N/A      592.353699      157.883987       20.131916        0.473322        0.025000        2.601985        mushroom             yes       49.908666            6792        0.000000      590.851257      157.391251       22.010201       39.038486
              60              80      120.847458             N/A      674.678284      160.272079       52.138168        0.652423        0.025000        2.282801        mushroom             yes        0.229886            3795        0.000000      673.791260      162.476257       52.147701      111.540215
              61             121       79.757347             N/A      541.194702      191.000015        7.063099        0.383835        0.025000        2.856810        mushroom             yes       48.959693            6889        0.965166      541.558777      192.822495        9.198010       81.693420
              62             172       15.338595             N/A        8.771290      125.002617       80.054749        0.765979             N/A        2.622106          stubby             yes      -60.557138            9466        0.000000        7.779950      125.773750       77.829697      690.263977
              63             133       70.701439             N/A      414.599548      203.234116       58.373096        0.613924        0.025000        2.553331        mushroom             yes        5.815116            7104        0.964798      414.509491      206.382675       58.693886      184.602295
              64              81      128.924683             N/A      690.219604      165.750000       44.212471        0.354407        0.025000        2.810073        mushroom             yes      -66.001222            3955        0.000000      690.597473      164.497498       41.273899      131.862274
