              ID  SECTION-NUMBER  SECTION-LENGTH    BRANCH-ORDER               X               Y               Z   HEAD-DIAMETER   NECK-DIAMETER         MAX-DTS            TYPE            AUTO   XYPLANE-ANGLE     SWC-NODE-ID SWC-NODE-OFFSET        ATTACH-X        ATTACH-Y        ATTACH-Z   SOMA-DISTANCE
               0              33       14.340200             N/A      486.533417      136.374969       13.600606        1.031012        0.770058        2.663812        mushroom             yes        6.214491            1356        0.000000      486.459991      139.128998       13.900600       47.888443
               1             136       77.182915             N/A      150.999283      209.697189      100.389557        0.535326             N/A        2.633311          stubby             yes      -55.039813            7291        0.323369      151.309143      208.455597       98.559288      350.289215
               2              44        5.856724             N/A      444.825134      188.406830       18.986887        0.676462        0.020000        2.691958        mushroom             yes       20.897636            1615        0.000000      446.838013      187.791000       19.790600       72.197662
               3              78      101.657890             N/A      524.833069       94.206017       70.302231        0.963354        0.020000        2.479259        mushroom             yes      -19.847270            3628        0.000000      523.446716       92.349342       69.465843       85.748772
               4              31       60.394363             N/A      568.147034      117.894867        5.847338        0.606007        0.020000        2.849473        mushroom             yes       -3.784899            1336        0.000000      565.578979      116.388000        5.650360      129.008301
               5              31       60.394363             N/A      544.113708      130.000000        7.376604        0.200000        0.020000        2.836619            thin             yes       72.898168            1306        0.575799      544.510986      130.951004       10.726400      102.584435
               6              97       14.234021             N/A      477.466125      125.888115       61.931572        0.491381        0.020000        2.637295        mushroom             yes       72.230435            5103        0.527390      477.819000      126.920998       65.337402       28.363031
               7             112      113.891319             N/A      487.757935       82.419571       39.847939        0.303840        0.020000        2.833290            thin             yes       69.612273            6335        0.285787      487.462799       81.458260       42.553680       85.659950
               8              41       24.015158             N/A      434.694366      189.529633       22.265741        0.423745        0.020000        2.578703        mushroom             yes      -82.905853            1482        0.000000      435.058990      189.612000       19.262100       81.711647
               9              63      119.600021             N/A      480.199982      196.208832       53.043484        0.408050        0.020000        2.977413        mushroom             yes        2.164674            2397        0.000000      477.019012      195.675003       53.165401       59.773945
              10              27       85.535240             N/A      516.253235      172.783142       18.176773        0.258788        0.020000        2.799232            thin             yes       -1.679828            1114        0.602544      515.817322      169.688904       18.085133       64.668747
              11             138      109.893494             N/A       73.962524      252.600006       69.690826        0.340362        0.020000        2.881055            thin             yes      -22.715561            7411        0.000000       74.920799      255.028000       68.598099      457.249054
              12             151       91.105339             N/A      128.258240      184.106995      116.194572        0.450449        0.020000        2.530212        mushroom             yes      -35.811475            8292        0.260567      128.038406      182.777084      115.221985      371.685028
              13              30       35.065712             N/A      496.985687      140.015564       17.354742        0.475879        0.020000        2.904522        mushroom             yes       76.684141            1240        0.028922      497.768005      139.585999       21.125601       48.551796
              14             110      115.652710             N/A      446.062347      103.564705       31.241879        0.429523        0.020000        2.747132        mushroom             yes       74.390345            6115        0.000000      445.473999      102.773003       34.772400       65.031364
              15              77      106.467957             N/A      544.265198       99.552666       53.082104        0.265198        0.020000        2.875389            thin             yes      -24.740199            3491        0.000000      543.740295       97.223434       51.981880      100.471191
              16             108      116.553680             N/A      465.600006      126.225517       38.697693        0.317120        0.020000        2.885507            thin             yes      -75.000129            5880        0.000000      465.180817      126.954323       35.559902       27.716789
              17             148       54.186207             N/A       66.252197      297.229065      127.743736        0.212594             N/A        2.706916          stubby             yes      -72.119646            8106        0.000000       65.518700      296.584991      124.718002      495.518585
              18              36       33.559193             N/A      472.528625      189.910599        4.582034        0.674746        0.020000        2.742542        mushroom             yes       29.330809            1427        0.000000      473.489014      192.046005        5.897640       77.240967
              19             121       65.304924             N/A      420.152679      151.767487        6.860052        0.479761        0.020000        2.888625        mushroom             yes        4.019398            6907        0.956754      420.803894      154.926071        7.086665       83.640831
              20             165       28.866123             N/A       53.524742      224.518570       35.929646        0.735155        0.020000        2.736543        mushroom             yes        0.999997            9277        0.158473       50.055420      223.668747       35.991993      502.500885
              21             152       71.800568             N/A      103.638214      167.914734      148.633011        0.650509             N/A        2.613057          stubby             yes       34.730907            8358        0.869502      104.050461      169.361954      149.676178      430.833313
