              ID  SECTION-NUMBER  SECTION-LENGTH    BRANCH-ORDER               X               Y               Z   HEAD-DIAMETER   NECK-DIAMETER         MAX-DTS            TYPE            AUTO   XYPLANE-ANGLE     SWC-NODE-ID SWC-NODE-OFFSET        ATTACH-X        ATTACH-Y        ATTACH-Z   SOMA-DISTANCE
               0             192       65.252205             N/A      591.527588       57.972752       42.481998        0.391216        0.020000        2.936233        mushroom             yes        5.232576            5055        0.000000      594.591003       58.961498       42.776798      124.933899
               1             147        5.577750             N/A      602.922974      162.054047       43.818729        0.411598        0.020000        2.558721        mushroom             yes       62.503385            3125        0.565167      604.599487      163.355759       47.896667       11.606839
               2             177      138.497635             N/A      632.200012       81.958527       66.274895        0.293408        0.020000        2.957858            thin             yes       -1.153453            4238        0.135458      629.728943       79.598289       66.206093      108.849480
               3             165       29.880306             N/A      576.288208      127.199997       31.103466        0.349253        0.020000        2.961004            thin             yes      -24.196086            3283        0.942398      576.903625      129.913086       29.853409       73.019516
               7             100       21.005878             N/A      637.598877      250.479309       40.530685        0.701647        0.020000        2.858334        mushroom             yes       -8.266050             404        0.826758      640.191895      248.717239       40.075226       96.898254
               8             179       29.807173             N/A      619.763733      150.568848       30.393145        0.569147        0.020000        2.856494        mushroom             yes       -6.436822            4346        0.319047      618.541626      153.988022       29.983498       49.654709
               9             114       41.736183             N/A      664.084900      182.249329       20.368444        0.347366        0.020000        2.898934            thin             yes      -22.362194            1064        0.000000      665.556030      184.819000       19.150299       96.903732
              10             177      138.497635             N/A      628.540649       76.782990       67.972382        0.784820        0.020000        2.739029        mushroom             yes      -15.158619            4241        0.395113      631.178589       78.361351       67.139557      111.023460
              12             205       44.239258             N/A      601.528381      228.701553       45.745098        0.289264        0.020000        2.851162            thin             yes       87.695226            5484        0.000000      601.448975      228.576996       49.415298       60.727848
              19             112       28.055019             N/A      623.555542      198.217377       27.044167        0.493818        0.020000        2.846302        mushroom             yes       -3.667365             964        0.518437      624.401672      195.241714       26.845881       48.930222
              20             184       92.655396             N/A      653.990051      142.844345       32.484886        0.386197        0.020000        2.701855        mushroom             yes        9.610898            4461        0.413039      652.028381      140.714554       32.975197       76.766510
              22             184       92.655396             N/A      709.318787      133.800018       18.690226        0.289935        0.020000        2.873343            thin             yes       56.420951            4556        0.000000      709.247986      132.100006       21.253201      144.135605
              26             186       97.658844             N/A      720.590881       97.285439       39.493748        0.515840        0.020000        2.806458        mushroom             yes      -29.201010            4733        0.000000      722.609009       95.530800       37.999100      170.398346
              28              82        2.705420             N/A      599.675232      190.768646       35.007454        0.316529        0.020000        2.828191            thin             yes       -1.587969              19        0.212788      603.890808      189.643570       34.886497       22.257660
              29             132      104.418449             N/A      674.848145      142.428345       66.757980        0.626696        0.505968        2.215370        mushroom             yes       18.386523            1641        0.000000      675.049011      143.800995       67.219101       95.916817
              32             187       66.326881             N/A      683.543213      120.979607       38.587116        0.790570        0.020000        2.514752        mushroom             yes      -35.289276            4793        0.000000      682.916016      119.450996       37.417702      113.183945
              33             113       27.550306             N/A      636.307190      200.492157       22.723850        0.534851        0.020000        2.783893        mushroom             yes        0.494822             981        0.783502      638.109863      198.064651       22.749964       64.880142
              37             184       92.655396             N/A      633.334106      151.973343       30.772030        0.600454        0.020000        2.567837        mushroom             yes       43.087356            4385        0.711273      634.282715      153.560486       32.501549       52.501820
              38             184       92.655396             N/A      668.000000      132.400009       29.614923        0.229820        0.020000        2.878121            thin             yes       15.550841            4486        0.926276      667.631165      135.305222       30.429876       94.019638
              39             107       32.927666             N/A      597.216125      198.192749       23.109337        0.525550        0.020000        2.583529        mushroom             yes      -86.928778             854        0.069276      597.289001      197.985992       19.023500       41.669315
              40             112       28.055019             N/A      632.687256      194.658157       29.862921        0.343548        0.020000        2.773572            thin             yes      -79.809525             974        0.339588      632.211670      195.215424       25.787321       57.011673
              41             184       92.655396             N/A      704.000000      129.689270       22.469259        0.250566        0.020000        2.793826            thin             yes       41.098951            4545        0.407403      703.458313      131.730438       24.311451      135.691605
              42             111        8.304446             N/A      613.505310      190.585083       17.247511        0.592875        0.020000        2.710124        mushroom             yes       -0.944018             939        0.830300      610.606201      189.134430       17.194094       44.229919
              44             187       66.326881             N/A      704.866455      111.000450       30.717503        0.330750        0.020000        2.668580            thin             yes       81.214770            4834        0.000000      705.375000      110.768997       34.332901      140.167038
              45             110       28.018539             N/A      629.729797      198.075470       16.481659        0.328403        0.020000        2.813823            thin             yes        0.622854             921        0.366391      629.559509      201.344376       16.517244       61.792374
              50             171      110.936157             N/A      571.663330       55.118759       73.658791        0.553237        0.020000        2.626414        mushroom             yes       15.127908            3565        0.000000      573.995667       53.754505       74.389267      146.643280
              51             111        8.304446             N/A      607.200073      188.671417       16.859247        0.340088        0.020000        2.817676            thin             yes       -2.972175             942        0.000000      610.452026      188.649002       16.690399       46.222210
              54              93        4.525850             N/A      611.200012      205.575150       31.741615        0.020000             N/A        2.808992            thin             yes       78.474443             205        0.831482      611.341003      206.345657       35.582893       39.786701
              55             193       18.849262             N/A      607.643127      182.600006       58.317646        0.344215        0.020000        2.668146            thin             yes      -80.682339            5066        0.773805      608.225098      182.703659       54.714806       17.245697
              57              86       15.390281             N/A      602.742004      207.199997       34.449108        0.217972        0.020000        2.755192            thin             yes       -0.233761              43        0.000000      605.963989      207.848007       34.435699       42.891418
              59             155        4.739929             N/A      598.865662      137.379776       25.207815        0.575806        0.020000        2.719680        mushroom             yes       20.272264            3187        0.494513      599.867004      135.119003       26.121099       59.654099
              60             183       32.498547             N/A      637.673767      155.901215       26.313688        0.372226        0.020000        2.714514        mushroom             yes       42.639774            4393        0.000000      639.286865      154.630600       28.204540       59.493633
              61             168        1.505371             N/A      609.799927      154.349335       40.786221        0.200000        0.020000        2.667286            thin             yes       76.840430            3144        0.000000      610.401184      153.409821       45.557049       22.015747
              62             120       59.754139             N/A      645.992493       82.561813       84.873413        0.501846        0.020000        2.643843        mushroom             yes       12.756344            1273        0.000000      644.177002       80.970299       85.419998      125.196167
              65             200       28.770821             N/A      598.399963      187.919098       48.716412        0.298624        0.020000        2.808048            thin             yes       25.889459            5366        0.513895      601.229675      186.507065       50.251297       13.811961
              70             183       32.498547             N/A      656.709412      156.852371       21.717159        0.413862        0.020000        2.756497        mushroom             yes      -19.987617            4423        0.000000      656.017029      159.531998       20.710501       80.179993
