              ID  SECTION-NUMBER  SECTION-LENGTH    BRANCH-ORDER               X               Y               Z   HEAD-DIAMETER   NECK-DIAMETER         MAX-DTS            TYPE            AUTO   XYPLANE-ANGLE     SWC-NODE-ID SWC-NODE-OFFSET        ATTACH-X        ATTACH-Y        ATTACH-Z   SOMA-DISTANCE
               0             192       65.252205             N/A      591.527588       57.972752       42.481998        0.391216        0.020000        2.936233        mushroom             yes        5.232576           12128        0.000000      594.591003       58.961498       42.776798      124.933899
               1             147        5.577750             N/A      602.922974      162.054047       43.818729        0.411598        0.020000        2.558721        mushroom             yes       62.503385           10198        0.565167      604.599487      163.355759       47.896667       11.606839
               2             177      138.497635             N/A      632.200012       81.958527       66.274895        0.293408        0.020000        2.957858            thin             yes       -1.153453           11311        0.135458      629.728943       79.598289       66.206093      108.849480
               3             165       29.880306             N/A      576.288208      127.199997       31.103466        0.349253        0.020000        2.961004            thin             yes      -24.196086           10356        0.942398      576.903625      129.913086       29.853409       73.019516
               4              12       39.875805             N/A      538.177185      212.313049       29.020967        0.505309        0.020000        2.767827        mushroom             yes       72.631025             211        0.000000      538.710999      213.264008       32.507500      101.695068
               5              11       34.434128             N/A      508.232574      187.683151       14.004426        0.211293        0.020000        2.867233            thin             yes       56.461181             154        0.134998      508.183929      186.185120       16.265568      114.604805
               7             100       21.005878             N/A      637.598877      250.479309       40.530685        0.701647        0.020000        2.858334        mushroom             yes       -8.266050            7477        0.826758      640.191895      248.717239       40.075226       96.898254
               8             179       29.807173             N/A      619.763733      150.568848       30.393145        0.569147        0.020000        2.856494        mushroom             yes       -6.436822           11419        0.319047      618.541626      153.988022       29.983498       49.654709
               9             114       41.736183             N/A      664.084900      182.249329       20.368444        0.347366        0.020000        2.898934            thin             yes      -22.362194            8137        0.000000      665.556030      184.819000       19.150299       96.903732
              10             177      138.497635             N/A      628.540649       76.782990       67.972382        0.784820        0.020000        2.739029        mushroom             yes      -15.158619           11314        0.395113      631.178589       78.361351       67.139557      111.023460
              12             205       44.239258             N/A      601.528381      228.701553       45.745098        0.289264        0.020000        2.851162            thin             yes       87.695226           12557        0.000000      601.448975      228.576996       49.415298       60.727848
              13              69      118.077980             N/A      524.398621      114.042549       43.634487        0.447240        0.020000        2.808811        mushroom             yes       50.425452            5901        0.159662      522.561340      114.480469       45.919659      111.674141
              14              11       34.434128             N/A      511.013245      183.791672       15.172170        0.422850        0.020000        2.819098        mushroom             yes       23.422094             151        0.000000      510.601990      186.434006       16.330601      112.060890
              16              11       34.434128             N/A      516.170715      182.999985       19.071510        0.326477        0.020000        2.926868            thin             yes      -11.370603             141        0.000000      516.745972      186.167999       18.424000      105.164505
              17              65       14.411161             N/A      536.979492      142.453903       48.347176        0.495081             N/A        2.530686          stubby             yes      -50.504223            5850        0.290503      538.599304      142.916718       46.303246       79.272957
