              ID  SECTION-NUMBER  SECTION-LENGTH    BRANCH-ORDER               X               Y               Z   HEAD-DIAMETER   NECK-DIAMETER         MAX-DTS            TYPE            AUTO   XYPLANE-ANGLE     SWC-NODE-ID SWC-NODE-OFFSET        ATTACH-X        ATTACH-Y        ATTACH-Z   SOMA-DISTANCE
               0              36       21.181078             N/A      197.666550      213.982483       45.060089        0.400290        0.259314        2.640278        mushroom             yes       52.494343            3174        0.000000      195.496994      213.212006       48.059898      132.590240
               1               9       40.898380             N/A      184.503586      147.943527       37.176239        0.411636        0.020000        2.824644        mushroom             yes       83.462653             480        0.639793      184.736389      147.607788       40.741436       77.323967
               3              24      100.338509             N/A      211.001404      225.514420       53.231728        1.006811        0.468863        2.317915        mushroom             yes       35.024550            1455        0.593384      213.024155      225.313110       54.656368      151.975113
              13              10       92.710716             N/A      217.887009      128.199982       50.346188        0.355484        0.020000        2.929588        mushroom             yes        1.530061             539        0.000000      218.434006      131.472000       50.434799      121.871826
              16              18       48.945675             N/A      153.417648      181.384216       43.204720        0.428388        0.020000        2.864961        mushroom             yes       71.364203             852        0.000000      152.507095      180.901276       46.261059       97.745369
              17              11       90.711151             N/A      213.627716      133.923386       52.683876        0.858315        0.669368        2.422324        mushroom             yes       15.191081             684        0.703357      213.917297      135.904877       53.227619      116.453514
              20              50      127.644310             N/A      132.418533      168.788513       49.988056        0.693467        0.020000        2.691533        mushroom             yes      -12.018064            4460        0.000000      131.201996      165.904999       49.321800       92.057152
              22              19       85.087410             N/A      153.430054      188.630463       56.568325        0.787964        0.020000        2.616712        mushroom             yes      -34.232486            1171        0.000000      152.938995      186.802002       55.280102      104.866112
              23              22       31.220943             N/A      182.492096      185.076981       41.355469        0.494029        0.385782        2.439610        mushroom             yes       71.194158            1418        0.693159      183.138123      183.980545       45.092468       96.261711
              25              34      108.689568             N/A      336.482941      258.721283       70.889687        0.822479        0.020000        2.574173        mushroom             yes       19.974734            2804        0.805764      336.213013      260.791992       71.648697      295.184326
              27              28      122.898727             N/A      298.217621      318.000000       88.876305        0.321617        0.020000        2.856533            thin             yes       -7.703180            2049        0.000000      296.567719      315.358429       88.455032      308.402313
              28              35      175.814926             N/A      249.617966      260.915680       51.760895        0.290656        0.020000        2.723958            thin             yes      -11.973763            2953        0.192004      252.226501      259.642517       51.145306      208.898132
              30              44       82.903763             N/A      244.339630      340.103607       61.762009        1.026592        0.390151        2.270398        mushroom             yes      -34.561520            3898        0.000000      244.289001      341.634003       60.707199      286.746460
              32              23       25.362888             N/A      211.199036      213.513504       54.676373        0.683858        0.372421        2.338696        mushroom             yes      -10.911245            1447        0.099624      209.419937      215.999222       54.087105      140.730789
              33              27       78.185562             N/A      280.617737      338.460754       55.020313        0.315063        0.020000        2.808030            thin             yes        6.001772            1916        0.000000      283.510986      338.875000       55.327599      299.993591
              34              24      100.338509             N/A      240.789429      272.898407       52.973785        0.762350        0.486870        2.379515        mushroom             yes       26.836232            1514        0.313880      239.142761      273.687469       53.897594      210.351746
              37              41       62.468407             N/A      293.888428      373.288635       49.501343        0.393711        0.020000        2.715971        mushroom             yes       55.575838            3658        0.000000      293.467010      374.977997       52.041901      339.668030
