              ID  SECTION-NUMBER  SECTION-LENGTH    BRANCH-ORDER               X               Y               Z   HEAD-DIAMETER   NECK-DIAMETER         MAX-DTS            TYPE            AUTO   XYPLANE-ANGLE     SWC-NODE-ID SWC-NODE-OFFSET        ATTACH-X        ATTACH-Y        ATTACH-Z   SOMA-DISTANCE
               2             114      122.101608             N/A      172.784912       22.842697       32.063408        0.908737        0.020000        2.888166        mushroom             yes       -4.815643            4123        0.157774      174.463715       25.630732       31.789228       98.092064
               4              94       12.809088             N/A      130.231049      101.017593       30.585461        0.967739             N/A        2.550367          stubby             yes       11.564032            2267        0.922322      136.325287      105.338867       32.114113        0.602345
               5              84       50.758118             N/A      155.600006      163.400024       15.087201        0.261963        0.020000        2.902445            thin             yes       82.662114            1300        0.407350      156.056473      163.271866       18.768953       73.514587
               6             100       95.275330             N/A      211.029449       50.579384       30.548229        0.996616        0.200000        2.303908        mushroom             yes      -15.677843            2813        0.000000      210.960739       48.433594       29.945662      102.692513
               7              97       46.867184             N/A      145.273926       72.222519       21.997078        0.475617        0.020000        2.832186        mushroom             yes       16.987127            2421        0.789162      143.035950       73.919472       22.855061       39.258274
               8              91      102.006058             N/A      168.370972       71.698219       39.885902        0.776579        0.020000        2.670833        mushroom             yes      -24.038903            1722        0.000000      170.147003       72.593300       38.998798       54.408455
               9              91      102.006058             N/A      187.636276       60.149532       36.417618        0.503972        0.020000        2.592275        mushroom             yes       20.845603            1767        0.848904      185.676880       59.185310       37.249153       76.274345
              11              72       45.519753             N/A      105.744499      157.602890       14.420424        0.755363        0.020000        2.724581        mushroom             yes       25.026656             621        0.539111      107.715088      157.086853       15.371463       75.347801
              12              64       68.906143             N/A      106.873825       75.580925        7.169666        1.012101        0.020000        2.606086        mushroom             yes       -6.536400              78        0.000000      109.528000       74.937698        6.856750       57.777817
              14             119       54.351818             N/A       99.255089       58.891850       13.402394        0.689451        0.020000        2.804311        mushroom             yes      -17.443864            4529        0.000000      101.861046       57.444576       12.465738       74.159401
              15              81       16.521017             N/A      130.656555      118.755135       18.364311        0.554510        0.020000        2.913993        mushroom             yes        2.406121            1152        0.330031      133.898392      117.409126       18.511806       20.468376
              18             119       54.351818             N/A      101.204842       60.892349       13.320519        0.496364        0.020000        2.940429        mushroom             yes       -2.634531            4528        0.000000      102.385460       57.762787       13.166611       73.722115
              19              76       46.344006             N/A       63.399994       84.644653        2.000000        0.200000        0.020000        2.866421            thin             yes       69.438171             995        0.820912       64.569443       84.537415        5.130653       99.330803
              21              79       78.674706             N/A       56.835659      123.760612       21.047806        0.358259        0.020000        2.843997        mushroom             yes      -68.616428            1123        0.845205       55.778870      124.284966       18.034962       96.784264
              24              66       90.496208             N/A       80.006958       71.697121       12.213146        0.769445        0.020000        2.662289        mushroom             yes      -20.157696             382        0.000000       79.077301       73.440697       11.487800       84.782990
              29              79       78.674706             N/A       59.226852      124.026573       17.412024        0.985167        0.615924        2.283397        mushroom             yes        7.234252            1124        0.019232       57.298500      122.823997       17.700500       98.835617
              31              79       78.674706             N/A       39.418110      134.463379       22.492613        0.700308        0.020000        2.272611        mushroom             yes      -15.605081            1140        0.714398       38.666695      132.785004       21.979006      122.350189
              35             114      122.101608             N/A      177.647049       21.011520       31.306444        0.803980        0.389893        2.338257        mushroom             yes       16.028974            4130        0.000000      178.009003       22.882401       31.853901      102.657326
              39              99      109.489647             N/A      248.567490       87.940056       20.146851        0.945140        0.316589        2.364318        mushroom             yes        7.369346            2678        0.000000      247.828995       90.169502       20.450600      129.089874
              40              64       68.906143             N/A      107.956909       78.156906        8.558412        0.330338        0.020000        2.925461            thin             yes       -9.093165              76        0.000000      110.473999       75.697899        7.995210       56.067478
              41              79       78.674706             N/A       36.426949      134.935898       22.916313        0.855770        0.020000        2.665547        mushroom             yes      -14.715538            1140        0.480383       36.416870      132.409576       22.252808      125.252800
              42              67       48.881317             N/A      159.326004       95.658081       14.043263        0.917025        0.020000        2.761738        mushroom             yes       -1.876804             480        0.000000      161.955994       97.824997       13.931600       39.430756
              43             119       54.351818             N/A      125.514366       66.594193       20.831213        0.583715        0.020000        2.498564        mushroom             yes       24.202928            4482        0.003834      124.025398       68.460556       21.904362       46.506630
              45              84       50.758118             N/A      149.353134      153.225082       20.125950        0.685307        0.020000        2.496888        mushroom             yes      -13.505460            1277        0.052091      151.103470      152.669128       19.684858       61.251793
              47              71       28.578785             N/A      108.890663      131.677094       17.335268        0.526002        0.020000        2.840567        mushroom             yes       29.179534             569        0.000000      106.828003      130.186996       18.756201       46.188675
              51              64       68.906143             N/A       90.085365       60.848934        6.366962        0.536221        0.020000        2.721884        mushroom             yes      -67.544192             137        0.000000       89.115303       60.276299        3.641480       85.719482
              52              99      109.489647             N/A      233.072571       84.502266       14.433598        0.851337             N/A        2.408945          stubby             yes       76.979479            2654        0.320713      233.018723       85.083694       16.958693      111.363373
              55              79       78.674706             N/A       79.910583      113.168938       19.458326        0.329190        0.020000        2.664068            thin             yes      -75.931038            1070        0.342076       79.139198      113.292999       16.340700       72.283516
              56              79       78.674706             N/A       79.537018      114.336662       19.481447        0.354714        0.020000        2.789505        mushroom             yes      -68.909925            1072        0.369008       78.727997      113.646004       16.723301       73.550064
              57              64       68.906143             N/A       87.905045       54.945354        3.592365        0.976902        0.020000        2.592390        mushroom             yes        0.234449             143        0.486482       87.613480       58.161057        3.605577       88.633911
              59              62        5.077393             N/A      134.429764      105.336510       19.145966        0.552792        0.020000        2.730336        mushroom             yes       47.119476               5        0.000000      135.822998      103.959000       21.255800       12.277786
              60             119       54.351818             N/A      102.226585       58.672180        9.695060        0.462155        0.020000        2.746741        mushroom             yes       69.178187            4531        0.000000      101.973999       57.591499       12.613300       75.075066
              61              66       90.496208             N/A       71.843941       70.568672        8.746632        0.302159        0.020000        2.772461            thin             yes       75.085495             401        0.964470       71.001015       70.710258       11.955691       93.667969
              64              91      102.006058             N/A      199.799988       50.364578       33.694000        0.270166        0.020000        2.822569            thin             yes       55.428360            1801        0.271940      198.151993       49.795300       36.224098       96.046051
              67             120       97.090538             N/A      126.028358       50.465767       55.744900        0.449463        0.020000        2.660282        mushroom             yes      -50.679369            4635        0.000000      125.393997       51.807201       53.933300       68.033623
              74             120       97.090538             N/A      113.463425       42.392311       68.160866        0.722578        0.020000        2.544506        mushroom             yes      -39.438319            4658        0.042608      111.879768       43.024769       66.758224       87.383522
              76             100       95.275330             N/A      169.781082       74.225395       28.294201        0.455046        0.020000        2.762805        mushroom             yes      -48.513878            2730        0.000000      171.587540       74.840408       26.136230       50.008224
              79              99      109.489647             N/A      186.018646       88.577866       19.694342        0.549542        0.020000        2.696227        mushroom             yes       74.825469            2574        0.000000      186.472229       89.192108       22.509676       60.605583
              80              78       25.360559             N/A       74.116219      108.162170       12.279820        0.754909        0.020000        2.518959        mushroom             yes      -31.847933            1031        0.464206       73.641472      110.066010       11.060969       76.860161
              83              73       30.646746             N/A       94.240921      175.400482       15.506124        0.690857        0.020000        2.393199        mushroom             yes      -21.228635             703        0.472978       95.593597      173.889633       14.718386       96.078156
              84             115        5.879249             N/A      134.808914       83.838150       30.540932        0.489096        0.020000        2.716613        mushroom             yes       56.278378            4198        0.218378      133.449997       84.542198       32.833900       22.521852
              87              75       36.981617             N/A      101.444939      111.260963       13.725127        0.448972        0.407031        2.331121        mushroom             yes       54.498061             906        0.000000      101.037003      112.372002       15.384300       46.910591
              88              99      109.489647             N/A      205.748779       85.934448       20.610228        0.749893        0.020000        2.549056        mushroom             yes       14.468037            2606        0.000000      204.766998       88.070900       21.216900       82.237411
              90              99      109.489647             N/A      178.765030       88.181831       24.218309        0.852517        0.020000        2.631366        mushroom             yes      -13.241064            2563        0.490976      179.908432       90.504578       23.609125       53.318802
              92              84       50.758118             N/A      164.144547      173.351364       15.476957        0.852979        0.020000        2.502585        mushroom             yes       87.643986            1324        0.390947      164.026825      173.394928       18.527845       86.432098
              97              81       16.521017             N/A      134.510101      116.599991       12.889895        0.234396        0.020000        2.719974            thin             yes       70.947520            1158        0.000000      134.481003      117.625000       15.859100       25.340118
              98              78       25.360559             N/A       59.766617      106.468575        6.706511        0.493882        0.020000        2.413430        mushroom             yes       28.927910            1061        0.000000       59.661598      107.981003        7.544390       92.200531
              99              87       78.405197             N/A      118.783768       86.261482       75.470589        0.470879        0.020000        2.690866        mushroom             yes       -1.076080            1449        0.000000      118.535500       83.478027       75.418098       62.016735
             102              67       48.881317             N/A      145.199997      102.229118       23.264551        0.300562        0.020000        2.703395            thin             yes      -74.322059             439        0.824407      144.947479      103.014915       20.323843       19.232485
             105              72       45.519753             N/A      110.502815      158.213669       14.642435        1.500054        0.020000        2.336631        mushroom             yes        4.850099             621        0.420769      108.720871      159.176544       14.814301       77.837624
             111              97       46.867184             N/A      129.400009       47.694443       16.954144        0.296721        0.020000        2.649034            thin             yes      -72.437019            2483        0.000000      130.397003       48.049000       13.610900       70.801003
             112             110      100.501129             N/A       66.288086       53.209991       44.461525        0.638608        0.020000        2.543250        mushroom             yes      -28.058995            3806        0.749044       65.423470       55.278942       43.266285      104.094727
             116              99      109.489647             N/A      185.307144       91.042099       20.853714        0.524689        0.020000        2.593678        mushroom             yes       46.866691            2571        0.780806      185.509430       89.384186       22.636459       59.219017
             121             116       74.974159             N/A       94.117889       63.604675       27.997272        0.504997        0.020000        2.444301        mushroom             yes       32.346296            4311        0.395338       94.617943       61.788208       29.190445       69.537872
