              ID  SECTION-NUMBER  SECTION-LENGTH    BRANCH-ORDER               X               Y               Z   HEAD-DIAMETER   NECK-DIAMETER         MAX-DTS            TYPE            AUTO   XYPLANE-ANGLE     SWC-NODE-ID SWC-NODE-OFFSET        ATTACH-X        ATTACH-Y        ATTACH-Z   SOMA-DISTANCE
               0              36       21.181078             N/A      197.666550      213.982483       45.060089        0.400290        0.259314        2.640278        mushroom             yes       52.494343            3172        0.000000      195.496994      213.212006       48.059898      130.538895
               1               9       40.898380             N/A      184.503586      147.943527       37.176239        0.411636        0.020000        2.824644        mushroom             yes       83.462653             481        0.848885      184.736389      147.607788       40.741436       77.905151
               2             114      122.101608             N/A      172.784912       22.842697       32.063408        0.908737        0.020000        2.888166        mushroom             yes       -4.815643            9276        0.157774      174.463715       25.630732       31.789228       98.092064
               3              24      100.338509             N/A      211.001404      225.514420       53.231728        1.006811        0.468863        2.317915        mushroom             yes       35.024550            1455        0.593384      213.024155      225.313110       54.656368      151.975113
               4              94       12.809088             N/A      130.231049      101.017593       30.585461        0.967739             N/A        2.550367          stubby             yes       11.564032            7420        0.922322      136.325287      105.338867       32.114113        0.602345
               5              84       50.758118             N/A      155.600006      163.400024       15.087201        0.261963        0.020000        2.902445            thin             yes       82.662114            6453        0.407350      156.056473      163.271866       18.768953       73.514587
               6             100       95.275330             N/A      211.029449       50.579384       30.548229        0.996616        0.200000        2.303908        mushroom             yes      -15.677843            7966        0.000000      210.960739       48.433594       29.945662      102.692513
               7              97       46.867184             N/A      145.273926       72.222519       21.997078        0.475617        0.020000        2.832186        mushroom             yes       16.987127            7574        0.789162      143.035950       73.919472       22.855061       39.258274
               8              91      102.006058             N/A      168.370972       71.698219       39.885902        0.776579        0.020000        2.670833        mushroom             yes      -24.038903            6875        0.000000      170.147003       72.593300       38.998798       54.408455
               9              91      102.006058             N/A      187.636276       60.149532       36.417618        0.503972        0.020000        2.592275        mushroom             yes       20.845603            6920        0.848904      185.676880       59.185310       37.249153       76.274345
              10             112       17.537169             N/A      138.329361      100.660072       25.116098        0.437523        0.020000        2.803634        mushroom             yes       65.700473            9094        0.631403      135.602448      102.698044       32.655998        2.985274
              11              72       45.519753             N/A      105.744499      157.602890       14.420424        0.755363        0.020000        2.724581        mushroom             yes       25.026656            5774        0.539111      107.715088      157.086853       15.371463       75.347801
              12              64       68.906143             N/A      106.873825       75.580925        7.169666        1.012101        0.020000        2.606086        mushroom             yes       -6.536400            5231        0.000000      109.528000       74.937698        6.856750       57.777817
              13              10       92.710716             N/A      217.887009      128.199982       50.346188        0.355484        0.020000        2.929588        mushroom             yes        1.530061             539        0.000000      218.434006      131.472000       50.434799      121.871826
              14             119       54.351818             N/A       99.255089       58.891850       13.402394        0.689451        0.020000        2.804311        mushroom             yes      -17.443864            9682        0.000000      101.861046       57.444576       12.465738       74.159401
              15              81       16.521017             N/A      130.656555      118.755135       18.364311        0.554510        0.020000        2.913993        mushroom             yes        2.406121            6305        0.330031      133.898392      117.409126       18.511806       20.468376
              16              18       48.945675             N/A      153.417648      181.384216       43.204720        0.428388        0.020000        2.864961        mushroom             yes       71.364203             851        0.000000      152.507095      180.901276       46.261059       97.209328
              17              11       90.711151             N/A      213.627716      133.923386       52.683876        0.858315        0.669368        2.422324        mushroom             yes       15.191081             529        0.000000      213.917297      135.904877       53.227619      115.815453
              18             119       54.351818             N/A      101.204842       60.892349       13.320519        0.496364        0.020000        2.940429        mushroom             yes       -2.634531            9681        0.000000      102.385460       57.762787       13.166611       73.722115
              19              76       46.344006             N/A       63.399994       84.644653        2.000000        0.200000        0.020000        2.866421            thin             yes       69.438171            6148        0.820912       64.569443       84.537415        5.130653       99.330803
              20              50      127.644310             N/A      132.418533      168.788513       49.988056        0.693467        0.020000        2.691533        mushroom             yes      -12.018064            4460        0.000000      131.201996      165.904999       49.321800       92.057152
              21              79       78.674706             N/A       56.835659      123.760612       21.047806        0.358259        0.020000        2.843997        mushroom             yes      -68.616428            6279        0.873105       55.778870      124.284966       18.034962      101.160446
              22              19       85.087410             N/A      153.430054      188.630463       56.568325        0.787964        0.020000        2.616712        mushroom             yes      -34.232486            1171        0.000000      152.938995      186.802002       55.280102      104.866112
              23              22       31.220943             N/A      182.492096      185.076981       41.355469        0.494029        0.385782        2.439610        mushroom             yes       71.194158            1418        0.693159      183.138123      183.980545       45.092468       96.261711
              24              66       90.496208             N/A       80.006958       71.697121       12.213146        0.769445        0.020000        2.662289        mushroom             yes      -20.157696            5535        0.000000       79.077301       73.440697       11.487800       84.782990
              25              34      108.689568             N/A      336.482941      258.721283       70.889687        0.822479        0.020000        2.574173        mushroom             yes       19.974734            2804        0.805764      336.213013      260.791992       71.648697      295.184326
              26              68       12.700668             N/A      134.400009      113.000008       29.046881        0.200000        0.020000        2.883209            thin             yes      -26.710402            5659        0.272138      133.806244      108.696449       26.860924        6.779761
              27              28      122.898727             N/A      298.217621      318.000000       88.876305        0.321617        0.020000        2.856533            thin             yes       -7.703180            2049        0.000000      296.567719      315.358429       88.455032      308.402313
              28              35      175.814926             N/A      249.617966      260.915680       51.760895        0.290656        0.020000        2.723958            thin             yes      -11.973763            2953        0.192004      252.226501      259.642517       51.145306      208.898132
              29              79       78.674706             N/A       59.226852      124.026573       17.412024        0.985167        0.615924        2.283397        mushroom             yes        7.234252            6277        0.019232       57.298500      122.823997       17.700500       98.835617
              30              44       82.903763             N/A      244.339630      340.103607       61.762009        1.026592        0.390151        2.270398        mushroom             yes      -34.561520            3896        0.000000      244.289001      341.634003       60.707199      285.692200
              31              79       78.674706             N/A       39.418110      134.463379       22.492613        0.700308        0.020000        2.272611        mushroom             yes      -15.605081            6293        0.714398       38.666695      132.785004       21.979006      122.350189
              32              23       25.362888             N/A      211.199036      213.513504       54.676373        0.683858        0.372421        2.338696        mushroom             yes      -10.911245            1447        0.099624      209.419937      215.999222       54.087105      140.730789
              33              27       78.185562             N/A      280.617737      338.460754       55.020313        0.315063        0.020000        2.808030            thin             yes        6.001772            1916        0.000000      283.510986      338.875000       55.327599      299.993591
              34              24      100.338509             N/A      240.789429      272.898407       52.973785        0.762350        0.486870        2.379515        mushroom             yes       26.836232            1514        0.313880      239.142761      273.687469       53.897594      210.351746
              35             114      122.101608             N/A      177.647049       21.011520       31.306444        0.803980        0.389893        2.338257        mushroom             yes       16.028974            9283        0.000000      178.009003       22.882401       31.853901      102.657326
              36              85       13.723148             N/A      141.888870      102.750351       34.857040        3.128497             N/A        2.521371          stubby             yes       24.289733            7420        0.415867      139.026886      101.773407       36.221836        4.529580
              37              41       62.468407             N/A      293.888428      373.288635       49.501343        0.393711        0.020000        2.715971        mushroom             yes       55.575838            3655        0.614937      293.467010      374.977997       52.041901      338.093079
              38              35      175.814926             N/A      272.854736      327.447815       46.573685        0.935548        0.726277        2.373255        mushroom             yes      -65.045011            3059        0.998403      273.296997      326.550995       44.424900      284.196869
              39              99      109.489647             N/A      248.567490       87.940056       20.146851        0.945140        0.316589        2.364318        mushroom             yes        7.369346            7831        0.000000      247.828995       90.169502       20.450600      129.089874
              40              64       68.906143             N/A      107.956909       78.156906        8.558412        0.330338        0.020000        2.925461            thin             yes       -9.093165            5229        0.000000      110.473999       75.697899        7.995210       56.067478
              41              79       78.674706             N/A       36.426949      134.935898       22.916313        0.855770        0.020000        2.665547        mushroom             yes      -14.715538            6293        0.480383       36.416870      132.409576       22.252808      125.252800
              42              67       48.881317             N/A      159.326004       95.658081       14.043263        0.917025        0.020000        2.761738        mushroom             yes       -1.876804            5633        0.000000      161.955994       97.824997       13.931600       39.430756
              43             119       54.351818             N/A      125.514366       66.594193       20.831213        0.583715        0.020000        2.498564        mushroom             yes       24.202928            9634        0.620155      124.025398       68.460556       21.904362       45.597450
              44              19       85.087410             N/A      156.429535      205.296829       78.196182        0.344857        0.020000        2.889672            thin             yes       76.898568            1232        0.000000      155.779999      204.434006       82.836601      145.043015
              45              84       50.758118             N/A      149.353134      153.225082       20.125950        0.685307        0.020000        2.496888        mushroom             yes      -13.505460            4934        0.324375      151.103470      152.669128       19.684858       66.647964
              46              31      115.756554             N/A      282.346954      275.370300       91.132645        0.737593        0.547136        2.230922        mushroom             yes       39.485592            2307        0.047926      280.796417      275.373077       92.410156      254.117691
              47              71       28.578785             N/A      108.890663      131.677094       17.335268        0.526002        0.020000        2.840567        mushroom             yes       29.179534            5722        0.000000      106.828003      130.186996       18.756201       46.188675
              48             112       17.537169             N/A      133.332687      104.258270       40.370197        0.296016        0.020000        2.627845            thin             yes      -69.719439            9094        0.606005      135.557480      102.497131       32.691479        3.190970
              49              19       85.087410             N/A      154.689819      203.771957       79.016380        0.218037        0.020000        2.523875            thin             yes       75.567788            1232        0.000000      155.501999      203.858002       82.189903      145.043015
              50               0       35.017231             N/A      144.576920      108.367104       36.133972        0.594832        0.020000        2.654875        mushroom             yes      -38.229003               2        0.298259      141.554016      111.256859       32.839680        8.096113
              51              64       68.906143             N/A       90.085365       60.848934        6.366962        0.536221        0.020000        2.721884        mushroom             yes      -67.544192            5290        0.000000       89.115303       60.276299        3.641480       85.719482
              52              99      109.489647             N/A      233.072571       84.502266       14.433598        0.851337             N/A        2.408945          stubby             yes       76.979479            7807        0.320713      233.018723       85.083694       16.958693      111.363373
              53              60       36.370293             N/A      168.377762      132.103302       10.597942        0.516627        0.020000        2.699186        mushroom             yes       57.843051            5143        0.072540      167.371994      130.623993       13.443300       67.331734
              54              34      108.689568             N/A      301.833771      265.955627       73.566261        0.736481        0.313354        2.246070        mushroom             yes      -40.270462            2730        0.000000      302.646271      264.792633       72.364372      257.628723
              55              79       78.674706             N/A       79.910583      113.168938       19.458326        0.329190        0.020000        2.664068            thin             yes      -75.931038            6221        0.000000       79.139198      113.292999       16.340700       71.145409
              56              79       78.674706             N/A       79.537018      114.336662       19.481447        0.354714        0.020000        2.789505        mushroom             yes      -68.909925            6222        0.000000       78.727997      113.646004       16.723301       71.808792
              57              64       68.906143             N/A       87.905045       54.945354        3.592365        0.976902        0.020000        2.592390        mushroom             yes        0.234449            5296        0.486482       87.613480       58.161057        3.605577       88.633911
              58               0       35.017231             N/A      143.885315      109.547821       26.492567        0.398508        0.020000        2.734942        mushroom             yes       65.188469               2        0.335315      141.398651      111.088432       32.820004        7.668582
              59              62        5.077393             N/A      134.429764      105.336510       19.145966        0.552792        0.020000        2.730336        mushroom             yes       47.119476            5158        0.000000      135.822998      103.959000       21.255800       12.277786
              60             119       54.351818             N/A      102.226585       58.672180        9.695060        0.462155        0.020000        2.746741        mushroom             yes       69.178187            9682        0.000000      101.973999       57.591499       12.613300       74.159401
              61              66       90.496208             N/A       71.843941       70.568672        8.746632        0.302159        0.020000        2.772461            thin             yes       75.085495            5554        0.964470       71.001015       70.710258       11.955691       93.667969
