              ID  SECTION-NUMBER  SECTION-LENGTH    BRANCH-ORDER               X               Y               Z   HEAD-DIAMETER   NECK-DIAMETER         MAX-DTS            TYPE            AUTO   XYPLANE-ANGLE     SWC-NODE-ID SWC-NODE-OFFSET        ATTACH-X        ATTACH-Y        ATTACH-Z   SOMA-DISTANCE
               0               6      124.395950             N/A      431.461975      150.025101       26.674202        0.532550        0.020000        2.982802        mushroom             yes      -12.105627             372        0.998101      430.489014      153.085083       25.985506       82.606804
               1              94       64.322647             N/A      220.262573      366.916046       75.680534        0.817581        0.020000        2.952184        mushroom             yes        4.002917            9751        0.177100      217.961349      364.948059       75.892426      306.296661
               2              70       87.734940             N/A      207.129395      185.109680       28.133316        0.632935        0.020000        2.985742        mushroom             yes       -8.670492            6813        0.807457      210.246368      183.905457       27.623755      191.197388
               3              76      153.290054             N/A      207.707458      341.385162       13.541762        0.860272        0.020000        2.919759        mushroom             yes       -0.863210            7339        0.503763      209.304230      338.977234       13.498230      287.708618
               4             103      156.945786             N/A      235.600021      358.399994       23.017239        0.398394        0.020000        2.984289        mushroom             yes       -1.054565           10535        0.000000      232.298996      359.734009       22.951700      269.047821
               5              76      153.290054             N/A      192.206924      319.712067       20.383194        0.681376        0.020000        2.940328        mushroom             yes       -7.377947            7287        0.000000      194.955994      318.326996       19.984600      259.231049
               6             101       48.354111             N/A      233.003555      307.267639       22.475620        0.691954        0.020000        2.976989        mushroom             yes       21.204250           10318        0.230429      231.463013      309.703613       23.593809      215.346252
               7             148      140.279419             N/A      395.294067      156.000000       40.320858        0.353577        0.020000        2.980628        mushroom             yes       -3.809911           16601        0.000000      393.595306      153.265167       40.106461       46.930710
               8              76      153.290054             N/A      271.710693      397.780914        5.101574        1.206973        0.020000        2.906238        mushroom             yes       18.703055            7521        0.000000      269.543732      396.195709        6.010516      380.494781
               9              38       84.491905             N/A      352.751404      291.782867       36.351601        0.624790        0.020000        2.976186        mushroom             yes       16.384513            3627        0.109422      355.297760      290.273712       37.221901      173.231705
              10              34       73.837898             N/A      223.911331      197.073380       10.581032        0.554722        0.020000        2.922740        mushroom             yes       -2.920122            3414        0.000000      226.738998      196.927002       10.436600      187.077484
              11             136      150.135696             N/A      375.609039      112.210297       42.483311        0.474812        0.020000        2.960085        mushroom             yes       10.689693           14832        0.748554      378.098083      113.935875       43.055023       58.051788
              12             123      178.787842             N/A      300.906433      150.051544       42.602707        0.558155        0.020000        2.948919        mushroom             yes       -1.294687           13054        0.000000      300.704987      146.996002       42.533501       67.837212
              13             103      156.945786             N/A      234.619156      361.500366       24.926205        0.515047        0.020000        2.933247        mushroom             yes      -43.714444           10537        0.000000      232.582993      360.860992       22.885700      270.217621
              14              74       71.210915             N/A      245.093628      259.006470       41.856720        0.378601        0.020000        2.945563        mushroom             yes       16.371488            7130        0.433968      243.509659      256.611084       42.700363      159.891876
