              ID  SECTION-NUMBER  SECTION-LENGTH    BRANCH-ORDER               X               Y               Z   HEAD-DIAMETER   NECK-DIAMETER         MAX-DTS            TYPE            AUTO   XYPLANE-ANGLE     SWC-NODE-ID SWC-NODE-OFFSET        ATTACH-X        ATTACH-Y        ATTACH-Z   SOMA-DISTANCE
               1              94       64.322647             N/A      220.262573      366.916046       75.680534        0.817581        0.020000        2.952184        mushroom             yes        4.002917            7802        0.177100      217.961349      364.948059       75.892426      306.296661
               2              70       87.734940             N/A      207.129395      185.109680       28.133316        0.632935        0.020000        2.985742        mushroom             yes       -8.670492            4864        0.807457      210.246368      183.905457       27.623755      191.197388
               3              76      153.290054             N/A      207.707458      341.385162       13.541762        0.860272        0.020000        2.919759        mushroom             yes       -0.863210            5390        0.503763      209.304230      338.977234       13.498230      287.708618
               4             103      156.945786             N/A      235.600021      358.399994       23.017239        0.398394        0.020000        2.984289        mushroom             yes       -1.054565            8586        0.000000      232.298996      359.734009       22.951700      269.047821
               5              76      153.290054             N/A      192.206924      319.712067       20.383194        0.681376        0.020000        2.940328        mushroom             yes       -7.377947            5338        0.000000      194.955994      318.326996       19.984600      259.231049
               6             101       48.354111             N/A      233.003555      307.267639       22.475620        0.691954        0.020000        2.976989        mushroom             yes       21.204250            8369        0.230429      231.463013      309.703613       23.593809      215.346252
               8              76      153.290054             N/A      271.710693      397.780914        5.101574        1.206973        0.020000        2.906238        mushroom             yes       18.703055            5572        0.000000      269.543732      396.195709        6.010516      380.494781
               9              38       84.491905             N/A      352.751404      291.782867       36.351601        0.624790        0.020000        2.976186        mushroom             yes       16.384513            1678        0.109422      355.297760      290.273712       37.221901      173.231705
              10              34       73.837898             N/A      223.911331      197.073380       10.581032        0.554722        0.020000        2.922740        mushroom             yes       -2.920122            1465        0.000000      226.738998      196.927002       10.436600      187.077484
              13             103      156.945786             N/A      234.619156      361.500366       24.926205        0.515047        0.020000        2.933247        mushroom             yes      -43.714444            8588        0.000000      232.582993      360.860992       22.885700      270.217621
              14              74       71.210915             N/A      245.093628      259.006470       41.856720        0.378601        0.020000        2.945563        mushroom             yes       16.371488            5181        0.433968      243.509659      256.611084       42.700363      159.891876
              15              70       87.734940             N/A      213.054825      182.275665       28.024546        0.439894        0.020000        2.937867        mushroom             yes       -4.411781            4864        0.707478      209.912354      182.861816       27.777914      192.066559
              16              94       64.322647             N/A      225.971405      360.662415       75.232269        0.716139        0.020000        2.932300        mushroom             yes        5.809181            7802        0.454426      223.662064      358.655273       75.543556      297.817932
              17              78      158.775360             N/A      163.795364      300.470764       44.758739        0.616224        0.020000        2.917754        mushroom             yes       20.357750            5873        0.028388      162.611618      297.975952       45.783379      268.686859
              18              43      132.773987             N/A      270.123566      337.804657       14.763729        0.652419        0.020000        2.893732        mushroom             yes       -5.171468            2253        0.000000      267.934998      335.730011       14.490800      223.849716
              19              89      147.108734             N/A      110.924889      234.200012       61.755783        0.370758        0.020000        2.946378        mushroom             yes      -16.368935            7115        0.944435      110.007004      237.205994       60.832600      316.276581
              20              34       73.837898             N/A      224.489563      194.814484       10.594711        0.610995        0.020000        2.940352        mushroom             yes       -3.288126            1465        0.000000      226.786163      196.875641       10.417421      187.077484
              21              99       96.494308             N/A      229.569489      344.121552        2.800000        0.473267        0.020000        2.931102        mushroom             yes       28.168311            8354        0.000000      231.272003      341.919006        4.290700      273.364288
              22              99       96.494308             N/A      234.081909      345.560608        2.800000        0.200000        0.020000        2.914643            thin             yes       25.480044            8359        0.000000      234.227005      342.489990        4.264930      276.504822
              23              44       26.074957             N/A      315.665222      275.324371       19.299463        0.460631        0.020000        2.914577        mushroom             yes       -3.252356            2347        0.000000      318.923004      275.595001       19.113701      143.185333
              26              59       70.166946             N/A      364.670319      226.982788        2.088719        1.298437        0.940743        2.761576        mushroom             yes       68.680280            4239        0.000000      365.417114      226.770264        4.078181      151.446564
              28              68       70.201988             N/A      213.300018      204.879120       18.003693        0.655448        0.020000        2.810937        mushroom             yes        8.488138            4766        0.000000      211.666000      207.154007       18.421700      185.083191
              31              42       44.145134             N/A      311.199982      234.673126       27.864170        0.350100        0.020000        2.890802        mushroom             yes        5.360649            2043        0.074585      315.014740      234.965439       28.223177       97.984375
              32              76      153.290054             N/A      265.738068      391.961975        2.817935        0.475021        0.020000        2.868844        mushroom             yes       83.173463            5564        0.000000      266.058014      391.802002        5.806020      373.653687
              33              76      153.290054             N/A      267.262634      391.245422        2.814241        0.733269        0.020000        2.857663        mushroom             yes       76.258757            5565        0.063606      267.578003      391.869995        5.675480      375.083649
              36              43      132.773987             N/A      263.214844      343.006348       12.222391        0.582306        0.020000        2.801995        mushroom             yes        5.698784            2270        0.151228      260.738281      341.182526       12.529317      233.579346
              37              43      132.773987             N/A      248.030334      347.397583       13.069222        0.443511        0.020000        2.868629        mushroom             yes      -50.478114            2301        0.493162      248.966690      349.009644       10.809442      248.423325
              38              82       55.982197             N/A      192.164154      321.049561       71.949287        0.342457        0.020000        2.850750            thin             yes       17.028525            6288        0.159363      194.836060      322.434448       72.871017      266.407104
              39              99       96.494308             N/A      228.801819      340.065948        2.800000        0.387046        0.020000        2.831866        mushroom             yes       35.785392            8350        0.000000      231.246582      340.684692        4.617836      271.167877
              42              52      142.858246             N/A      302.973358      350.735657       16.119324        0.529616        0.020000        2.798151        mushroom             yes      -12.872876            3312        0.699846      301.799316      347.973145       15.433352      227.844025
              43              43      132.773987             N/A      271.882660      335.853699       15.549773        0.750636        0.020000        2.763250        mushroom             yes       -1.313217            2247        0.819703      270.248047      333.636780       15.486631      220.128738
              44              95       34.769867             N/A      237.401367      349.994598       71.471451        0.602575        0.020000        2.745585        mushroom             yes       -7.221632            7901        0.963797      235.199249      348.650208       71.144524      282.953796
              48              41      147.100510             N/A      410.601563      233.734238       36.241322        0.583469        0.020000        2.751750        mushroom             yes       -1.895505            1925        0.000000      409.945007      231.160004       36.153400      193.532730
              49              99       96.494308             N/A      231.908157      344.145416        2.828285        0.514674        0.020000        2.734079        mushroom             yes       32.199229            8358        0.000000      231.714020      341.870514        4.266031      275.737579
              51              94       64.322647             N/A      223.000015      364.000031       75.817291        0.245490        0.020000        2.766237            thin             yes       -1.705981            7802        0.307606      220.696686      361.928650       75.725029      302.306671
              52              86       47.799389             N/A      201.490173      249.179001       58.092968        0.492918        0.020000        2.735057        mushroom             yes      -20.077509            6769        0.000000      200.404007      251.720993       57.082600      210.535217
              53              88       50.360317             N/A      172.400024      239.066238       59.033482        0.305237        0.020000        2.734148            thin             yes      -23.961756            6952        0.435962      173.056335      236.412476       57.818539      245.168900
              54              54       18.532040             N/A      325.040192      307.700104        5.869939        0.939805        0.020000        2.625547        mushroom             yes       28.027581            3668        0.810753      327.074860      306.580322        7.106243      183.230270
              57              70       87.734940             N/A      212.503021      181.035156       28.270294        0.308904        0.020000        2.685140            thin             yes       -5.726196            4864        0.549802      209.507675      181.597351       27.964691      193.437302
              60              76      153.290054             N/A      206.867065      340.160339       13.713171        0.684940        0.020000        2.602408        mushroom             yes        0.903063            5389        0.000000      208.858673      338.644318       13.752625      287.268616
              61              42       44.145134             N/A      311.838531      232.647064       28.885588        0.239727        0.020000        2.664303            thin             yes        6.753038            2039        0.764721      314.689423      231.924728       29.233833       94.391029
              62              35       33.447510             N/A      281.635590      171.604782        6.764250        0.481532        0.020000        2.653808        mushroom             yes       66.589094            1539        0.203910      280.625305      170.989716        9.496078      144.190567
              64              99       96.494308             N/A      219.163040      319.748657       10.706827        0.898039        0.489035        2.520347        mushroom             yes       -5.555694            8304        0.861752      220.659302      318.082489       10.489000      244.908569
              65              89      147.108734             N/A       36.589146      237.471283       70.470894        0.534811        0.020000        2.633004        mushroom             yes        2.527261            7234        0.734520       38.172874      235.333847       70.588310      397.084717
              66              76      153.290054             N/A      205.787903      337.867157       13.091585        0.489502        0.020000        2.614174        mushroom             yes       16.621036            5385        0.000000      208.121002      337.075989       13.827000      285.387177
              67              90      171.954971             N/A       91.194160      245.230789       48.378304        0.534587        0.020000        2.615214        mushroom             yes        4.721029            7373        0.865130       93.098602      243.097717       48.614456      331.940765
              69              43      132.773987             N/A      288.179565      317.318085       19.443777        0.446863        0.020000        2.606866        mushroom             yes        3.924657            2203        0.000000      285.819000      316.230011       19.622101      195.611557
              71              94       64.322647             N/A      217.173035      369.355927       74.640060        0.539825        0.020000        2.599737        mushroom             yes       30.606415            7802        0.051615      215.457764      367.711639       76.045639      310.133148
              73              39       29.448338             N/A      372.512421      319.128326       44.852150        0.492814        0.020000        2.595847        mushroom             yes       -0.198066            1729        0.000000      374.063995      317.092010       44.843300      212.194550
              74              49       42.821186             N/A      316.808167      361.736633       10.559831        0.339297        0.020000        2.613577            thin             yes       82.788869            2894        0.459781      316.491241      362.000061       13.816940      240.459702
              75             101       48.354111             N/A      215.971237      328.136505       15.994189        0.540936        0.020000        2.543245        mushroom             yes      -13.796945            8426        0.659533      213.580948      328.483429       15.401063      245.986053
              78              51       86.422806             N/A      322.016632      443.522888       12.238314        0.363287        0.020000        2.598160        mushroom             yes        7.353330            3214        0.000000      324.399994      441.822998       12.616100      325.099030
