              ID  SECTION-NUMBER  SECTION-LENGTH    BRANCH-ORDER               X               Y               Z   HEAD-DIAMETER   NECK-DIAMETER         MAX-DTS            TYPE            AUTO   XYPLANE-ANGLE     SWC-NODE-ID SWC-NODE-OFFSET        ATTACH-X        ATTACH-Y        ATTACH-Z   SOMA-DISTANCE
               0               6      124.395950             N/A      431.461975      150.025101       26.674202        0.532550        0.020000        2.982802        mushroom             yes      -12.105627             372        0.998101      430.489014      153.085083       25.985506       82.606804
               7             148      140.279419             N/A      395.294067      156.000000       40.320858        0.353577        0.020000        2.980628        mushroom             yes       -3.809911            7692        0.000000      393.595306      153.265167       40.106461       46.930710
              11             136      150.135696             N/A      375.609039      112.210297       42.483311        0.474812        0.020000        2.960085        mushroom             yes       10.689693            5923        0.748554      378.098083      113.935875       43.055023       58.051788
              12             123      178.787842             N/A      300.906433      150.051544       42.602707        0.558155        0.020000        2.948919        mushroom             yes       -1.294687            4145        0.000000      300.704987      146.996002       42.533501       67.837212
              24             145      178.503357             N/A      376.529388      204.705521       52.209682        0.601765        0.020000        2.894785        mushroom             yes      -13.115928            7138        0.000000      379.096680      203.820007       51.576920       73.764153
              25             131      106.835510             N/A      372.844971       74.088753       31.382572        0.734631        0.020000        2.889200        mushroom             yes       71.163573            5555        0.215771      373.598999       73.549202       34.100498       92.258667
              27             128      140.500244             N/A      480.050476      123.750809       21.380341        0.542900        0.020000        2.876378        mushroom             yes       -9.700191            5117        0.000000      480.696838      126.393120       20.915356      152.703598
              29              13       62.004623             N/A      390.160736      237.095825       26.173021        0.278178        0.020000        2.873053            thin             yes        5.342433            1726        0.000000      391.884003      234.464005       26.467199      103.860146
              30             112       56.688534             N/A      346.700989      145.502563       18.546835        0.513891        0.020000        2.849969        mushroom             yes      -33.297101            2608        0.000000      344.360992      146.347000       16.912901       44.305069
              34             128      140.500244             N/A      424.697876      138.221146       23.439671        0.962788        0.020000        2.851463        mushroom             yes       -8.871744            4970        0.000000      424.843994      135.319000       22.986099       92.521027
              35               3       73.761856             N/A      416.042786      116.600014        8.857452        0.336418        0.020000        2.873207            thin             yes        2.934395             143        0.482707      413.780670      114.369621        9.020292       88.155998
              40              13       62.004623             N/A      392.600037      230.372391       27.078125        0.370327        0.020000        2.836341        mushroom             yes       -8.922560            1719        0.000000      390.411987      232.365005       26.613501      101.240791
              41             148      140.279419             N/A      411.441803      149.344864       39.100636        0.486323        0.020000        2.815218        mushroom             yes       18.542805            7742        0.319859      411.605682      146.650742       40.005985       67.101402
              45             113      172.208557             N/A      322.144012      134.344254       27.596373        0.622904        0.020000        2.749709        mushroom             yes       49.903011            2722        0.000000      321.223999      135.679001       29.521700       39.185074
