              ID  SECTION-NUMBER  SECTION-LENGTH    BRANCH-ORDER               X               Y               Z   HEAD-DIAMETER   NECK-DIAMETER         MAX-DTS            TYPE            AUTO   XYPLANE-ANGLE     SWC-NODE-ID SWC-NODE-OFFSET        ATTACH-X        ATTACH-Y        ATTACH-Z   SOMA-DISTANCE
               0              40      289.178741             N/A     1009.787354      374.342896       19.029440        0.681328        0.020000        2.989259        mushroom             yes       17.795698            7258        0.000000     1008.571411      377.049866       19.981962      341.072937
               2               8      344.175964             N/A      492.175812      185.909271       29.129480        0.574006        0.020000        2.988961        mushroom             yes        6.951871            1408        0.000000      494.394592      183.948837       29.490496      262.627197
               4              58      306.402466             N/A      779.563904      181.345383       43.069424        1.035552        0.020000        2.993353        mushroom             yes        3.754551           10434        0.002974      782.329468      182.246857       43.260307      173.499359
               7              54      217.061752             N/A      861.292358      312.033447       44.313492        0.911689        0.020000        2.993961        mushroom             yes       -3.922220            9754        0.000000      862.822937      314.979248       44.085884      175.453140
              14              22      201.893295             N/A      653.573608       43.993641       44.092110        1.137314        0.020000        2.993145        mushroom             yes      -11.264769            4543        0.000000      656.334961       45.334221       43.480713      307.153992
              15              52      274.383606             N/A      847.313416      274.792572       38.416290        0.586304        0.020000        2.992156        mushroom             yes       -0.908529            8744        0.287506      849.088501      277.484894       38.365150      167.747925
              19              54      217.061752             N/A      892.424377      323.313324       43.692261        0.876709        0.020000        2.989281        mushroom             yes       -5.172623            9814        0.044120      892.445251      320.221069       43.412327      207.784042
              23              34      327.272156             N/A      827.166931      543.292725       26.670471        1.373737        0.020000        2.980920        mushroom             yes        4.823427            6174        0.581146      829.758240      543.074890       26.889908      303.823425
              26              44       42.995518             N/A      783.225647      303.934113        6.044675        1.171480        0.020000        2.989720        mushroom             yes      -30.590871            7909        0.271973      783.042786      300.879944        4.235868      103.139153
              28              11      264.444763             N/A      503.063629      224.855087       46.711510        0.490852        0.020000        2.994162        mushroom             yes        1.956674            1959        0.585583      502.722290      227.929611       46.817192      243.640106
              30              53      292.102478             N/A     1002.777527      299.244598       28.962244        0.561855        0.020000        2.985948        mushroom             yes       -2.019780            9478        0.000000     1000.421753      297.787537       28.864557      339.039001
              31              23      212.921539             N/A      736.080017      158.881714       34.915779        0.946686        0.020000        2.991519        mushroom             yes        4.139418            4665        0.000000      738.810486      160.163940       35.134094      169.818588
              35              53      292.102478             N/A      952.653687      331.721191       36.471897        0.782621        0.020000        2.991482        mushroom             yes      -18.113967            9367        0.000000      951.102783      328.925476       35.426067      270.993530
              38              12      351.498505             N/A      634.215820      276.628601       39.500961        0.667667        0.020000        2.993255        mushroom             yes        9.089126            2123        0.761873      636.025757      279.089478       39.989666       94.909332
              39              18      216.612579             N/A      742.700562      104.655899       23.585598        0.587402        0.020000        2.995414        mushroom             yes        0.774560            3580        0.000000      742.601807      101.421822       23.629341      272.577972
              46              53      292.102478             N/A      916.516846      338.953583       36.876869        0.844276        0.020000        2.987516        mushroom             yes        4.409860            9311        0.000000      917.188293      335.626007       37.138660      233.412537
              47              34      327.272156             N/A      799.419983      483.815338       26.766432        0.949812        0.020000        2.976909        mushroom             yes       -6.122210            6099        0.592716      797.509094      485.622894       26.484297      235.309326
              50              14      157.712357             N/A      654.707031      235.621750       46.825214        0.582912        0.020000        2.994343        mushroom             yes       11.089566            2676        0.433623      657.798035      236.004990       47.435699      105.500450
              51              33      241.048950             N/A      872.299438      489.367645        9.740444        0.713866        0.020000        2.993648        mushroom             yes       -4.175381            5818        0.000000      869.499084      491.178070        9.497006      279.985657
              52              22      201.893295             N/A      695.724670       95.942360       37.760098        0.625255        0.020000        2.994659        mushroom             yes       -1.271581            4446        0.000000      692.439270       96.328995       37.686668      236.256378
              64              12      351.498505             N/A      417.536255      354.339600       57.733257        0.533131        0.020000        2.994358        mushroom             yes       -6.349335            2485        0.000000      418.128845      351.050079       57.361332      341.848602
              65              12      351.498505             N/A      455.841034      341.969879       54.368305        0.912997        0.020000        2.993177        mushroom             yes        4.963638            2421        0.000000      454.879852      339.002502       54.639202      299.477325
              66              11      264.444763             N/A      573.346313      248.371033       45.031105        0.447808        0.020000        2.995628        mushroom             yes       10.030641            1814        0.000000      574.742920      245.341766       45.621120      164.818481
              67              48      235.151657             N/A      730.848694      353.335205       57.667328        0.563141        0.020000        2.994043        mushroom             yes       -1.663231            8027        0.000000      727.839966      354.606995       57.572479       96.291878
              68              33      241.048950             N/A      831.904907      461.429169       11.255928        0.927286        0.020000        2.982006        mushroom             yes       15.161151            5765        0.889350      834.879150      461.916504       12.072594      229.966904
              69              38      241.042618             N/A      947.638611      116.832253       19.999197        1.085616        0.020000        2.986351        mushroom             yes       -9.563669            6866        0.000000      949.695984      119.380424       19.447399      339.735748
              72               6      323.868408             N/A      583.071472      392.567627       18.565323        0.357173        0.020000        2.994376        mushroom             yes        2.514844             635        0.000000      585.698364      394.465668       18.707663      183.704727
              76              59      269.055634             N/A      789.053284      255.302200       42.430939        1.006025        0.020000        2.970478        mushroom             yes        6.338234           10874        0.354388      790.290955      257.428955       42.704262      113.656601
              77              34      327.272156             N/A      863.757935      581.441650       31.005033        0.584681        0.020000        2.988464        mushroom             yes       -6.965438            6259        0.000000      860.616516      581.833618       30.618263      362.148529
              78               1      274.415192             N/A      475.179077      152.269852       42.368176        0.873414        0.020000        2.990995        mushroom             yes       -8.468763             402        0.000000      477.328766      149.603729       41.858242      302.655396
              86               6      323.868408             N/A      539.865540      455.450470       16.403599        1.071835        0.020000        2.985883        mushroom             yes        7.639125             781        0.000000      537.748230      453.804077       16.763330      263.641357
              87              14      157.712357             N/A      665.819641      200.759644       58.513325        0.625345        0.020000        2.991647        mushroom             yes       11.404745            2747        0.000000      663.074036      203.026489       59.231548      147.432892
              88              19      271.724274             N/A      753.577087       35.944466       44.295410        1.383909        0.020000        2.981060        mushroom             yes        9.543799            4077        0.000000      756.412292       35.863880       44.772282      330.222961
              91              33      241.048950             N/A      875.502441      509.112213        7.978477        0.263062        0.020000        2.986725            thin             yes        3.645015            5840        0.000000      877.813354      507.476166        8.158849      298.790771
             102              58      306.402466             N/A      831.418762       93.008232       43.051758        0.877477        0.020000        2.988580        mushroom             yes        0.852704           10627        0.305576      834.306580       94.238472       43.098476      283.938843
             104               5       36.687626             N/A      655.699707      319.483032       16.959986        0.596319        0.020000        2.981803        mushroom             yes        6.755456             448        0.058642      658.149353      322.195343       17.392910       83.305222
             105              14      157.712357             N/A      651.724426      216.377548       55.715858        0.610155        0.020000        2.973811        mushroom             yes        7.695351            2707        0.000000      654.462891      216.854660       56.091461      127.491127
             107              23      212.921539             N/A      785.970215      103.279503       34.105335        1.662961        0.822898        2.971537        mushroom             yes       -9.430528            4779        0.570473      785.023132      102.038223       33.846004      247.397446
             108              32       42.279358             N/A      758.120361      357.925903       25.002872        0.682116        0.020000        2.989893        mushroom             yes        0.576641            5578        0.861124      754.572449      357.325165       25.039089       85.526337
             109              23      212.921539             N/A      782.668091       99.340233       34.796822        0.675797        0.020000        2.991537        mushroom             yes      -16.328323            4782        0.481260      785.836609       99.891808       33.854622      250.225922
             110              41      246.655273             N/A      980.031982      285.054199       33.875942        0.559579        0.020000        2.988164        mushroom             yes        3.925913            7606        0.480837      979.248840      282.184479       34.080086      300.632568
             111              23      212.921539             N/A      785.024231      106.139862       34.231316        0.415985        0.020000        2.989803        mushroom             yes       -8.789365            4774        0.177663      782.857788      104.092621       33.770443      244.495102
             115              52      274.383606             N/A      881.356201      255.311630       38.746403        0.847339        0.020000        2.992284        mushroom             yes       -6.540436            8817        0.543819      882.255859      258.453888       38.371666      206.885590
             119              41      246.655273             N/A      813.247009      313.272125       26.336308        0.521794        0.020000        2.991999        mushroom             yes        3.370783            7345        0.000000      814.010010      316.644775       26.539974      116.995514
             120              33      241.048950             N/A      879.704773      503.247375        8.114768        0.343370        0.020000        2.992908            thin             yes        1.827112            5836        0.000000      877.215027      505.287933        8.217458      296.467682
             121              56      193.277435             N/A      719.942200      275.711426       51.138851        0.817614        0.020000        2.987738        mushroom             yes       -8.280372            9927        0.749802      722.762634      273.578796       50.624249       67.171242
             122              59      269.055634             N/A      942.011597      152.211594       40.823898        0.431849        0.020000        2.993284        mushroom             yes      -13.446919           11257        0.634746      943.381409      155.028198       40.075031      306.762329
             128              43      144.803421             N/A      816.031128      236.488052        9.991291        1.281498        0.020000        2.983092        mushroom             yes        7.714640            7799        0.000000      818.079346      238.751083       10.404772      156.821091
             130              49      203.261597             N/A      680.273743      316.340637       52.597607        0.588849        0.020000        2.989367        mushroom             yes       -1.647268            8315        0.819299      679.456238      319.416046       52.506092       86.666534
             135              41      246.655273             N/A      879.352051      310.993500       26.982904        0.889559        0.020000        2.981508        mushroom             yes      -10.919394            7448        0.000000      877.832153      308.254547       26.378599      185.151062
             141              49      203.261597             N/A      642.034058      321.735840       58.219700        0.841666        0.020000        2.986400        mushroom             yes       -1.261677            8394        0.059941      640.513733      324.536438       58.149517      130.458649
             146              34      327.272156             N/A      781.767822      469.645935       26.355503        0.965790        0.708737        2.968780        mushroom             yes        1.616763            6068        0.472141      784.255737      469.119781       26.427279      211.230652
             148              58      306.402466             N/A      795.690063      172.210739       42.983242        1.588463        0.200000        2.967210        mushroom             yes        3.018133           10461        0.400886      792.764221      171.754242       43.139374      191.171097
