              ID  SECTION-NUMBER  SECTION-LENGTH    BRANCH-ORDER               X               Y               Z   HEAD-DIAMETER   NECK-DIAMETER         MAX-DTS            TYPE            AUTO   XYPLANE-ANGLE     SWC-NODE-ID SWC-NODE-OFFSET        ATTACH-X        ATTACH-Y        ATTACH-Z   SOMA-DISTANCE
               0              40      289.178741             N/A     1009.787354      374.342896       19.029440        0.681328        0.020000        2.989259        mushroom             yes       17.795698            7258        0.000000     1008.571411      377.049866       19.981962      341.072937
               1              95       84.769196             N/A      629.401001      735.528564       13.250865        0.910012        0.020000        2.990242        mushroom             yes        4.545166           17143        0.882568      632.553711      735.122925       13.503555      478.803925
               2               8      344.175964             N/A      492.175812      185.909271       29.129480        0.574006        0.020000        2.988961        mushroom             yes        6.951871            1408        0.000000      494.394592      183.948837       29.490496      262.627197
               3             118      189.008408             N/A      469.795776      569.127625       61.451550        0.990316        0.020000        2.983693        mushroom             yes        2.295964           21217        0.542814      466.789032      567.710022       61.584827      396.512451
               4              58      306.402466             N/A      779.563904      181.345383       43.069424        1.035552        0.020000        2.993353        mushroom             yes        3.754551           10434        0.002974      782.329468      182.246857       43.260307      173.499359
               5             136       31.412798             N/A      489.031067      584.384399       26.136654        0.718905        0.020000        2.992294        mushroom             yes       -1.841560           24192        0.514513      489.748352      587.783447       26.024960      368.671234
               6             130      110.806091             N/A      527.882629      525.059387       38.427048        1.190595        0.020000        2.990296        mushroom             yes       -0.436822           23312        0.000000      531.020813      525.820801       38.402428      286.315948
               7              54      217.061752             N/A      861.292358      312.033447       44.313492        0.911689        0.020000        2.993961        mushroom             yes       -3.922220            9754        0.000000      862.822937      314.979248       44.085884      175.453140
               8              83       18.456057             N/A      622.020813      445.207733       31.348574        0.515453        0.020000        2.991251        mushroom             yes       -6.021718           14922        0.472856      625.962708      443.944305       30.911917      159.256409
               9             117      292.609436             N/A      238.706772      479.269745       58.302711        0.986472        0.020000        2.990381        mushroom             yes      -13.506942           20805        0.000000      241.095108      477.450531       57.581543      585.054138
              10              66      309.027100             N/A      626.818787      506.748016       58.133709        0.726776        0.020000        2.987886        mushroom             yes       -0.092881           11714        0.445839      624.216003      506.088562       58.129356      233.214340
              11              85      220.981018             N/A      700.070190      565.349976       36.427345        1.102869        0.020000        2.991345        mushroom             yes       -5.782934           15182        0.000000      702.949768      564.841248       36.131199      320.366547
              12             148      197.171906             N/A      318.268707      437.813324       45.568359        1.074470        0.020000        2.986596        mushroom             yes       -2.587458           25836        0.000000      316.786774      440.622284       45.424839      473.442200
              13             130      110.806091             N/A      522.945251      542.966858       37.766434        0.740576             N/A        2.989612          stubby             yes        0.322346           23352        0.729407      522.342773      539.561707       37.785889      307.968475
              14              22      201.893295             N/A      653.573608       43.993641       44.092110        1.137314        0.020000        2.993145        mushroom             yes      -11.264769            4543        0.000000      656.334961       45.334221       43.480713      307.153992
              15              52      274.383606             N/A      847.313416      274.792572       38.416290        0.586304        0.020000        2.992156        mushroom             yes       -0.908529            8744        0.287506      849.088501      277.484894       38.365150      167.747925
              16              88      261.424835             N/A      573.000000      635.204529       19.271730        0.658657        0.020000        2.994106        mushroom             yes        2.862501           16156        0.078013      570.336731      633.903564       19.419937      379.902344
              17              92      118.889519             N/A      630.704712      671.536743       17.281958        1.153188        0.020000        2.982539        mushroom             yes       -6.876618           16853        0.000000      627.373047      669.887085       16.833605      403.631348
              18             116      337.692505             N/A      267.601593      481.516327       52.100189        1.272804        0.020000        2.988643        mushroom             yes        6.936633           20739        0.000000      267.716827      484.823761       52.502823      555.302002
              19              54      217.061752             N/A      892.424377      323.313324       43.692261        0.876709        0.020000        2.989281        mushroom             yes       -5.172623            9814        0.044120      892.445251      320.221069       43.412327      207.784042
              20              88      261.424835             N/A      625.218750      545.753784       21.943344        0.832507        0.020000        2.986523        mushroom             yes        8.829142           16001        0.023987      623.028992      543.831360       22.395956      270.231659
              21             121      138.269318             N/A      360.570709      801.330017       83.170502        0.308807        0.020000        2.996888            thin             yes      -25.332746           21592        0.642644      357.761841      800.938354       81.827927      716.568176
              22              66      309.027100             N/A      642.412048      450.962799       54.295078        0.693045        0.020000        2.994299        mushroom             yes       -0.145672           11664        0.929990      645.622925      450.971039       54.286915      171.533585
              23              34      327.272156             N/A      827.166931      543.292725       26.670471        1.373737        0.020000        2.980920        mushroom             yes        4.823427            6174        0.581146      829.758240      543.074890       26.889908      303.823425
              24              97      174.060059             N/A      654.788757      887.259094       12.688278        1.096188        0.200000        2.974159        mushroom             yes      -12.038971           17607        0.226510      652.976196      888.828552       12.176944      642.616211
              25             146      124.761139             N/A      458.973541      422.621582       23.237736        0.563118        0.020000        2.997223        mushroom             yes        4.723625           25427        0.000000      458.100159      425.963287       23.523136      317.305359
              26              44       42.995518             N/A      783.225647      303.934113        6.044675        1.171480        0.020000        2.989720        mushroom             yes      -30.590871            7909        0.271973      783.042786      300.879944        4.235868      103.139153
              27             113       94.116043             N/A      384.924561      487.795532       57.533630        0.902953        0.020000        2.990176        mushroom             yes        5.203452           19754        0.000000      384.321777      491.731689       57.896267      426.495148
              28              11      264.444763             N/A      503.063629      224.855087       46.711510        0.490852        0.020000        2.994162        mushroom             yes        1.956674            1959        0.585583      502.722290      227.929611       46.817192      243.640106
              29             113       94.116043             N/A      441.533112      510.341248       54.816582        0.929438        0.020000        2.994294        mushroom             yes        2.130912           19707        0.112678      440.506622      513.916931       54.955002      361.230072
              30              53      292.102478             N/A     1002.777527      299.244598       28.962244        0.561855        0.020000        2.985948        mushroom             yes       -2.019780            9478        0.000000     1000.421753      297.787537       28.864557      339.039001
              31              23      212.921539             N/A      736.080017      158.881714       34.915779        0.946686        0.020000        2.991519        mushroom             yes        4.139418            4665        0.000000      738.810486      160.163940       35.134094      169.818588
              32             113       94.116043             N/A      432.880890      515.925354       55.210419        1.407256        0.020000        2.986570        mushroom             yes        9.553730           19713        0.000000      432.882935      512.366089       55.809467      369.246155
              33              94      195.903793             N/A      661.200012      831.867493        9.682424        0.548462        0.020000        2.997885        mushroom             yes        4.772420           17041        0.079472      657.619812      831.068604        9.988677      582.718384
              34             113       94.116043             N/A      381.859344      487.057892       58.433521        0.916260        0.020000        2.991429        mushroom             yes        0.714994           19757        0.165937      379.575287      489.622894       58.476383      433.099304
              35              53      292.102478             N/A      952.653687      331.721191       36.471897        0.782621        0.020000        2.991482        mushroom             yes      -18.113967            9367        0.000000      951.102783      328.925476       35.426067      270.993530
              36             115       98.524689             N/A      332.941040      475.929535       56.794956        0.756054        0.020000        2.993503        mushroom             yes       -9.633768           20023        0.654966      334.424347      472.609680       56.177742      485.339905
              37              88      261.424835             N/A      564.465881      634.143860       19.079008        0.504466        0.020000        2.991600        mushroom             yes       -3.934719           16166        0.000000      566.541992      636.816895       18.846210      385.167786
              38              12      351.498505             N/A      634.215820      276.628601       39.500961        0.667667        0.020000        2.993255        mushroom             yes        9.089126            2123        0.761873      636.025757      279.089478       39.989666       94.909332
              39              18      216.612579             N/A      742.700562      104.655899       23.585598        0.587402        0.020000        2.995414        mushroom             yes        0.774560            3580        0.000000      742.601807      101.421822       23.629341      272.577972
              40              77       60.733307             N/A      569.847656      339.076508       11.996803        0.616128        0.020000        2.995040        mushroom             yes       -7.256254           14488        0.000000      569.461853      342.941986       11.502178      261.860901
              41              69      264.934357             N/A      815.131592      429.911530       30.798319        0.686147        0.020000        2.987047        mushroom             yes       15.564515           12590        0.417703      813.285461      432.068268       31.589077      239.805679
              42              90      276.788422             N/A      684.648071      636.125183       30.690472        0.516319        0.020000        2.995060        mushroom             yes       10.148537           16521        0.359162      681.756226      637.567688       31.268942      379.137726
              43             116      337.692505             N/A      208.064758      480.916504       49.572266        1.170532        0.020000        2.993442        mushroom             yes        1.625909           20220        0.564640      208.527328      484.176971       49.665741      618.322083
              44             113       94.116043             N/A      404.527161      502.706573       56.867397        1.190411        0.020000        2.973174        mushroom             yes        3.944935           19737        0.354358      403.327728      505.659149       57.087170      402.924286
              45             108      123.175735             N/A      427.062775      575.616638       60.995502        1.377388        0.808510        2.974775        mushroom             yes       -1.214549           18778        0.624781      424.441254      576.749084       60.934959      421.162262
              46              53      292.102478             N/A      916.516846      338.953583       36.876869        0.844276        0.020000        2.987516        mushroom             yes        4.409860            9311        0.000000      917.188293      335.626007       37.138660      233.412537
              47              34      327.272156             N/A      799.419983      483.815338       26.766432        0.949812        0.020000        2.976909        mushroom             yes       -6.122210            6099        0.592716      797.509094      485.622894       26.484297      235.309326
