ID      SECTION-NUMBER  SECTION-LENGTH  BRANCH-ORDER    X       Y       Z       HEAD-DIAMETER   NECK-DIAMETER   MAX-DTS TYPE    AUTO    XYPLANE-ANGLE   SWC-NODE-ID     SWC-NODE-OFFSET ATTACH-X        ATTACH-Y        ATTACH-Z        SOMA-DISTANCE
0       6       95.085373       N/A     289.33728       246.892776      102.27977       0.3447  0.02    2.912536        thin    yes     -8.82926        239     0.415832        291.681335      249.781876      101.701874      117.330803
1       12      149.54274       N/A     370.319366      209.96904       119.75631       0.478895        0.02    2.727234        mushroom        yes     -60.340863      650     0.724736        370.236969      208.643173      117.42347       214.502014
2       6       95.085373       N/A     288.345825      247.454178      102.102081      0.02    N/A     2.798176        thin    yes     -9.505879       239     0.938535        290.444824      250.657028      101.460861      116.18425
3       42      105.884048      N/A     357.120422      131.115585      139.766846      0.486767        0.02    2.709124        mushroom        yes     -1.249956       2382    0.673836        354.718994      129.610001      139.705002      278.182709
4       43      109.740509      N/A     351.012085      198.193314      134.246948      0.70874 0.02    2.532515        mushroom        yes     -28.173537      2435    0.547115        352.490265      199.758423      133.093903      208.018204
5       36      25.704958       N/A     346.682922      167.36438       126.847511      0.852055        0.02    2.45593 mushroom        yes     17.54764        2066    0.034315        348.309418      167.086731      127.36927       231.933487
6       43      109.740509      N/A     363.400848      196.184891      137.299072      0.825867        0.02    2.378546        mushroom        yes     72.972985       2466    0       363.593964      196.823853      139.478714      222.258911
7       16      35.76083        N/A     432.921356      137.037994      142.995468      0.73225 0.02    2.457827        mushroom        yes     -6.5754 1164    0.237582        435.531311      136.276184      142.682068      322.385681
8       7       113.390648      N/A     330.2742        207.534195      116.22094       0.613272        0.02    2.541717        mushroom        yes     -9.079662       318     0       328.627991      206.197006      115.882004      181.114288
9       43      109.740509      N/A     364.867371      195.98056       137.185272      0.578195        0.02    2.634119        mushroom        yes     57.492116       2466    0       363.625 196.776993      139.501007      222.258911
10      8       66.177658       N/A     352.40741       118.378242      115.970734      0.475597        N/A     2.50243 stubby  yes     68.506998       472     0.812035        353.260895      118.547348      118.180344      281.006866
11      21      169.817505      N/A     433.73288       181.991653      126.198624      0.582843        0.02    2.298887        mushroom        yes     -5.586621       1503    0.032281        433.851135      179.907074      125.994392      289.96521
12      16      35.76083        N/A     439.275024      124.455307      144.353409      0.667043        0.02    2.20991 mushroom        yes     5.260799        1189    0       440.777252      125.25132       144.509949      336.260834
13      42      105.884048      N/A     344.966309      195.831039      129.05014       0.756917        0.02    2.293578        mushroom        yes     6.962704        2289    0.772675        346.880005      196.141861      129.286911      204.559586
14      21      169.817505      N/A     445.626923      178.681244      126.795135      0.557228        0.02    2.323406        mushroom        yes     38.039423       1534    0.850104        444.606995      176.994995      128.337006      302.822327
15      11      36.67181        N/A     352.166565      208.647064      112.992233      0.916841        0.02    2.278984        mushroom        yes     2.726594        606     0.0322  353.098663      210.378586      113.085884      194.560944
16      8       66.177658       N/A     354.424957      74.065277       110.385536      0.611677        N/A     2.279234        stubby  yes     58.619083       523     0.044665        354.326721      73.044769       112.066383      331.759369
17      23      39.485191       N/A     351.252319      173.271912      127.608482      0.885113        0.02    2.197296        mushroom        yes     -10.610498      1704    0.183498        349.594757      171.990784      127.216026      226.479797
18      6       95.085373       N/A     286.951965      249.134323      102.16967       0.379077        0.02    2.498384        mushroom        yes     -13.244533      237     0       289.546997      251.199997      101.389 114.863998
19      42      105.884048      N/A     356.372803      151.657196      135.531143      0.665111        N/A     2.19887 thin    yes     84.140536       2346    0.180116        356.349854      151.502533      137.054718      253.259018
20      30      66.320633       N/A     453.381683      86.185287       132.36084       0.960125        0.02    2.241315        mushroom        yes     53.921143       1960    0.822649        453.156799      85.09845        133.884018      377.900513
21      11      36.67181        N/A     335.412628      221.180206      112.288643      0.838931        0.02    2.216655        mushroom        yes     -12.382393      585     0       334.252014      219.695999      111.875 172.448578
22      31      6.462317        N/A     459.400055      82.301651       138     0.241395        0.02    2.364963        thin    yes     -78.324316      1970    0       459.247986      81.803596       135.479996      384.997681
23      22      25.255371       N/A     338.464233      211.043442      118.505531      0.56694 0.02    2.113321        mushroom        yes     10.619669       1651    0.549428        336.216614      210.282928      118.950432      181.386932
24      22      25.255371       N/A     332.52002       216.855606      116.038345      0.430851        0.02    2.243998        mushroom        yes     -14.490865      1642    0.438213        330.555878      215.087997      115.355423      172.960541
25      23      39.485191       N/A     343.179688      201.687973      122.74189       0.80258 0.02    2.129492        mushroom        yes     -7.626307       2279    0       341.426331      201.242737      122.499672      194.838898
26      38      90.930717       N/A     378.855804      91.037605       142.089981      0.582233        N/A     2.201437        stubby  yes     55.90355        2219    0.144191        379.147461      92.279449       143.974335      331.610046
27      7       113.390648      N/A     340.485352      189.323792      119.627365      0.722716        0.502883        1.968228        mushroom        yes     -40.164959      352     0.540277        339.522858      188.793823      118.699997      202.528458
28      21      169.817505      N/A     470.22934       172.388428      130.136078      0.506377        0.02    2.108079        mushroom        yes     30.698254       1588    0.636052        469.393188      170.918839      131.139938      329.694214
29      38      90.930717       N/A     380.133209      87.68647        143.019012      0.691321        0.02    1.909706        mushroom        yes     63.481113       2222    0.462748        380.614166      87.207214       144.3797        336.853424
30      7       113.390648      N/A     340.546326      163.656937      119.283577      0.286832        0.02    2.226926        thin    yes     23.44059        388     0.12937 342.707001      164.688126      120.321625      228.695679
31      11      36.67181        N/A     345.179199      217.120071      112.042053      1.08293 0.687886        1.972831        mushroom        yes     -15.290319      598     0.390315        344.427429      215.600708      111.578613      183.608902
