              ID  SECTION-NUMBER  SECTION-LENGTH    BRANCH-ORDER               X               Y               Z   HEAD-DIAMETER   NECK-DIAMETER         MAX-DTS            TYPE            AUTO   XYPLANE-ANGLE     SWC-NODE-ID SWC-NODE-OFFSET        ATTACH-X        ATTACH-Y        ATTACH-Z   SOMA-DISTANCE
               0               8      108.162827             N/A      210.800003      152.254379       30.740496        0.373786        0.020000        2.986564        mushroom             yes        7.568849             801        0.000000      207.447998      152.957993       31.195601       48.620403
               1              99      162.445023             N/A      260.989227      255.589325       61.016304        0.845267        0.020000        2.478308        mushroom             yes       23.676887            9032        0.000000      262.410004      255.231995       61.658699      102.629143
               2              46       97.112114             N/A      379.273285      342.203735       26.969599        0.780462        0.020000        2.757749        mushroom             yes       -3.121694            4403        0.681968      378.760101      345.588593       26.782887      263.092651
               3              16      168.774261             N/A      138.822296      267.289642       44.321949        1.043255        0.020000        2.634506        mushroom             yes        0.753755            1767        0.000000      139.921997      269.334991       44.352501      147.705139
               4              16      168.774261             N/A      189.531738      208.261444       50.491905        0.952988        0.020000        2.657502        mushroom             yes       -7.325334            1648        0.215350      190.570007      210.632996       50.159100       64.249657
               5              67       46.714539             N/A      395.800018      358.769470       21.225306        0.268646        0.020000        2.904750            thin             yes        7.547758            5862        0.991417      394.907837      361.957611       21.663965      284.234222
               6              24       50.666187             N/A      254.396683      126.199982       10.188092        0.467271        0.020000        2.945012        mushroom             yes       -4.114367            2641        0.463661      255.189850      122.553055        9.919625       83.135727
               7               9      119.513412             N/A      204.133804      219.186295       32.525162        0.709405        0.020000        2.650705        mushroom             yes       -5.247577             979        0.413094      207.317856      218.738846       32.229851       67.929115
               8              26      176.245377             N/A      307.513885      149.995972       52.686749        0.804308        0.020000        2.597817        mushroom             yes      -10.581067            2756        0.000000      307.290009      147.757996       52.266602       93.353966
               9              46       97.112114             N/A      376.529541      342.206970       23.854473        1.012300        0.020000        2.621961        mushroom             yes       64.064315            4400        0.000000      375.880005      343.470001       26.774757      260.818207
              10              46       97.112114             N/A      360.825592      320.517365       21.552858        0.243940        0.020000        2.896404            thin             yes        1.735861            4376        0.694422      357.640137      322.377228       21.664646      230.136124
              11              80       22.493765             N/A      359.423309      321.036316       48.091469        1.059542        0.420741        2.363169        mushroom             yes        2.093824            6749        0.656624      360.481873      318.589844       48.188927      210.290848
              12              46       97.112114             N/A      371.133209      339.742889       30.022282        0.640863        0.020000        2.823780        mushroom             yes      -75.523573            4394        0.000000      371.423279      340.696686       26.160889      254.946442
              13              46       97.112114             N/A      383.112000      350.911835       27.303734        0.479009        0.020000        2.888308        mushroom             yes       -1.823016            4409        0.581169      384.435822      347.654083       27.191811      269.956116
              14              81      128.386124             N/A      374.022766      333.565033       55.444286        0.412401        0.020000        2.816362        mushroom             yes      -80.087276            6774        0.187273      374.124084      334.185730       51.845505      236.232742
              15              75      135.983398             N/A      353.734344      443.269806       51.439186        0.849837        0.200000        2.337256        mushroom             yes        6.223145            6315        0.090379      350.587585      443.563751       51.783813      319.768494
              16              71       67.461021             N/A      336.092896      360.433868       44.539783        0.410920        0.020000        2.921874        mushroom             yes        4.758718            6052        0.421057      339.032501      358.461578       44.834473      225.695648
              17              61       74.610085             N/A      336.260986      378.316528       53.487965        0.626887        0.020000        2.830504        mushroom             yes      -36.534433            5438        0.000000      338.355377      375.945862       51.144295      242.658203
              18              59      140.218918             N/A      344.120972      440.049561       58.922367        0.203430        0.020000        2.816854            thin             yes      -29.284837            5152        0.000000      341.898987      439.809998       57.668999      311.974182
              19              87      182.764313             N/A      323.189697      246.392120       51.081837        0.562340        0.020000        2.723252        mushroom             yes        8.921609            7600        0.997309      322.493988      243.667999       51.523201      135.250931
              20             108      146.209518             N/A      214.008606      288.776642       90.139984        0.672825        0.020000        2.679686        mushroom             yes       15.429209            9719        0.243468      211.556000      289.044006       90.820900      145.498276
              21              74       64.216225             N/A      366.995361      403.040771       30.351706        0.200000        0.020000        2.904304            thin             yes       49.890266            6182        0.803412      365.825775      401.055603       33.086956      285.658295
              22              24       50.666187             N/A      247.367157      125.007523       17.330339        0.478156        0.020000        2.883137        mushroom             yes       34.878111            2627        0.000000      247.751007      122.189003       19.313101       67.474525
              23              85      150.612701             N/A      298.552124      270.338409       52.207581        0.555115        0.020000        2.748980        mushroom             yes       -0.124573            7347        0.000000      297.515259      272.707581       52.201958      129.410767
              24              38      142.103394             N/A      335.904938      195.455261       73.661728        1.072761        0.020000        2.781255        mushroom             yes        9.074715            4071        0.000000      336.087006      192.134003       74.193001      141.611679
              25              66       69.381577             N/A      332.006012      315.654327       41.507061        0.485600        0.020000        2.947710        mushroom             yes       -5.327333            5775        0.000000      331.416992      319.113007       41.179901      185.974304
              26              62       98.965248             N/A      377.749329      463.312042       67.359833        0.996800        0.255317        2.419289        mushroom             yes      -31.387039            5597        0.528628      379.660492      461.981995       65.939278      352.057770
              27              71       67.461021             N/A      344.856720      379.513062       41.617496        0.611100        0.020000        2.540767        mushroom             yes       71.141935            6073        0.361448      345.746735      379.002258       44.621899      248.358841
              28               4      135.240601             N/A      223.089279       96.476585       71.878151        1.056547        0.020000        2.744193        mushroom             yes        9.970993             423        0.528295      225.927689       95.089294       72.433571       97.664490
              29              36      165.810837             N/A      298.696960      217.723679       36.067677        1.088173        0.020000        2.531885        mushroom             yes        4.074443            3666        0.000000      300.694000      215.701996       36.270100      113.738914
              31             110      104.765999             N/A      210.737534      112.902756      100.696281        0.485219        0.020000        2.699878        mushroom             yes      -19.581556           10139        0.394114      213.246185      113.709114       99.758934      114.047920
              32              46       97.112114             N/A      352.287079      314.826355       15.745189        0.423447        0.020000        2.778648        mushroom             yes       75.090563            4369        0.000000      353.424988      314.613007       20.093399      221.377319
              33              89      132.131439             N/A      242.107925      307.498169       85.954643        1.028021             N/A        2.694349          stubby             yes      -50.887639            8253        0.479902      240.406281      307.706573       83.846054      178.812958
