              ID  SECTION-NUMBER  SECTION-LENGTH    BRANCH-ORDER               X               Y               Z   HEAD-DIAMETER   NECK-DIAMETER         MAX-DTS            TYPE            AUTO   XYPLANE-ANGLE     SWC-NODE-ID SWC-NODE-OFFSET        ATTACH-X        ATTACH-Y        ATTACH-Z   SOMA-DISTANCE
               1              99      162.445023             N/A      260.989227      255.589325       61.016304        0.845267        0.020000        2.478308        mushroom             yes       23.676887            5482        0.000000      262.410004      255.231995       61.658699      102.629143
               2              46       97.112114             N/A      379.273285      342.203735       26.969599        0.780462        0.020000        2.757749        mushroom             yes       -3.121694             853        0.681968      378.760101      345.588593       26.782887      263.092651
               5              67       46.714539             N/A      395.800018      358.769470       21.225306        0.268646        0.020000        2.904750            thin             yes        7.547758            2312        0.991417      394.907837      361.957611       21.663965      284.234222
               9              46       97.112114             N/A      376.529541      342.206970       23.854473        1.012300        0.020000        2.621961        mushroom             yes       64.064315             850        0.000000      375.880005      343.470001       26.774757      260.818207
              10              46       97.112114             N/A      360.825592      320.517365       21.552858        0.243940        0.020000        2.896404            thin             yes        1.735861             826        0.694422      357.640137      322.377228       21.664646      230.136124
              11              80       22.493765             N/A      359.423309      321.036316       48.091469        1.059542        0.420741        2.363169        mushroom             yes        2.093824            3199        0.656624      360.481873      318.589844       48.188927      210.290848
              12              46       97.112114             N/A      371.133209      339.742889       30.022282        0.640863        0.020000        2.823780        mushroom             yes      -75.523573             844        0.000000      371.423279      340.696686       26.160889      254.946442
              13              46       97.112114             N/A      383.112000      350.911835       27.303734        0.479009        0.020000        2.888308        mushroom             yes       -1.823016             859        0.581169      384.435822      347.654083       27.191811      269.956116
              14              81      128.386124             N/A      374.022766      333.565033       55.444286        0.412401        0.020000        2.816362        mushroom             yes      -80.087276            3224        0.187273      374.124084      334.185730       51.845505      236.232742
              15              75      135.983398             N/A      353.734344      443.269806       51.439186        0.849837        0.200000        2.337256        mushroom             yes        6.223145            2765        0.090379      350.587585      443.563751       51.783813      319.768494
