              ID  SECTION-NUMBER  SECTION-LENGTH    BRANCH-ORDER               X               Y               Z   HEAD-DIAMETER   NECK-DIAMETER         MAX-DTS            TYPE            AUTO   XYPLANE-ANGLE     SWC-NODE-ID SWC-NODE-OFFSET        ATTACH-X        ATTACH-Y        ATTACH-Z   SOMA-DISTANCE
               0               8      108.162827             N/A      210.800003      152.254379       30.740496        0.373786        0.020000        2.986564        mushroom             yes        7.568849             801        0.000000      207.447998      152.957993       31.195601       48.620403
               3              16      168.774261             N/A      138.822296      267.289642       44.321949        1.043255        0.020000        2.634506        mushroom             yes        0.753755            1767        0.000000      139.921997      269.334991       44.352501      147.705139
               4              16      168.774261             N/A      189.531738      208.261444       50.491905        0.952988        0.020000        2.657502        mushroom             yes       -7.325334            1648        0.215350      190.570007      210.632996       50.159100       64.249657
               6              24       50.666187             N/A      254.396683      126.199982       10.188092        0.467271        0.020000        2.945012        mushroom             yes       -4.114367            2641        0.463661      255.189850      122.553055        9.919625       83.135727
               7               9      119.513412             N/A      204.133804      219.186295       32.525162        0.709405        0.020000        2.650705        mushroom             yes       -5.247577             979        0.413094      207.317856      218.738846       32.229851       67.929115
               8              26      176.245377             N/A      307.513885      149.995972       52.686749        0.804308        0.020000        2.597817        mushroom             yes      -10.581067            2756        0.000000      307.290009      147.757996       52.266602       93.353966
              20             108      146.209518             N/A      214.008606      288.776642       90.139984        0.672825        0.020000        2.679686        mushroom             yes       15.429209            3725        0.243468      211.556000      289.044006       90.820900      145.498276
              22              24       50.666187             N/A      247.367157      125.007523       17.330339        0.478156        0.020000        2.883137        mushroom             yes       34.878111            2627        0.000000      247.751007      122.189003       19.313101       67.474525
              28               4      135.240601             N/A      223.089279       96.476585       71.878151        1.056547        0.020000        2.744193        mushroom             yes        9.970993             423        0.528295      225.927689       95.089294       72.433571       97.664490
              31             110      104.765999             N/A      210.737534      112.902756      100.696281        0.485219        0.020000        2.699878        mushroom             yes      -19.581556            4145        0.394114      213.246185      113.709114       99.758934      114.047920
              34              26      176.245377             N/A      373.629852      156.099640       56.946175        0.798539        0.020000        2.586942        mushroom             yes       10.169942            2870        0.416121      372.971710      158.239517       57.347786      165.370132
              36              18      176.563324             N/A      181.045532       45.948196       32.353603        0.880119        0.020000        2.657215        mushroom             yes       -1.552001            2230        0.703947      178.393005       45.785900       32.281601      148.249268
              40              24       50.666187             N/A      247.519272      120.531281       17.643156        0.440962             N/A        2.294669          stubby             yes       39.419367            2628        0.358789      248.496506      121.758308       18.932528       68.724617
              42              12      123.897659             N/A      142.255386      244.367477       67.889259        1.119139        0.020000        2.652573        mushroom             yes      -39.287287            1218        0.921770      143.309006      245.647995       66.532600      132.081024
              44              21      138.730713             N/A      332.813416      100.524994       24.225189        0.872227        0.020000        2.692210        mushroom             yes      -28.627854            2437        0.457838      332.496033      102.665962       23.043774      142.910645
              45              29      121.746536             N/A      292.563080       43.257271       77.858192        1.208493        0.020000        2.498019        mushroom             yes        5.900296            3098        0.000000      293.404999       45.775501       78.132599      166.466187
              46              24       50.666187             N/A      258.033752      121.976425       18.281178        0.350067        0.020000        2.813299        mushroom             yes      -44.405052            2634        0.000000      255.261993      121.101997       15.434500       75.483170
              48              31      149.377197             N/A      245.056778       26.930386       71.013199        0.752311        0.020000        2.647661        mushroom             yes       -9.777147            3523        0.203865      246.367996       28.818058       70.617142      157.929169
              52             114      146.009995             N/A      310.228943      240.981415       78.327309        0.846006        0.020000        2.547898        mushroom             yes       -3.467206            4774        0.482300      309.844086      242.869965       78.210533      127.112747
              53              30      147.853546             N/A      330.114288       73.903481       74.876060        0.716675        0.020000        2.649497        mushroom             yes        6.832398            3274        0.915073      329.742432       76.430107       75.182053      160.219818
              55               8      108.162827             N/A      180.804626      122.384880       14.240695        0.322027        0.020000        2.787246            thin             yes       70.611994             870        0.000000      181.655884      121.861992       17.079477       96.834534
              57              14      101.726990             N/A      149.447922      156.894104       29.633877        0.776987        0.020000        2.635327        mushroom             yes       14.847283            1333        0.000000      150.244965      154.527924       30.295769       95.277275
              59               2      152.990662             N/A      342.408386      178.066010       70.141075        0.750654        0.200000        2.286927        mushroom             yes      -32.590901             252        0.000000      341.483856      179.410095       69.098145      134.655365
              63               8      108.162827             N/A      180.416626      114.488113       14.732984        0.250778        0.020000        2.889449            thin             yes        6.896458             884        0.511140      177.341995      115.720001       15.133600      104.179153
              64             109      170.897522             N/A      225.351395      315.748810       73.442001        0.684753        0.020000        2.766101        mushroom             yes       12.409917            3990        0.604103      222.738693      316.784149       74.060410      167.178146
              71               8      108.162827             N/A      170.318939      109.715530       12.219110        0.758253        0.020000        2.643976        mushroom             yes       -7.044996             900        0.159245      171.250000      107.347000       11.904600      115.747627
              72               4      135.240601             N/A      192.615784       43.399094       79.176186        0.834501        0.292418        2.275815        mushroom             yes       19.687797             536        0.000000      193.845993       41.682999       79.931702      174.361221
              73              15      113.615211             N/A      168.504181      134.565933       44.260330        0.382653        0.020000        2.838798        mushroom             yes      -19.372968            1451        0.871631      171.371002      134.634003       43.251999       81.947090
              74              23      113.376923             N/A      186.772797       61.255043       14.891833        0.662801        0.020000        2.685889        mushroom             yes       32.020783            2593        0.000000      184.203995       62.179699       16.599199      141.955246
              76              17      160.705933             N/A      170.057678       76.609810       60.105339        0.356804        0.020000        2.567683        mushroom             yes        9.533984            2001        0.055718      171.554398       73.972435       60.614651      124.887390
              77             108      146.209518             N/A      205.761276      233.126266       71.469536        0.924707             N/A        2.745276          stubby             yes       11.641350            3635        0.000000      203.110001      233.514999       72.021599       78.616127
              80               0       64.392502             N/A      243.265671      195.896896       29.706814        0.985794        0.020000        2.577888        mushroom             yes       -2.409456              28        0.000000      241.009003      194.410004       29.593100       34.563675
              85             108      146.209518             N/A      205.325668      237.165604       72.885361        0.772062        0.020000        2.645939        mushroom             yes        6.605096            3642        0.860235      202.195267      236.879669       73.249352       82.986588
              87             113      105.468254             N/A      252.757645      115.623405       86.720177        0.696932        0.020000        2.631131        mushroom             yes       25.365720            4553        0.000000      249.966003      115.671997       88.043900       87.341103
              89               4      135.240601             N/A      225.214005       96.948792       69.842087        0.200000        0.020000        2.747629            thin             yes       61.470305             421        0.000000      226.302002       95.976799       72.525803       96.772224
              91             114      146.009995             N/A      258.343140      183.162674       62.372177        0.982833        0.020000        2.420422        mushroom             yes        6.494590            4629        0.000000      257.317993      184.653000       62.578098       39.408497
              93              21      138.730713             N/A      311.070221      111.796387       24.092815        0.695257        0.020000        2.644542        mushroom             yes        0.261694            2399        0.000000      312.799988      114.189003       24.106300      117.787598
              97              29      121.746536             N/A      289.597992       53.119061       74.746696        1.103912        0.905671        2.289565        mushroom             yes       44.384532            3083        0.815744      289.987396       54.169010       75.842728      151.522476
              98               8      108.162827             N/A      177.542007      113.044044       11.933929        0.751068        0.020000        2.586823        mushroom             yes       61.376813             890        0.439614      176.373184      111.972832       14.839047      108.540581
              99               8      108.162827             N/A      182.200409      124.542137       20.793573        0.822895        0.020000        2.568321        mushroom             yes      -53.283232             864        0.000000      183.591003      123.485001       18.451500       92.224792
             100              29      121.746536             N/A      269.143829       82.750343       66.582123        0.968224        0.020000        2.600157        mushroom             yes      -15.893137            3021        0.333810      271.722992       81.919502       65.810600      111.111115
             101              14      101.726990             N/A      118.374229      153.344513       23.215340        0.391780        0.020000        2.421881        mushroom             yes      -69.970344            1381        0.919214      119.150833      153.244095       21.067335      131.208344
             105             113      105.468254             N/A      254.564987      120.793434       85.987778        0.704045        0.020000        2.342320        mushroom             yes      -13.147818            4544        0.100620      252.561859      121.713562       85.472870       80.175766
             108             114      146.009995             N/A      311.508636      240.924210       78.022591        0.574037        0.020000        2.602306        mushroom             yes        4.183282            4774        0.000000      310.026001      242.921005       78.204498      127.445023
             114              21      138.730713             N/A      251.062607      143.377716       40.558189        0.639827        0.020000        2.388592        mushroom             yes      -17.455352            2296        0.000000      251.097000      141.496002       39.966400       43.054947
             116             113      105.468254             N/A      246.254227      110.448570       92.001678        0.540764             N/A        2.345315            thin             yes       34.578088            4565        0.970756      247.763000      110.691002       93.055000       96.352684
             119             108      146.209518             N/A      195.512253      253.656616       77.770958        0.257312        0.020000        2.739056            thin             yes       -0.624304            3667        0.000000      198.729004      254.149994       77.735497      101.758980
             120             111      178.952728             N/A      126.875534      116.685272       57.884117        0.775978        0.020000        2.443468        mushroom             yes      -16.250472            4347        0.399848      126.429749      118.504333       57.338203      134.213486
             122             113      105.468254             N/A      249.990494      104.105705       98.391777        0.630852        0.020000        2.450107        mushroom             yes       26.217445            4572        0.000000      248.824051      105.890984       99.441933      104.699524
             124              31      149.377197             N/A      241.264267      119.486389       54.291328        0.479072        0.020000        2.361883        mushroom             yes       22.934036            3372        0.207956      243.010452      119.036194       55.054329       56.709209
             125             108      146.209518             N/A      200.692932      232.285370       71.100929        0.885300        0.020000        2.439122        mushroom             yes        9.184537            3632        0.000000      202.523972      231.470032       71.425011       76.872696
             128             111      178.952728             N/A      178.148438      153.354187       51.594402        0.488521        0.020000        2.535923        mushroom             yes       80.493393            4232        0.606627      178.578003      153.082993       54.627998       65.618790
             130              28       16.627186             N/A      244.674728      142.679337       44.793701        0.311905        0.020000        2.701883            thin             yes       71.245084            2907        0.000000      244.503998      143.718002       47.893700       30.151371
             132               0       64.392502             N/A      242.820267      200.985870       15.266437        1.155045             N/A        2.341392          stubby             yes       63.372881              56        0.950380      243.695999      201.634995       17.440701       61.462814
             135              17      160.705933             N/A      153.255890       47.812523       59.801983        0.411884        0.020000        2.622281        mushroom             yes      -41.846135            2058        0.483450      154.882996       48.199402       58.304199      159.022888
             139             109      170.897522             N/A      216.166199      249.547119       68.229317        0.625678        0.020000        2.448175        mushroom             yes       -0.065806            3867        0.312100      218.293030      248.767838       68.226715       94.677155
             142               9      119.513412             N/A      192.063400      258.124939       17.373804        0.270742        0.020000        2.663334            thin             yes        8.125346            1031        0.227015      195.021255      258.614746       17.801855      116.600136
             145              23      113.376923             N/A      198.700073       91.243317       24.719053        0.772048        0.020000        2.370532        mushroom             yes       38.782916            2555        0.000000      200.001999       89.836098       26.259501      105.156227
             149              31      149.377197             N/A      240.239243       56.657242       65.023987        0.772362        0.020000        2.410859        mushroom             yes        0.109975            3474        0.507374      238.415802       57.933758       65.028259      124.263840
