              ID  SECTION-NUMBER  SECTION-LENGTH    BRANCH-ORDER               X               Y               Z   HEAD-DIAMETER   NECK-DIAMETER         MAX-DTS            TYPE            AUTO   XYPLANE-ANGLE     SWC-NODE-ID SWC-NODE-OFFSET        ATTACH-X        ATTACH-Y        ATTACH-Z   SOMA-DISTANCE
               0              21      183.492767             N/A      304.589355      537.134583       84.714111        1.578007        0.020300        2.536228        mushroom             yes      -22.766493             996        0.592785      302.914825      538.942078       83.680054       98.224197
               1              32      195.057693             N/A      392.268311      499.225739       91.560196        0.585172        0.020300        2.631163        mushroom             yes       51.345041            1945        0.370851      393.201721      500.219269       93.264511      167.669312
               2              64      147.370850             N/A      317.341003      295.047791       95.327904        0.467868        0.020300        2.753808        mushroom             yes        9.584090            4628        0.773393      320.001495      295.577026       95.785934      332.532135
               3               3      233.924667             N/A      244.161621      657.894592       78.000320        0.558719        0.020300        2.675918        mushroom             yes      -16.797741             180        0.308552      245.545715      659.109131       77.444443      147.202789
               4              81      125.241539             N/A      189.741333      229.022537       27.278172        0.328351        0.020300        2.741268            thin             yes      -54.226468            7376        0.144572      191.108368      228.578751       25.283413      497.976410
               5              65      221.566620             N/A      410.014984      162.025131       71.072029        0.595363        0.020300        2.694120        mushroom             yes        1.843518            4956        0.000000      407.115997      161.806000       71.165604      518.036255
               8              58       61.048618             N/A      403.498322       89.522995      130.349854        0.264017        0.020300        2.916229            thin             yes       14.896140            4401        0.000000      405.721985       91.245102      131.098007      592.764038
               9              48      395.397552             N/A      341.417542      401.463867       80.689026        0.467347        0.020300        2.822824        mushroom             yes      -27.530953            2987        0.000000      340.433990      399.382996       79.489304      223.211990
              14              75      236.527039             N/A      333.285065      101.731941      126.950966        0.501097        0.020300        2.759529        mushroom             yes       17.583157            6705        0.418309      335.037018      100.423424      127.643913      564.673523
              16              40       52.402107             N/A      494.740417      451.158997      118.048653        0.613918        0.020300        2.563183        mushroom             yes      -25.379034            2460        0.859384      495.180328      453.032806      117.135574      295.760162
              17              64      147.370850             N/A      320.029449      316.080811      100.352013        0.203000             N/A        2.621893            thin             yes      -72.239864            4602        0.782069      320.640045      316.843506       97.301720      309.885773
              19              75      236.527039             N/A      317.288971      233.023178       98.056816        0.203000        0.020300        2.989133            thin             yes        2.830248            6463        0.000000      314.834991      230.669998       98.224899      411.880646
              20              75      236.527039             N/A      348.633026      130.244232      121.844704        0.601349        0.020300        2.714570        mushroom             yes        5.120028            6665        0.000000      345.397003      130.085007      122.135002      530.944519
              21              21      183.492767             N/A      294.931488      533.781433       88.342468        0.598728        0.020300        2.630424        mushroom             yes        6.933901            1005        0.000000      294.165009      535.109985       88.528999      110.215256
              22              50       65.683067             N/A      321.146027      332.084564       95.292221        0.415080        0.020300        2.940409        mushroom             yes       12.709782            3775        0.370234      324.619873      332.957214       96.100052      291.924866
              23              54      119.970337             N/A      312.385071      290.695984      114.232605        0.206974        0.020300        2.963378            thin             yes      -12.146765            3851        0.480985      311.652466      293.276917      113.655151      343.307617
              26              25      113.165146             N/A      323.765503      469.140198      125.369965        0.498652             N/A        2.623515          stubby             yes      -63.239549            1589        0.710485      322.580811      468.704163      122.866570      180.237717
              27              82       41.591873             N/A      353.969482      477.332031       96.186813        0.802861        0.020300        2.321039        mushroom             yes      -20.535071            7555        0.335811      352.533997      475.438995       95.296898      151.479752
              29              21      183.492767             N/A      313.067841      544.565796       80.256638        0.810634        0.605044        2.384385        mushroom             yes      -48.375045             989        0.313892      313.777618      543.598572       78.906555       84.719490
              31              66      264.347198             N/A      474.016754       33.395111       96.217369        0.558124        0.020300        2.844982        mushroom             yes      -12.465270            5639        0.000000      476.339966       31.695360       95.581024      692.088379
              32              50       65.683067             N/A      331.955109      360.175659       89.554924        0.242343        0.020300        2.732334            thin             yes      -29.550633            3750        0.483049      329.507446      361.233551       88.043182      261.387695
              35              81      125.241539             N/A      167.543747      223.211929       13.260783        0.405034        0.020300        2.688293        mushroom             yes       18.209895            7430        0.489016      168.641922      221.006470       14.071293      525.101074
              36              64      147.370850             N/A      317.804291      293.135986       94.527840        0.576337        0.020300        2.866160        mushroom             yes       19.724578            4629        0.807817      320.071991      295.404999       95.678001      333.156067
              38              69       43.242020             N/A      327.492432      337.143555       77.550194        0.808969        0.020300        2.459617        mushroom             yes       24.882047            5751        0.269263      324.963013      337.237640       78.724159      285.770782
              39              72      153.492065             N/A      255.339508      182.206070       91.817764        0.440918        0.020300        2.912995        mushroom             yes       -5.594121            6066        0.254427      257.773254      179.773621       91.480736      481.624908
              41              80      142.286850             N/A      159.639435      163.786667       20.246946        0.600897             N/A        2.250639            thin             yes       84.174824            7282        0.395950      159.667999      163.971802       22.083120      574.146301
