              ID  SECTION-NUMBER  SECTION-LENGTH    BRANCH-ORDER               X               Y               Z   HEAD-DIAMETER   NECK-DIAMETER         MAX-DTS            TYPE            AUTO   XYPLANE-ANGLE     SWC-NODE-ID SWC-NODE-OFFSET        ATTACH-X        ATTACH-Y        ATTACH-Z   SOMA-DISTANCE
               6             124       86.350426             N/A      350.350891      655.440063      102.271294        0.569271        0.020300        2.626808        mushroom             yes      -45.363423            3375        0.170134      350.459656      657.086853      100.599846       83.415154
               7             101       28.481001             N/A      407.361420      560.242737       86.895187        0.723360        0.020300        2.613071        mushroom             yes       19.569055             930        0.000000      409.529968      560.442566       87.669319       93.105652
              10             144       46.169121             N/A      333.837158      587.814758      115.558952        0.597337        0.020300        2.729724        mushroom             yes      -46.079285            4036        0.188179      335.428009      588.682983      113.677002       79.048134
              11             113      223.398056             N/A      320.666107      657.782104       62.145992        0.431413        0.020300        2.929230        mushroom             yes        4.064129            2071        0.806089      317.479950      657.972107       62.372776       66.018929
              12              94      196.480438             N/A      470.573334      654.609558       78.771675        0.592358        0.020300        2.732741        mushroom             yes      -38.739294             723        0.000000      469.802246      656.307739       77.275391      161.722412
              13             108      173.008026             N/A      427.866425      579.192627       90.806900        0.408252        0.020300        2.911932        mushroom             yes      -14.353148            1741        0.177396      427.256073      576.638000       90.134811      109.131721
              15             123      237.560364             N/A      354.517517      775.299988      101.695900        0.634189        0.020300        2.808027        mushroom             yes        1.026355            3259        0.416670      351.698029      776.222473      101.749046      199.190613
              18             108      173.008026             N/A      444.524139      570.458679       93.581482        0.677406        0.020300        2.588988        mushroom             yes       30.329806            1764        0.000000      444.488007      571.818970       94.377602      128.522751
              24             131       36.177597             N/A      263.187347      594.790039      118.947762        0.213094        0.020300        2.841068            thin             yes      -66.810586            3791        0.963679      262.205139      596.156494      115.019409      113.662880
              25             109       88.385345             N/A      402.051056      588.294006      102.207024        0.230581        0.020300        2.900038            thin             yes       -8.250463            1921        0.000000      404.291992      590.247009      101.776001       70.865738
              28             147      255.466171             N/A      403.415009      709.478516      101.157074        0.456314        0.020300        2.719896        mushroom             yes      -28.497637            4231        0.293122      401.055573      710.962219       99.643913      137.814545
              30             149      195.056122             N/A      357.329651      763.569519       90.512337        0.544891        0.020300        2.651753        mushroom             yes      -40.699821            4594        0.353283      355.971588      763.960327       89.296822      171.520065
              33             144       46.169121             N/A      336.992157      583.161743      119.284050        0.556692        0.020300        2.683558        mushroom             yes      -35.164052            4045        0.000000      339.132996      582.398987      117.682999       88.670944
              34             149      195.056122             N/A      343.629700      743.224609       91.066391        0.683600        0.020300        2.838477        mushroom             yes        7.453084            4552        0.000000      346.020996      741.607971       91.444000      145.764999
              37             144       46.169121             N/A      335.558990      610.420959      104.643005        0.337171        0.020300        2.962600            thin             yes       -3.822588            4012        0.000000      338.510010      608.893982      104.420998       52.959381
              40              95       10.288002             N/A      372.629272      605.679932       93.792503        0.347565        0.210668        2.462753            thin             yes      -72.419044             861        0.404706      372.816223      604.949097       91.411690       31.879877
              42             123      237.560364             N/A      337.939301      725.486267       97.867340        0.407309        0.020300        2.612705        mushroom             yes       20.058192            3195        0.794856      335.873993      725.793030       98.629700      140.050446
              45              94      196.480438             N/A      392.185150      614.352661       77.960999        0.354370        0.020300        2.566681        mushroom             yes      -25.457465             606        0.635960      391.845490      616.299561       77.020149       63.425716
              46             121      189.311172             N/A      312.857361      669.545166       77.401123        0.516541        0.020300        2.688900        mushroom             yes        8.164203            2760        0.860218      310.917542      669.847473       77.682777       80.884537
              47             141        6.525699             N/A      340.454285      612.388306      101.125374        0.799006             N/A        2.678497          stubby             yes      -20.483673            4002        0.000000      341.908997      613.554016      100.429001       41.956627
              51             146       11.865367             N/A      340.110840      624.197632      106.708801        0.263691        0.020300        2.794827            thin             yes      -84.084240            4055        0.000000      339.816193      624.397278      103.273918       50.106911
              52             113      223.398056             N/A      304.151001      692.048645       60.250744        0.586795        0.020300        2.541167        mushroom             yes       35.480370            2134        0.000000      305.233093      693.177002       61.365074      105.186913
              55             135      118.533768             N/A      280.774719      609.312256       95.744476        0.565949        0.020300        2.647801        mushroom             yes       -7.310895            3851        0.627383      278.568756      611.407288       95.354164       77.935181
              56             123      237.560364             N/A      355.860016      839.396484      101.349533        0.714570        0.020300        2.768531        mushroom             yes       20.979448            3332        0.891107      357.463013      840.705017      102.142998      274.746643
