              ID  SECTION-NUMBER  SECTION-LENGTH    BRANCH-ORDER               X               Y               Z   HEAD-DIAMETER   NECK-DIAMETER         MAX-DTS            TYPE            AUTO   XYPLANE-ANGLE     SWC-NODE-ID SWC-NODE-OFFSET        ATTACH-X        ATTACH-Y        ATTACH-Z   SOMA-DISTANCE
               0              21      183.492767             N/A      304.589355      537.134583       84.714111        1.578007        0.020300        2.536228        mushroom             yes      -22.766493             996        0.592785      302.914825      538.942078       83.680054       98.224197
               1              32      195.057693             N/A      392.268311      499.225739       91.560196        0.585172        0.020300        2.631163        mushroom             yes       51.345041            1945        0.370851      393.201721      500.219269       93.264511      167.669312
               2              64      147.370850             N/A      317.341003      295.047791       95.327904        0.467868        0.020300        2.753808        mushroom             yes        9.584090            4628        0.773393      320.001495      295.577026       95.785934      332.532135
               3               3      233.924667             N/A      244.161621      657.894592       78.000320        0.558719        0.020300        2.675918        mushroom             yes      -16.797741             180        0.308552      245.545715      659.109131       77.444443      147.202789
               4              81      125.241539             N/A      189.741333      229.022537       27.278172        0.328351        0.020300        2.741268            thin             yes      -54.226468            7376        0.144572      191.108368      228.578751       25.283413      497.976410
               5              65      221.566620             N/A      410.014984      162.025131       71.072029        0.595363        0.020300        2.694120        mushroom             yes        1.843518            4956        0.000000      407.115997      161.806000       71.165604      518.036255
               6             124       86.350426             N/A      350.350891      655.440063      102.271294        0.569271        0.020300        2.626808        mushroom             yes      -45.363423           11544        0.170134      350.459656      657.086853      100.599846       83.415154
               7             101       28.481001             N/A      407.361420      560.242737       86.895187        0.723360        0.020300        2.613071        mushroom             yes       19.569055            9099        0.000000      409.529968      560.442566       87.669319       93.105652
               8              58       61.048618             N/A      403.498322       89.522995      130.349854        0.264017        0.020300        2.916229            thin             yes       14.896140            4401        0.000000      405.721985       91.245102      131.098007      592.764038
               9              48      395.397552             N/A      341.417542      401.463867       80.689026        0.467347        0.020300        2.822824        mushroom             yes      -27.530953            2987        0.000000      340.433990      399.382996       79.489304      223.211990
              10             144       46.169121             N/A      333.837158      587.814758      115.558952        0.597337        0.020300        2.729724        mushroom             yes      -46.079285           12205        0.188179      335.428009      588.682983      113.677002       79.048134
              11             113      223.398056             N/A      320.666107      657.782104       62.145992        0.431413        0.020300        2.929230        mushroom             yes        4.064129           10240        0.806089      317.479950      657.972107       62.372776       66.018929
              12              94      196.480438             N/A      470.573334      654.609558       78.771675        0.592358        0.020300        2.732741        mushroom             yes      -38.739294            8892        0.000000      469.802246      656.307739       77.275391      161.722412
              13             108      173.008026             N/A      427.866425      579.192627       90.806900        0.408252        0.020300        2.911932        mushroom             yes      -14.353148            9910        0.177396      427.256073      576.638000       90.134811      109.131721
              14              75      236.527039             N/A      333.285065      101.731941      126.950966        0.501097        0.020300        2.759529        mushroom             yes       17.583157            6705        0.418309      335.037018      100.423424      127.643913      564.673523
              15             123      237.560364             N/A      354.517517      775.299988      101.695900        0.634189        0.020300        2.808027        mushroom             yes        1.026355           11428        0.416670      351.698029      776.222473      101.749046      199.190613
              16              40       52.402107             N/A      494.740417      451.158997      118.048653        0.613918        0.020300        2.563183        mushroom             yes      -25.379034            2460        0.859384      495.180328      453.032806      117.135574      295.760162
              17              64      147.370850             N/A      320.029449      316.080811      100.352013        0.203000             N/A        2.621893            thin             yes      -72.239864            4602        0.782069      320.640045      316.843506       97.301720      309.885773
              18             108      173.008026             N/A      444.524139      570.458679       93.581482        0.677406        0.020300        2.588988        mushroom             yes       30.329806            9933        0.000000      444.488007      571.818970       94.377602      128.522751
              19              75      236.527039             N/A      317.288971      233.023178       98.056816        0.203000        0.020300        2.989133            thin             yes        2.830248            6463        0.000000      314.834991      230.669998       98.224899      411.880646
              20              75      236.527039             N/A      348.633026      130.244232      121.844704        0.601349        0.020300        2.714570        mushroom             yes        5.120028            6665        0.000000      345.397003      130.085007      122.135002      530.944519
              21              21      183.492767             N/A      294.931488      533.781433       88.342468        0.598728        0.020300        2.630424        mushroom             yes        6.933901            1005        0.000000      294.165009      535.109985       88.528999      110.215256
              22              50       65.683067             N/A      321.146027      332.084564       95.292221        0.415080        0.020300        2.940409        mushroom             yes       12.709782            3775        0.370234      324.619873      332.957214       96.100052      291.924866
              23              54      119.970337             N/A      312.385071      290.695984      114.232605        0.206974        0.020300        2.963378            thin             yes      -12.146765            3851        0.480985      311.652466      293.276917      113.655151      343.307617
              24             131       36.177597             N/A      263.187347      594.790039      118.947762        0.213094        0.020300        2.841068            thin             yes      -66.810586           11960        0.963679      262.205139      596.156494      115.019409      113.662880
              25             109       88.385345             N/A      402.051056      588.294006      102.207024        0.230581        0.020300        2.900038            thin             yes       -8.250463           10090        0.000000      404.291992      590.247009      101.776001       70.865738
