              ID  SECTION-NUMBER  SECTION-LENGTH    BRANCH-ORDER               X               Y               Z   HEAD-DIAMETER   NECK-DIAMETER         MAX-DTS            TYPE            AUTO   XYPLANE-ANGLE     SWC-NODE-ID SWC-NODE-OFFSET        ATTACH-X        ATTACH-Y        ATTACH-Z   SOMA-DISTANCE
               0              52      186.517899             N/A      352.645264      439.033661       82.863449        0.935132        0.020300        2.694381        mushroom             yes       46.091109            4430        0.960236      355.117004      438.536011       85.482697      216.851700
               1              34       91.869331             N/A      239.121429      203.658096       52.926270        0.565461        0.020300        2.789915        mushroom             yes       15.849361            2182        0.401602      237.209503      204.823135       53.561905      214.386932
               2               9       24.096867             N/A      179.878143      253.111984       99.708176        0.855644        0.020300        2.410201        mushroom             yes      -10.479891             307        0.578481      177.243835      254.261887       99.176491      162.943954
               3              48       21.461195             N/A      235.304749      349.470337       68.768837        0.382348        0.020300        2.718939        mushroom             yes      -20.935333            3944        0.000000      236.391998      351.437988       67.908798       49.300381
               4              32      139.990448             N/A      358.106445      195.881989       83.182922        0.404499        0.020300        2.848905        mushroom             yes      -33.359154            1957        0.937746      356.252991      195.360992       81.915398      273.177185
               5              23       60.749680             N/A      236.119278      283.534943       80.647575        0.450778        0.020300        2.842271        mushroom             yes       66.473774            1153        0.000000      236.414993      282.411987       83.314903      132.029633
               6              45       94.589554             N/A      262.695831      107.816490       53.153397        0.736481        0.020300        2.710073        mushroom             yes       -3.823934            3550        0.000000      259.983002      109.334999       52.945599      317.597595
               7              19      177.641998             N/A      143.787720      374.615692       76.593887        0.693667             N/A        2.559965            thin             yes      -35.724656             872        0.996529      143.641327      373.343323       75.672729      102.159599
               8              32      139.990448             N/A      365.034637      185.330093       83.063736        0.456122        0.020300        2.934165        mushroom             yes        1.973627            1980        0.761427      361.666992      185.481003       83.179901      287.586487
               9              34       91.869331             N/A      242.958191      205.943695       57.048359        0.602743        0.020300        2.743782        mushroom             yes       -4.737280            2173        0.124474      241.427994      208.570999       56.796398      207.703262
              10              27       50.889141             N/A      242.990997      279.328033       68.977959        0.276145        0.020300        2.936494            thin             yes        0.746235            1356        0.565481      246.702713      280.090546       69.027313      118.329369
              11              52      186.517899             N/A      333.760132      418.824463       82.396164        0.694068        0.020300        2.548850        mushroom             yes       -1.418846            4402        0.386221      334.415039      415.953796       82.323235      184.991821
              12              52      186.517899             N/A      330.054871      409.274445       82.422607        0.235518        0.020300        2.606783            thin             yes       22.476810            4397        0.344359      329.335541      411.461700       83.375244      176.533264
              13              45       94.589554             N/A      265.630951      150.626022       56.084949        0.303417        0.020300        2.932824            thin             yes       -1.285453            3461        0.837736      265.668365      153.867920       56.012199      263.500549
              14              18      183.232361             N/A      109.673042      373.727722       73.779991        0.434089        0.020300        2.232888        mushroom             yes       47.324000             678        0.422920      110.061272      374.855988       75.074127      136.941177
              15              45       94.589554             N/A      273.446991      169.620544       58.785820        0.341077        0.020300        2.761990            thin             yes        8.720679            3438        0.247868      276.056427      168.087448       59.250053      243.347794
              16              18      183.232361             N/A       85.173615      374.246460       77.651779        0.344201        0.020300        2.332970            thin             yes       59.229894             683        0.263059       84.425789      374.742920       79.159332      163.558853
              17              28      106.893890             N/A      293.515411      223.877090       72.157669        0.408605        0.020300        2.872141        mushroom             yes        2.420178            1432        0.959702      293.895233      226.989136       72.290176      196.209152
              18              52      186.517899             N/A      312.080597      392.945129       75.354843        0.336290        0.020300        2.863614            thin             yes       12.989950            4368        0.000000      309.694000      394.622009       76.027702      146.553726
              19              52      186.517899             N/A      313.054688      400.380066       81.474503        0.331359        0.020300        2.833819            thin             yes      -40.850478            4379        0.637536      315.028229      399.786407       79.692413      155.064774
              20               7       74.140694             N/A      180.365509      270.649170       94.812836        0.560333        0.020300        2.833923        mushroom             yes       -0.490070             290        0.071445      177.107162      270.542633       94.784950      144.035629
              21              50       78.313545             N/A      284.703033      343.586914       45.754448        0.289917        0.020300        2.881484            thin             yes       -0.158362            4027        0.036322      283.244904      340.948761       45.746117      107.821815
              22              30      109.063927             N/A      388.952576      176.231400       78.782509        0.619119        0.020300        2.542076        mushroom             yes      -25.715694            1598        0.363039      389.985107      177.533356       77.982231      315.431549
              23              19      177.641998             N/A      138.367065      372.124847       73.757980        0.020300             N/A        2.291274            thin             yes       69.349106             873        0.000000      138.515060      372.915771       75.892960      107.831573
              24              19      177.641998             N/A       31.433920      339.157562       79.441437        0.384990        0.020300        2.774222        mushroom             yes      -76.625414            1055        0.000000       30.892700      339.635986       76.403297      235.487259
              25               9       24.096867             N/A      179.649033      259.524689       98.882149        0.526694             N/A        2.779245          stubby             yes      -21.409724             302        0.422256      177.250488      259.385468       97.940117      156.270050
              26              18      183.232361             N/A      159.294876      381.836853       76.989784        0.780746        0.366904        2.269871        mushroom             yes        7.940152             619        0.948690      159.397339      380.001282       77.246201       83.700264
              27              52      186.517899             N/A      293.673828      376.311615       77.372604        0.269645        0.020300        2.749713            thin             yes      -85.476537            4321        0.000000      293.908997      376.477997       73.731300      117.823189
              28              19      177.641998             N/A       94.291260      369.923004       75.574196        0.562904        0.020300        2.864732        mushroom             yes       27.300467             945        0.927155       94.447067      367.967712       76.586617      158.148666
              29              52      186.517899             N/A      352.658386      432.526367       89.826744        0.913254        0.020300        2.603080        mushroom             yes      -70.503838            4424        0.000000      352.332001      433.604004       86.646400      211.241272
              30              50       78.313545             N/A      283.917236      339.687866       42.751411        0.020300             N/A        2.749000            thin             yes       61.015196            4028        0.846559      284.962280      340.252930       44.896015      109.959686
              31              13      117.151955             N/A      191.801376      192.089310       89.895325        0.352848        0.020300        2.754513        mushroom             yes      -55.807557             434        0.000000      190.740997      191.330002       87.975700      241.097946
              32              11       17.548098             N/A      168.889984      227.754120       99.002785        0.020300             N/A        2.741945          stubby             yes       63.203821             326        0.385379      170.545959      227.758728      102.281616      190.646347
              33              18      183.232361             N/A       93.988998      372.031342       78.925003        0.020300             N/A        2.857917            thin             yes      -11.589756             681        0.865799       93.897278      374.873566       78.341805      153.445724
              34              45       94.589554             N/A      255.779968      111.712807       53.791302        0.495559        0.020300        2.961059        mushroom             yes        4.995371            3546        0.380213      259.033783      111.537239       54.076122      314.825104
              35              18      183.232361             N/A      124.001144      376.824890       75.483795        0.516581        0.020300        2.672472        mushroom             yes      -28.909798             674        0.542477      125.280235      375.504639       74.468620      121.549461
              36               3       22.661274             N/A      189.447632      365.536774       99.640747        0.514869        0.020300        2.604643        mushroom             yes        8.826991              61        0.847908      191.937897      365.393738      100.028099       72.792686
              37              11       17.548098             N/A      168.221558      229.601395      102.044846        0.863457        0.481473        2.232354        mushroom             yes        5.099838             325        0.000000      170.572998      228.626999      102.272003      189.757736
              38              12       51.134701             N/A      151.843994      196.301010      105.900856        0.203000        0.020300        2.914207            thin             yes       17.368873             365        0.000000      154.311005      193.820999      106.995003      230.937576
              39              38      116.563187             N/A      187.262802      116.904526       36.625950        0.583572        0.020300        2.427780        mushroom             yes       -6.048075            2768        0.298323      186.687851      117.979477       36.496788      333.380646
              40              47       91.061119             N/A      202.696091       95.914604       67.425209        0.490036        0.020300        2.820351        mushroom             yes      -11.448713            3869        0.722569      202.281311       93.450470       66.919151      391.664948
              41              52      186.517899             N/A      270.294495      359.986664       64.949501        0.020300             N/A        2.927240            thin             yes       59.462639            4290        0.000000      269.605988      361.420013       67.644997       86.644028
              42              11       17.548098             N/A      169.707977      241.096375      101.261101        0.020300             N/A        2.883148            thin             yes        8.289045             318        0.341974      173.554581      240.122787      101.839180      176.970612
              43              34       91.869331             N/A      230.239838      182.704910       45.087200        0.496413        0.020300        2.846476        mushroom             yes        6.028512            2214        0.576436      227.415985      183.717972       45.404030      240.869522
              44              44      115.083176             N/A      327.485077      117.693886       62.611225        0.377600        0.020300        2.920141        mushroom             yes       -4.978208            3278        0.675590      325.243286      115.441071       62.334389      315.865204
              45              36       37.364895             N/A      249.284012       96.248177       13.045135        0.220438        0.020300        2.896916            thin             yes       41.592460            2408        0.000000      251.136887       97.025948       14.828775      343.338196
