              ID  SECTION-NUMBER  SECTION-LENGTH    BRANCH-ORDER               X               Y               Z   HEAD-DIAMETER   NECK-DIAMETER         MAX-DTS            TYPE            AUTO   XYPLANE-ANGLE     SWC-NODE-ID SWC-NODE-OFFSET        ATTACH-X        ATTACH-Y        ATTACH-Z   SOMA-DISTANCE
               0             101      202.188568             N/A      516.600037      207.200012      102.400009        0.321544        0.020000        2.962371            thin             yes       -2.009091            7894        0.000000      514.711975      204.313004      102.278999      403.482239
               1              63      180.924500             N/A      195.589478      221.969421       56.809372        0.206951        0.020000        2.878469            thin             yes      -29.838615            1965        0.000000      198.509995      222.130997       55.131599      126.053093
               2              78       78.411728             N/A      369.627075      183.595459       58.623772        0.625893        0.020000        2.661458        mushroom             yes      -18.591492            3827        0.692710      369.037628      186.694016       57.562813      233.257645
               4              56      200.266876             N/A      165.552292      249.576660      167.550339        0.396491        0.020000        2.734704        mushroom             yes       16.879148            1206        0.476905      166.886963      251.300018      168.211731      242.220963
               5              73      188.548889             N/A      275.870087      210.145035       57.258904        0.430580        0.020000        2.813148        mushroom             yes      -72.493694            3176        0.336736      276.256927      211.071045       54.077225      173.181885
               6              85      182.251953             N/A      654.465149      387.715820      118.794212        0.616075        0.020000        2.216451        mushroom             yes      -17.427375            5157        0.000000      653.006226      387.062866      118.292473      676.888367
               7             101      202.188568             N/A      513.095581      201.928513       99.076874        0.430178        0.020000        2.501883        mushroom             yes       29.099197            7886        0.000000      512.702026      203.572998      100.017998      400.050873
               9              68      179.785568             N/A      313.782928       37.965816      100.242065        0.587059        0.510188        2.357799        mushroom             yes      -61.868303            2573        0.000000      313.248993       37.436298       98.835602      268.452972
              10              81      123.188637             N/A      476.074921      247.213257       59.750053        1.061879        0.020000        2.449470        mushroom             yes        0.462256            4395        0.000000      474.665863      249.831177       59.774040      364.744812
              12              85      182.251953             N/A      618.000000      332.444153       70.400444        0.308594        0.020000        2.899945            thin             yes      -10.478935            5000        0.000000      618.093018      329.264008       69.811996      562.313721
              13              69      182.060318             N/A      312.035187       71.101479       36.298908        0.434193        0.020000        2.780483        mushroom             yes        3.684869            2724        0.892945      314.566101       69.458069       36.493252      225.157516
              14              92      257.638885             N/A      594.682617      137.693649       78.988892        0.577075        0.020000        2.693481        mushroom             yes      -27.494548            6017        0.726749      593.418335      135.968674       77.875824      491.169586
