              ID  SECTION-NUMBER  SECTION-LENGTH    BRANCH-ORDER               X               Y               Z   HEAD-DIAMETER   NECK-DIAMETER         MAX-DTS            TYPE            AUTO   XYPLANE-ANGLE     SWC-NODE-ID SWC-NODE-OFFSET        ATTACH-X        ATTACH-Y        ATTACH-Z   SOMA-DISTANCE
               0              90      125.610336             N/A      323.913239      157.199997       75.605942        0.202902        0.020000        2.917348            thin             yes       49.667451           10445        0.000000      325.714111      157.243149       77.727623       44.805389
               1              15      177.607437             N/A      105.965546      567.694275       51.983288        0.385426        0.020000        2.755985        mushroom             yes       24.507951            1348        0.000000      105.863258      565.471924       52.997517      504.667084
               2              26      198.193451             N/A      188.089783      537.186157      131.259995        0.834151        0.020000        2.598556        mushroom             yes       -8.305740            3937        0.356435      186.895187      535.446533      130.951920      436.922760
               3              79      157.731079             N/A      320.798706       63.959347       70.522476        0.527065        0.020000        2.694130        mushroom             yes       -8.757441            8994        0.389570      318.550415       62.726093       70.127449      144.932617
               4              18       85.159119             N/A      163.436340      548.818237      103.872818        0.335510        0.020000        2.878633            thin             yes      -20.401998            2039        0.420671      160.844284      548.611023      102.905663      447.112946
               5              68       32.904537             N/A      297.766113      172.663071       30.422508        0.522652        0.020000        2.741678        mushroom             yes       -3.820962            7922        0.397135      296.846558      175.578384       30.218346       41.415260
               6              14      101.526978             N/A      124.111977      526.702637       32.997540        0.496707        0.020000        2.774487        mushroom             yes       -6.404871            1085        0.405824      123.665001      523.858704       32.674377      459.703827
               7              80      122.455643             N/A      290.503052      123.003227       51.800583        0.354332        0.020000        2.892994        mushroom             yes        3.811979            9184        0.000000      291.847687      120.150452       52.010719       84.799988
               8             103       73.053131             N/A      408.998199      130.391525      106.624908        0.401603        0.020000        2.796480        mushroom             yes      -39.257323           11874        0.480086      407.317596      129.786163      105.165054      126.291435
               9             100      160.237274             N/A      387.706055      124.310234       50.400681        0.594479        0.020000        2.745852        mushroom             yes       13.052446           11375        0.000000      385.413574      123.888229       50.941082       93.683701
              10              21      328.904846             N/A      246.134109      549.014282      101.365517        0.393606        0.020000        2.627522        mushroom             yes       24.886678            2740        0.016850      247.913071      550.083557      102.328384      423.294128
              11              21      328.904846             N/A      272.199982      438.754913       97.128754        0.429657        0.020000        2.937856        mushroom             yes        7.503300            2459        0.000000      269.151154      438.498291       97.531738      290.477051
              12              15      177.607437             N/A      167.884445      491.799988       53.149429        0.318329        0.020000        2.895447            thin             yes        1.979221            1145        0.000000      165.178101      490.549683       53.252453      393.398193
              13              57       71.517250             N/A      363.340942      240.840851      110.034119        0.242215        0.020000        2.869492            thin             yes      -51.768043            7214        0.000000      362.318542      242.109497      107.965965      116.716454
              14              65        7.617373             N/A      309.445648      176.857529       49.464878        0.464004        0.020000        2.626516        mushroom             yes      -61.884908            7876        0.000000      309.409302      175.434052       46.799763       17.965673
              15              93      132.693069             N/A      384.946533      212.416214       39.450771        0.659461        0.020000        2.819536        mushroom             yes        8.672130           10751        0.878769      387.270050      210.601852       39.900410       86.566109
              16              72      136.003738             N/A      241.993393      176.146744       40.675034        0.449952             N/A        2.770999          stubby             yes      -77.172340            8271        0.000000      242.639206      176.014679       37.780121       93.682770
              17              90      125.610336             N/A      314.303284      141.339584       79.219856        0.533097        0.020000        2.681106        mushroom             yes       59.114231           10502        0.734120      315.023682      140.411514       81.184006       66.735184
              18              59      133.684814             N/A      383.951843      340.049164       69.419624        0.655255        0.020000        2.761592        mushroom             yes       -4.429341            7469        0.462793      381.185638      339.787048       69.204391      193.114105
              19              31      114.280579             N/A      401.200012      537.329773      133.813126        0.200180        0.020000        2.873394            thin             yes      -22.791813            4682        0.632660      402.067932      534.774109      132.679016      428.225372
              20              62       23.018995             N/A      317.400024      173.000000       17.596556        0.313324        0.020000        2.921659            thin             yes       49.731955            7782        0.000000      315.595581      171.820480       20.141411       43.093204
              21              68       32.904537             N/A      286.000031      163.800003       18.406952        0.357605        0.020000        2.940476        mushroom             yes       16.108853            7950        0.000000      288.774536      164.294312       19.220854       61.678230
              22              23      105.135338             N/A      273.370270      416.229736      107.327156        0.317017        0.020000        2.825926            thin             yes      -48.077293            3478        0.886910      271.544525      416.024231      105.281113      259.291382
              23              14      101.526978             N/A      107.627083      532.011108       25.043438        0.501479        0.020000        2.814383        mushroom             yes      -22.733859            1120        0.000000      108.940758      529.505859       23.858168      480.298950
              24             100      160.237274             N/A      367.800018      144.800003       53.996925        0.200000        0.020000        2.878725            thin             yes       14.670593           11316        0.000000      369.780518      146.769012       54.728054       63.532909
              25               6      122.323418             N/A      284.399994      252.546158       52.617882        0.321587        0.020000        2.844746            thin             yes        4.781825             175        0.863996      284.485962      255.475159       52.863007       99.808495
              26              57       71.517250             N/A      327.548431      228.170731       67.717667        0.595922        0.020000        2.741000        mushroom             yes      -47.684813            7078        0.000000      326.753693      229.708847       65.816002       54.142803
