              ID  SECTION-NUMBER  SECTION-LENGTH    BRANCH-ORDER               X               Y               Z   HEAD-DIAMETER   NECK-DIAMETER         MAX-DTS            TYPE            AUTO   XYPLANE-ANGLE     SWC-NODE-ID SWC-NODE-OFFSET        ATTACH-X        ATTACH-Y        ATTACH-Z   SOMA-DISTANCE
               0              43      209.102386             N/A      133.250015      544.267822      111.608574        0.451700        0.025000        2.951986        mushroom             yes       45.114283            5322        0.251608      131.412781      543.071777      113.809586      461.527771
               1             105       24.155846             N/A      300.350464      160.487534       53.876263        0.721377        0.025000        2.769678        mushroom             yes       -0.462750           13205        0.795148      302.422821      158.503052       53.853088       61.675266
               2              41      131.752304             N/A      101.372246      570.861084       72.780006        0.631351        0.309019        2.670350        mushroom             yes      -54.887978            5176        0.791594      102.475784      571.581238       70.905899      515.794617
               3              45       58.939842             N/A      270.000000      391.517761      127.296906        0.403725        0.025000        2.957222        mushroom             yes      -13.448298            6166        0.000000      266.806213      390.484467      126.494217      246.261047
               4             101       64.590881             N/A      337.574005      158.196686       68.504158        1.015898        0.415155        2.665890        mushroom             yes       14.141581           12744        0.167632      338.350708      155.970596       69.098190       59.437817
               5               8      154.907547             N/A      171.952850      161.886002       89.849380        0.473115        0.025000        2.946614        mushroom             yes      -14.389341             743        0.000000      171.856888      165.066406       89.033051      151.464417
               6              45       58.939842             N/A      268.087891      415.726929      128.801971        0.656766        0.025000        2.897324        mushroom             yes       67.387462            6183        0.676194      267.952362      414.623138      131.471924      271.904877
               7              48      278.855988             N/A      273.436798      500.233551      127.276649        0.644934        0.025000        2.857201        mushroom             yes       40.789066            7192        0.417555      271.410828      500.403473      129.030884      365.665375
               8              48      278.855988             N/A      277.750000      541.876709      130.760849        0.423132        0.025000        2.918156        mushroom             yes      -86.171827            7285        0.000000      277.566528      541.786194      127.703384      408.650238
               9              71      103.540001             N/A      224.267105      108.562569       67.236137        0.415779        0.025000        2.824490        mushroom             yes      -52.211166           10208        0.393962      223.044189      109.693466       65.087906      104.919914
              10              84      143.220779             N/A      295.124939      115.908142       65.317307        0.326299        0.025000        2.931986            thin             yes       39.553853           11659        0.000000      297.696716      116.008171       67.442986       67.724998
              11              48      278.855988             N/A      263.804993      605.174866      122.734856        0.967564        0.025000        2.821010        mushroom             yes        0.743079            7432        0.000000      261.621246      603.658081      122.769341      477.663391
              12             112      148.514908             N/A      307.632111      548.290527      180.411270        0.803367        0.025000        2.883845        mushroom             yes      -87.424201            9236        0.084029      310.014435      546.827271      118.263031      450.216736
              13              67       61.108452             N/A      250.259689      165.415131       79.220314        0.691656        0.025000        2.871708        mushroom             yes       21.896141           10005        0.359898      248.583755      167.680008       80.352730       69.693375
              14              91      161.528366             N/A      283.574738      127.006264      114.014130        0.780825        0.025000        2.855766        mushroom             yes       -1.228106           12262        0.000000      282.540619      129.444534      113.957352       49.046837
              15              48      278.855988             N/A      206.995590      692.445740      130.691193        0.753856        0.025000        2.734849        mushroom             yes       56.425855            7662        0.000000      205.756866      692.220520      132.588043      598.319824
              16              43      209.102386             N/A      130.445450      538.731567      111.303421        0.653060        0.025000        2.816195        mushroom             yes       29.927767            5311        0.000000      132.572845      538.832031      112.529465      456.924561
              17              96      123.976540             N/A      359.245422      150.142838      117.812729        0.449371        0.025000        2.907572        mushroom             yes        0.760585           13778        0.000000      358.630951      153.186523      117.853951       76.345299
              18             109      116.244720             N/A      366.645203      597.155457      144.287735        0.865450        0.025000        2.740740        mushroom             yes      -89.119510            6659        0.972785      365.764893      597.397461       84.871353      507.250305
              19             106       40.748470             N/A      190.695648      690.974976      121.225395        0.649657        0.025000        2.708137        mushroom             yes       79.220355            4861        0.000000      188.364517      691.465759      133.737640      609.541565
              20              76      165.344025             N/A      257.209961      140.975128      103.232414        0.544287        0.025000        2.832728        mushroom             yes      -21.834036           10785        0.609141      255.662704      142.911682      102.239273       43.227455
              21             109      116.244720             N/A      360.868134      585.809937      147.765457        0.578300        0.025000        2.872725        mushroom             yes      -88.093198            6629        0.756824      358.852203      585.909180       87.139847      493.662628
              22             106       40.748470             N/A      183.807755      681.588684      120.134270        0.503678        0.025000        2.794587        mushroom             yes       79.409961            4837        0.000000      182.882584      683.121033      129.708145      598.350952
              23              41      131.752304             N/A      159.886246      495.047668      102.100960        0.628406        0.025000        2.790433        mushroom             yes      -47.229164            4969        0.625959      158.237961      495.581757      100.227951      402.711548
              24              43      209.102386             N/A      109.308800      582.172424      123.029716        0.925840        0.025000        2.770235        mushroom             yes       52.843066            5441        0.000000      110.801735      582.455261      125.034698      511.889252
              25               7       85.158417             N/A      213.273529      215.642456      111.623535        0.534768        0.025000        2.876785        mushroom             yes       -1.049668             517        0.578473      214.473114      218.407364      111.568314      116.586990
              26              91      161.528366             N/A      241.542038       36.404079      147.105988        0.400325        0.025000        2.870543        mushroom             yes      -16.008028           12432        0.081766      238.905411       37.849529      146.243332      170.343750
              27              78      157.522247             N/A      262.474670       37.959801      112.438896        0.740993        0.025000        2.772736        mushroom             yes       22.993793           11255        0.000000      264.764587       37.872360      113.411324      147.183273
              28              39       94.053535             N/A      190.703171      595.103027      116.609657        0.622685        0.025000        2.810930        mushroom             yes      -54.834423            4659        0.099657      189.115402      594.891052      114.335983      500.015961
              29              57       21.324686             N/A      271.321228      524.171021      158.349091        0.367508        0.025000        2.874547        mushroom             yes       54.680660            9104        0.967955      269.603333      524.144653      160.773911      391.071625
              30              39       94.053535             N/A      186.919510      597.588196      113.512489        0.639551        0.025000        2.782179        mushroom             yes       10.812329            4666        0.000000      189.613907      597.757080      114.028084      503.209351
              31              20      169.786957             N/A      359.634338      309.498322      138.476700        0.757227        0.025000        2.759736        mushroom             yes      -59.950627            2072        0.000000      360.705170      308.958069      136.403412      204.849991
              32              30      200.070297             N/A      269.651459      289.749969      112.732399        0.440674        0.025000        2.842613        mushroom             yes      -67.064836            3135        0.000000      269.810089      288.600525      109.990189      139.021805
              33              96      123.976540             N/A      395.953522      153.233566      139.575867        0.200000        0.025000        2.886573            thin             yes      -71.687199           13849        0.204076      395.413330      152.367661      136.492203      123.121460
              34             111      121.065704             N/A      325.507507      563.440857      158.801865        0.619412        0.247639        2.604293        mushroom             yes      -88.837694            6890        0.000000      325.639069      562.163635       95.520096      454.155334
              35              84      143.220779             N/A      292.550507      130.482849       71.970192        0.815622        0.025000        2.677553        mushroom             yes      -37.469005           11642        0.283244      291.122833      129.501266       70.642242       50.947781
              36              84      143.220779             N/A      296.932526       69.192017       63.622929        1.177831        0.618530        2.633579        mushroom             yes       36.105537           11707        0.000000      297.769165       67.842743       64.780869      122.094536
              37              76      165.344025             N/A      163.215683       71.991325      136.763916        0.362145        0.025000        2.865175        mushroom             yes       15.902302           10959        0.513046      162.354080       74.556862      137.534958      174.074203
              38              35      115.625565             N/A      192.067230      569.908508      106.332344        0.470200        0.208374        2.624798        mushroom             yes       62.840304            4376        0.227978      190.750320      569.963135      108.901421      472.444458
              39             102      164.151337             N/A      362.796387      151.571075       69.982071        0.725319        0.025000        2.660470        mushroom             yes       -7.556598           12897        0.000000      363.906891      153.801437       69.651550       86.588531
              40              35      115.625565             N/A      192.790222      554.999939      108.954330        0.424143        0.025000        2.841800        mushroom             yes       -6.987021            4342        0.928110      189.935135      553.979675      108.582756      456.070923
              41              28      191.995850             N/A      203.498489      337.783661       89.203163        0.520540        0.025000        2.771721        mushroom             yes       -7.335662            2993        0.000000      200.623703      337.428925       88.830269      234.704620
              42              51       68.173698             N/A      227.526352      576.750000      164.709351        0.437111        0.025000        2.825648        mushroom             yes       12.511345            8073        0.000000      224.534561      576.192261      165.384674      456.858032
              43              74       72.517273             N/A      235.524078      121.155968       69.515282        0.662162        0.025000        2.786422        mushroom             yes      -30.772582           10439        0.403745      233.984024      123.154388       68.012917       89.193817
              44              31       50.077408             N/A      275.471252      308.952393      108.975525        0.563358        0.025000        2.760434        mushroom             yes       63.967203            3531        0.000000      274.208405      308.435059      111.769524      157.669907
              45              67       61.108452             N/A      261.096771      150.492676       92.244576        0.558865        0.025000        2.755906        mushroom             yes       39.958966            9960        0.766513      259.000641      150.729416       94.012047       43.030807
              46              35      115.625565             N/A      184.046951      505.260864      108.238808        0.687975        0.025000        2.752795        mushroom             yes      -32.474494            4228        0.542952      186.145554      504.268127      106.761261      403.204529
              47              99      132.764114             N/A      346.044617      163.125061      102.659142        0.435883        0.025000        2.793390        mushroom             yes      -24.884999           12546        0.000000      347.044739      160.561035      101.382500       60.106030
              48              69       36.081264             N/A      226.096283      173.275208       62.794296        0.729984        0.025000        2.794838        mushroom             yes       21.305555           10061        0.000000      225.927948      176.053299       63.879726      102.027916
              49              75      166.045242             N/A      114.958176      181.935043       67.367149        0.437171        0.025000        2.813555        mushroom             yes       50.343995           10778        0.000000      116.506226      180.937973       69.588547      204.111755
              50              35      115.625565             N/A      192.312622      550.749939      111.117050        0.454712        0.025000        2.798329        mushroom             yes      -40.652310            4333        0.000000      190.393066      549.906982      109.316818      452.364044
              51             111      121.065704             N/A      322.099030      564.364868      155.889542        0.558577        0.025000        2.802624        mushroom             yes      -86.735532            6894        0.000000      325.404968      563.413330       95.575562      455.593445
              52              91      161.528366             N/A      243.953491       61.532722      139.213226        0.432539        0.025000        2.795657        mushroom             yes        9.873949           12412        0.456779      246.677216       61.209469      139.690643      143.444305
              53              16       83.099632             N/A      215.522675      180.000000      142.748703        0.200000        0.025000        2.839499            thin             yes      -13.516361            1656        0.784565      217.084244      177.661682      142.072800      132.344360
              54              25       85.512398             N/A      237.608276      283.143372      152.050781        0.620322        0.025000        2.806806        mushroom             yes      -14.096893            2579        0.000000      235.730560      281.287750      151.387833      164.015182
              55              45       58.939842             N/A      272.545929      422.250000      132.797714        0.435595        0.025000        2.817812        mushroom             yes       14.575373            6189        0.400556      269.515564      421.903107      133.590820      279.683685
              56              39       94.053535             N/A      186.198975      593.624084      114.781158        0.593323        0.025000        2.716866        mushroom             yes      -11.393416            4657        0.000000      188.991562      593.493042      114.217789      498.518524
              57              39       94.053535             N/A      188.138519      620.624817      111.361214        0.735744        0.025000        2.648362        mushroom             yes       62.548478            4715        0.058771      188.432251      621.799561      113.692162      529.291687
              58              56      234.388290             N/A      248.227829      675.578674      205.698151        0.509785        0.025000        2.804340        mushroom             yes       16.799051            9049        0.452844      247.757278      678.317017      206.536972      594.031189
              59               4      144.251526             N/A      267.343750      227.611298       72.266518        0.778913        0.025000        2.631845        mushroom             yes       21.957374             195        0.666431      265.403320      228.870071       73.199013       96.358261
              60              51       68.173698             N/A      228.345978      572.696777      162.385193        0.580103        0.025000        2.776489        mushroom             yes       47.831619            8059        0.000000      226.519089      571.814941      164.624893      451.878784
              61               9      170.906647             N/A      209.124542      138.900177       90.812248        0.567654        0.025000        2.731309        mushroom             yes       48.571370            1052        0.000000      207.457825      139.645691       92.881187      131.540451
              62              63        8.500431             N/A      287.250000      233.546387      129.206497        0.461243        0.025000        2.794742        mushroom             yes      -38.529907            9917        0.000000      285.498810      234.887253      127.450218       95.632034
              63              56      234.388290             N/A      251.048019      583.175232      166.619736        0.488394        0.025000        2.776778        mushroom             yes       17.218957            8835        0.000000      248.504272      582.507935      167.434753      457.772125
              64             101       64.590881             N/A      363.356873      148.743515       54.419510        0.665103        0.025000        2.758045        mushroom             yes      -25.041445           12801        0.000000      365.142395      150.637711       53.203377       94.048553
              65              75      166.045242             N/A      135.750000      178.009369       70.936348        0.433044        0.025000        2.794308        mushroom             yes        8.443742           10753        0.137164      135.036636      180.963791       71.387527      184.049271
              66              32      184.017090             N/A      321.560669      396.288147      132.227051        0.812831        0.025000        2.680081        mushroom             yes       40.350595            3741        0.000000      323.104797      395.093353      133.885773      275.114105
              67              35      115.625565             N/A      187.137573      524.785400      105.418770        0.447449        0.025000        2.744383        mushroom             yes       26.704464            4276        0.322637      189.605591      524.764465      106.660339      425.518646
              68             105       24.155846             N/A      299.250000      158.250000       53.058628        0.352764        0.025000        2.787117        mushroom             yes       17.271372           13204        0.000000      302.316223      158.386139       54.012909       61.417641
              69              74       72.517273             N/A      227.237183      118.530327       63.375237        0.389191        0.025000        2.732032        mushroom             yes      -65.269021           10455        0.000000      227.727631      119.737190       60.546967      100.667580
              70              94      135.046783             N/A      345.503204      116.734787      120.141006        0.558373        0.025000        2.660970        mushroom             yes       62.880807           13340        0.000000      346.689240      117.141190      122.588989       80.028435
