              ID  SECTION-NUMBER  SECTION-LENGTH    BRANCH-ORDER               X               Y               Z   HEAD-DIAMETER   NECK-DIAMETER         MAX-DTS            TYPE            AUTO   XYPLANE-ANGLE     SWC-NODE-ID SWC-NODE-OFFSET        ATTACH-X        ATTACH-Y        ATTACH-Z   SOMA-DISTANCE
               0              43      209.102386             N/A      133.250015      544.267822      111.608574        0.451700        0.025000        2.951986        mushroom             yes       45.114283            5322        0.251608      131.412781      543.071777      113.809586      461.527771
               2              41      131.752304             N/A      101.372246      570.861084       72.780006        0.631351        0.309019        2.670350        mushroom             yes      -54.887978            5176        0.791594      102.475784      571.581238       70.905899      515.794617
               3              45       58.939842             N/A      270.000000      391.517761      127.296906        0.403725        0.025000        2.957222        mushroom             yes      -13.448298            6166        0.000000      266.806213      390.484467      126.494217      246.261047
               5               8      154.907547             N/A      171.952850      161.886002       89.849380        0.473115        0.025000        2.946614        mushroom             yes      -14.389341             743        0.000000      171.856888      165.066406       89.033051      151.464417
               6              45       58.939842             N/A      268.087891      415.726929      128.801971        0.656766        0.025000        2.897324        mushroom             yes       67.387462            6183        0.676194      267.952362      414.623138      131.471924      271.904877
               7              48      278.855988             N/A      273.436798      500.233551      127.276649        0.644934        0.025000        2.857201        mushroom             yes       40.789066            7192        0.417555      271.410828      500.403473      129.030884      365.665375
               8              48      278.855988             N/A      277.750000      541.876709      130.760849        0.423132        0.025000        2.918156        mushroom             yes      -86.171827            7285        0.000000      277.566528      541.786194      127.703384      408.650238
              11              48      278.855988             N/A      263.804993      605.174866      122.734856        0.967564        0.025000        2.821010        mushroom             yes        0.743079            7432        0.000000      261.621246      603.658081      122.769341      477.663391
              12             112      148.514908             N/A      307.632111      548.290527      180.411270        0.803367        0.025000        2.883845        mushroom             yes      -87.424201            9236        0.084029      310.014435      546.827271      118.263031      450.216736
              15              48      278.855988             N/A      206.995590      692.445740      130.691193        0.753856        0.025000        2.734849        mushroom             yes       56.425855            7662        0.000000      205.756866      692.220520      132.588043      598.319824
              16              43      209.102386             N/A      130.445450      538.731567      111.303421        0.653060        0.025000        2.816195        mushroom             yes       29.927767            5311        0.000000      132.572845      538.832031      112.529465      456.924561
