              ID  SECTION-NUMBER  SECTION-LENGTH    BRANCH-ORDER               X               Y               Z   HEAD-DIAMETER   NECK-DIAMETER         MAX-DTS            TYPE            AUTO   XYPLANE-ANGLE     SWC-NODE-ID SWC-NODE-OFFSET        ATTACH-X        ATTACH-Y        ATTACH-Z   SOMA-DISTANCE
               0              41      137.601395             N/A       84.525070      276.983765       25.721497        0.567826        0.020000        2.908189        mushroom             yes        3.945448            4072        0.000000       84.676399      280.035004       25.932199      201.688354
               2             150      154.394287             N/A      171.995789      236.000000       90.264511        0.277540        0.020000        2.912162            thin             yes      -60.975456            6226        0.782087      171.064545      236.966553       87.845604      121.717979
               4              15       72.968681             N/A      261.210876      191.163788        5.132645        1.667185        0.020000        2.658252        mushroom             yes       13.037754            1366        0.000000      262.177002      192.779007        5.568470      107.214340
               8              62      104.767677             N/A      250.715057      249.757675       60.532436        0.831996        0.020000        2.840186        mushroom             yes       22.037867            5687        0.936679      250.798615      252.395752       61.600853       41.919109
              11               6      221.777573             N/A      425.263794      186.752701       11.182468        1.109327        0.618305        2.583920        mushroom             yes       30.063524             888        0.914285      425.113251      188.421341       12.152249      201.627853
              13              65      177.499023             N/A      408.684601      289.799988       79.214874        0.200000        0.020000        2.913401            thin             yes       55.762138            6026        0.855630      408.040466      291.310577       81.627853      180.650864
              17              62      104.767677             N/A      247.346527      254.076538       64.280571        0.511256        0.020000        2.822091        mushroom             yes      -32.311198            5687        0.725622      247.133636      251.661896       62.747513       45.365448
              18              27      127.493088             N/A      151.021622      209.400024       12.074375        0.249075        0.020000        2.922511            thin             yes      -49.355873            2543        0.262725      149.897995      210.884003        9.906050      152.963409
              20              28      148.441437             N/A      174.927017      159.389496       39.569122        0.715231        0.020000        2.841557        mushroom             yes       -8.945892            2776        0.574441      177.082916      157.578537       39.125904      167.378693
              22              61       39.516579             N/A      253.854141      252.589584       79.118477        0.730792        0.020000        2.916483        mushroom             yes       -0.637869            5645        0.208990      256.052094      250.427612       79.084152       50.425407
              25              28      148.441437             N/A      167.614243      142.459549       41.685928        0.341648        0.020000        2.851799            thin             yes      -61.488497            2789        0.000000      168.871994      142.156998       39.304501      185.659912
              29              57      179.519684             N/A      385.481964      194.613968       33.960777        0.562625        0.020000        2.909647        mushroom             yes        6.463786            5362        0.000000      385.001007      198.085999       34.357899      161.000137
              34               2      166.472565             N/A      300.599976      253.399994       32.181385        0.284333        0.020000        2.900428            thin             yes       -1.867371              66        0.000000      299.000000      250.492996       32.073200       44.417015
              37              27      127.493088             N/A      156.184021      210.786606       10.236746        0.656094        0.020000        2.804052        mushroom             yes       33.333122            2527        0.953154      156.174179      213.006104       11.696535      145.201065
              38               3      169.229065             N/A      321.167694      256.068817       38.318745        0.264157        0.020000        2.861780            thin             yes       46.310864             369        0.000000      320.477997      254.007996       40.593700       64.651993
              41              49      151.979401             N/A      107.066666      315.999969       71.400002        0.020000             N/A        2.882700            thin             yes       12.063332            4643        0.842320      108.125511      318.757355       72.031242      188.620010
              42              32        9.553309             N/A      231.553101      289.772797       70.203293        0.881011        0.020000        2.586956        mushroom             yes      -45.622427            2953        0.000000      230.792007      288.183990       68.402901       60.187141
              46              27      127.493088             N/A      201.921829      225.138672       22.817551        0.290810        0.020000        2.836643            thin             yes       -0.692708            2432        0.197365      198.862656      226.574585       22.776691       93.611092
              50              28      148.441437             N/A      200.253342      193.228088       30.532522        0.507509        0.020000        2.744728        mushroom             yes       20.283356            2714        0.064859      197.990494      194.362167       31.467979      121.739326
              56               5       20.400974             N/A      284.327362      264.875671       30.225603        0.247129        0.020000        2.820733            thin             yes       31.166231             603        0.335734      284.046539      262.198303       31.853802       25.806633
              57             153      117.266464             N/A      192.705002      272.411072       79.547272        0.525357        0.020000        2.687728        mushroom             yes       70.655926            6436        0.436317      193.428848      271.591614       82.661774       95.066818
              59              49      151.979401             N/A      116.355743      318.752594       72.667625        0.582266        0.020000        2.723542        mushroom             yes      -19.850064            4630        0.336444      114.692947      317.074951       71.814896      180.668594
              62              49      151.979401             N/A      174.105469      303.800018       51.990307        0.200000        0.020000        2.752723            thin             yes      -68.569018            4531        0.000000      174.404999      302.640015       48.938099      106.254173
              67              57      179.519684             N/A      383.919312      200.978790       32.092487        0.271416        0.020000        2.703497            thin             yes       46.247220            5356        0.000000      382.722992      199.710999       33.913200      157.980179
              69              36       96.107368             N/A      154.543137      309.000031       75.429382        0.214126        0.020000        2.777130            thin             yes       21.127321            3123        0.949385      153.760681      306.298798       76.516090      133.331375
              71              17       50.658314             N/A      241.659576      271.374634       10.577704        0.578891        0.020000        2.653342        mushroom             yes      -45.963639            1451        0.000000      243.328995      272.515991        8.486220       77.409927
              72              31       40.792927             N/A      239.323944      276.086884       72.000298        0.259245        0.020000        2.684546            thin             yes       53.447537            2886        0.667753      239.328003      277.781006       74.285400       64.126198
              74              49      151.979401             N/A      106.662148      319.112335       69.406242        0.617483        0.020000        2.548254        mushroom             yes       83.678911            4643        0.456013      106.535805      319.324280       71.633705      190.465561
              75             153      117.266464             N/A      125.461098      240.313049       96.822533        0.409766        0.020000        2.677271        mushroom             yes      -69.996095            6495        0.139435      125.513298      239.330948       94.120995      173.838074
              76              58      200.093842             N/A      183.683807      143.069412       65.677963        0.541122        0.020000        2.712789        mushroom             yes        8.805701            5578        0.667383      185.475723      140.869415       66.117508      179.028717
              77              35       47.311241             N/A      201.933701      289.270599       54.975128        0.391310        0.020000        2.738926        mushroom             yes       26.615931            3011        0.000000      203.341995      291.726990       56.394001       70.980186
              83              49      151.979401             N/A      169.032639      305.756897       50.530926        0.547584        0.020000        2.684648        mushroom             yes      -17.403224            4543        0.862440      169.755798      302.918518       49.612835      113.201149
              87              27      127.493088             N/A      148.666733      209.831116       12.464402        0.237214        0.020000        2.646347            thin             yes      -53.623567            2553        0.000000      147.145004      209.828995       10.398600      156.647186
              90              56      182.766525             N/A      393.540375      218.665787       69.832939        0.737858        0.020000        2.645698        mushroom             yes        3.039396            5080        0.039339      394.727417      220.982086       69.971138      152.231628
              93              19      217.362366             N/A      178.626389      163.938034       44.605247        0.578931        0.020000        2.661779        mushroom             yes       15.432166            1736        0.919282      180.488342      161.929398       45.361317      152.321671
              95              65      177.499023             N/A      408.792511      295.818604       79.175858        0.341492        0.020000        2.704737            thin             yes       21.444959            6026        0.369158      411.000458      294.279419       80.233078      184.779678
              98               3      169.229065             N/A      326.699554      254.867340       41.336403        0.502354        0.020000        2.646163        mushroom             yes        6.403264             380        0.107988      325.366882      252.238297       41.667191       70.611450
             100              47       75.949341             N/A      205.600021      274.127686       13.401310        0.331406        0.020000        2.702541            thin             yes       -4.345514            4303        0.343178      203.254547      276.520203       13.146713       83.328201
             105              17       50.658314             N/A      262.045013      256.379120       27.128475        0.300608        0.020000        2.630541            thin             yes      -64.103189            1388        0.000000      262.803986      255.371994       24.531000       44.696491
             110              40       98.514969             N/A      197.081741      265.725403       52.478741        0.585590        0.020000        2.566419        mushroom             yes      -26.199784            3713        0.426873      199.054642      265.043823       51.451664       79.887283
