hoc_root: /Users/pcoskren-home/Subversion/WearneLab/Publications/LuebkePaper/GeneratedHocFiles
#	name	complete/apical/basal	young/old	x-microns-per-pixel	y-microns-per-pixel	z-microns-per-pixel	swc path	spinefile path	resting potential
Aug3a-all	complete	OLD	.2	.2	.2	Aug3a/Aug3a-total.swc	Aug3a/Aug3a-total.txt	-58.22
Aug3a-apical	apical	OLD	.2	.2	.2	Aug3a/Aug3a-apical.swc	Aug3a/Aug3a-apical-spines.txt	-58.22
Aug3a-basal	basal	OLD	.2	.2	.2	Aug3a/Aug3a-basal.swc	Aug3a/Aug3a-basal-spines.txt	-58.22
Aug3b-all	complete	OLD	.2	.2	.2	Aug3b/Aug3b.swc	Aug3b/Aug3b.txt	-66.0
Aug3b-apical	apical	OLD	.2	.2	.2	Aug3b/Aug3b-apical.swc	Aug3b/Aug3b-spines-apical.txt	-66.0
Aug3b-basal	basal	OLD	.2	.2	.2	Aug3b/Aug3b-basal.swc	Aug3b/Aug3b-spines-basal.txt	-66.0
Aug3c-all	complete	OLD	.2	.2	.2	Aug3c/Aug3c_total.swc	Aug3c/Aug3c-spines.txt	-65.0
Aug3c-apical	apical	OLD	.2	.2	.2	Aug3c/Aug3c_apical.swc	Aug3c/Aug3c-spines-apical.txt	-65.0
Aug3c-basal	basal	OLD	.2	.2	.2	Aug3c/Aug3c_basal.swc	Aug3c/Aug3c-spines-basal.txt	-65.0
Aug3e-all	complete	OLD	.25	.25	.2	Aug3e/Aug3e-total.swc	Aug3e/Aug3e-total.txt	-63.18
Aug3e-apical	apical	OLD	.25	.25	.2	Aug3e/Aug3e-apical.swc	Aug3e/Aug3e-apical-spines.txt	-63.18
Aug3e-basal	basal	OLD	.25	.25	.2	Aug3e/Aug3e-basal.swc	Aug3e/Aug3e-basal-spines.txt	-63.18
Aug3f-all	complete	OLD	.2	.2	.2	Aug3f/Aug3f-total.swc	Aug3f/Aug3f-total.txt	-66.03
Aug3f-apical	apical	OLD	.2	.2	.2	Aug3f/Aug3f-apical.swc	Aug3f/Aug3f-apical-spines.txt	-66.03
Aug3f-basal	basal	OLD	.2	.2	.2	Aug3f/Aug3f-basal.swc	Aug3f/Aug3f-basal-spines.txt	-66.03
Aug3g-all	complete	OLD	.2	.2	.2	Aug3g/Aug3g-total.swc	Aug3g/Aug3g-total.txt	-62.97
Aug3g-apical	apical	OLD	.2	.2	.2	Aug3g/Aug3g-apical.swc	Aug3g/Aug3g-apical-spines.txt	-62.97
Aug3g-basal	basal	OLD	.2	.2	.2	Aug3g/Aug3g-basal.swc	Aug3g/Aug3g-basal-spines.txt	-62.97
Feb27f-apical	apical	OLD	.2	.2	.2	Feb27f/Feb27f_apical.swc	Feb27f/Feb27f_spines_apical.txt	-63.18
Feb27n-all	complete	OLD	.2	.2	.2	Feb27n/Feb27n_all.swc	Feb27n/Feb27n_spines.txt	-62.14
Feb27n-apical	apical	OLD	.2	.2	.2	Feb27n/Feb27n_apical.swc	Feb27n/Feb27n_spines_apical.txt	-62.14
