name,out0Hz,out100Hz,out200Hz,out300Hz,out400Hz,out500Hz,in1Hz,in100Hz,in200Hz,in300Hz,in400Hz,in500Hz
Aug3b-basal,0.023451,0.112543,0.279918,0.437970,0.572343,0.686518,0.393924,1.833930,2.333380,2.600010,2.786050,2.933860
Aug3b-apical,0.094329,0.592210,1.023310,1.340320,1.589920,1.798450,0.637388,2.356870,2.941350,3.308300,3.593530,3.835430
Aug3a-apical,0.105459,0.665490,1.150980,1.504830,1.784100,2.017400,0.658626,2.452630,3.071860,3.458130,3.756490,4.008240
Aug3a-basal,0.035811,0.204412,0.445517,0.641435,0.799291,0.931731,0.616723,2.329380,2.823740,3.095150,3.289720,3.446210
Aug3c-basal,0.029881,0.160464,0.366391,0.543728,0.690809,0.815605,0.496294,2.075410,2.581950,2.868420,3.074280,3.238810
Aug3e-apical,0.323863,1.463820,2.167160,2.687310,3.107330,3.465690,1.053360,3.208300,4.007270,4.525200,4.931870,5.280090
Aug3c-apical,0.242956,1.325830,1.940480,2.363180,2.698390,2.984930,1.144400,3.211940,3.918030,4.387340,4.763110,5.086620
Aug3e-basal,0.031903,0.167480,0.396939,0.598283,0.763235,0.900787,0.617277,2.407490,2.940550,3.225260,3.423080,3.579340
Aug3f-apical,0.284530,1.418120,2.165010,2.733670,3.199410,3.596690,1.143850,3.400540,4.319540,4.944840,5.434820,5.844920
Aug3g-basal,0.025087,0.126604,0.304268,0.464852,0.599370,0.713616,0.488589,2.065780,2.572490,2.843840,3.032000,3.179190
Aug3g-apical,0.126394,0.806042,1.315120,1.683290,1.974120,2.216630,0.608335,2.319620,2.955170,3.357010,3.658710,3.906790
Feb27f-apical,0.211815,1.267660,1.856140,2.252170,2.569450,2.843100,0.681467,2.492550,3.275050,3.816290,4.247760,4.614450
Aug3f-basal,0.027788,0.134601,0.326759,0.505532,0.659225,0.792473,0.589679,2.323550,2.874320,3.178420,3.392790,3.561200
Feb27n-basal,0.029649,0.158536,0.370094,0.551601,0.698511,0.820352,0.582603,2.238520,2.699300,2.934400,3.095470,3.223190
Feb27n-apical,0.131409,0.856408,1.382930,1.740950,2.016690,2.244960,0.836416,2.695050,3.261960,3.615580,3.882860,4.104690
Dec15e-basal,0.050426,0.318399,0.609340,0.820626,0.986986,1.127560,0.946798,2.831320,3.295160,3.580650,3.801900,3.987140
Dec15e-apical,0.244605,1.338840,1.947230,2.364740,2.695230,2.976680,1.360770,3.474860,4.162420,4.638300,5.019810,5.345810
Jun7d-basal,0.083885,0.554708,0.959488,1.239900,1.458990,1.642840,0.908818,2.776640,3.261880,3.572640,3.815160,4.019760
May31d-apical,0.136538,0.840058,1.334060,1.695890,1.992070,2.247480,0.906484,2.794740,3.397910,3.800530,4.123880,4.402850
Jun7d-apical,0.275238,1.475570,2.205170,2.731220,3.154290,3.515090,1.404110,3.512220,4.249370,4.784490,5.224710,5.608080
May31e-basal,0.073689,0.485056,0.850918,1.106340,1.310190,1.484820,0.962104,2.797980,3.281900,3.601740,3.850830,4.057580
May3c-basal,0.042964,0.257613,0.542116,0.761285,0.932602,1.074150,0.607722,2.286630,2.741030,2.984790,3.163110,3.311730
May31e-apical,0.414112,1.935850,2.782040,3.394100,3.894450,4.327330,1.553290,3.893810,4.764390,5.387230,5.900350,6.348240
May3c-apical,0.417219,1.855400,2.629040,3.198430,3.671080,4.083810,1.304570,3.543590,4.358370,4.942370,5.427540,5.852790
May3d-basal,0.032648,0.178711,0.412308,0.610987,0.772236,0.906668,0.527243,2.173600,2.671710,2.931370,3.104910,3.236810
May3d-apical,0.324822,1.709180,2.529130,3.087620,3.522460,3.885760,1.142210,3.341680,4.138570,4.664800,5.082680,5.441450
May3g-basal,0.068479,0.452670,0.834307,1.100610,1.305540,1.475420,1.023000,2.996240,3.443340,3.715760,3.928990,4.109670
May3g-apical,0.475079,2.013220,2.875090,3.497150,4.000230,4.430490,1.614790,4.112730,5.054250,5.725350,6.266000,6.727880
May3h-apical,0.338387,1.624300,2.327820,2.843120,3.266300,3.632730,1.287740,3.456610,4.290410,4.880140,5.359910,5.773780
May3h-basal,0.038171,0.221713,0.477993,0.681802,0.843967,0.979330,0.607781,2.262430,2.770860,3.069110,3.292280,3.476040
May3i-basal,0.034506,0.194092,0.424172,0.615083,0.772215,0.906069,0.529996,2.067150,2.557250,2.835240,3.038890,3.204920
May3i-apical,0.608567,2.333970,3.153770,3.750290,4.238730,4.661160,1.598900,4.261940,5.153210,5.784360,6.307420,6.765320
May3t-basal,0.068760,0.451028,0.798455,1.045750,1.245940,1.418550,0.975332,2.856300,3.329770,3.631520,3.860250,4.048020
May3t-apical,0.317966,1.515960,2.224730,2.719930,3.117990,3.459640,1.506570,3.765450,4.469760,4.960330,5.362880,5.713930
May3x-apical,0.146714,0.885893,1.399110,1.775000,2.082210,2.346410,0.914495,2.739230,3.369560,3.799720,4.145880,4.444130
May3x-basal,0.029960,0.162195,0.369035,0.542843,0.686042,0.808643,0.398967,1.828700,2.332200,2.628020,2.848150,3.026450
May3j-basal,0.115118,0.756631,1.199170,1.489730,1.705980,1.879550,1.035670,2.957020,3.461100,3.725310,3.904640,4.044350
May3j-apical,0.659132,2.473130,3.376550,4.012240,4.521860,4.956280,2.015000,4.643460,5.509700,6.119610,6.622130,7.061710
