radius,numberIntersections,intersectionArea,meanIntersectionDiameter
Aug3b-basal,20.000000,12.000000,5.964487,0.776793
Aug3b-basal,40.000000,18.000000,5.567511,0.592474
Aug3b-basal,60.000000,20.000000,7.045768,0.636526
Aug3b-basal,80.000000,18.000000,6.755965,0.657346
Aug3b-basal,100.000000,14.000000,5.053071,0.635564
Aug3b-basal,120.000000,11.000000,3.375114,0.609868
Aug3b-basal,140.000000,8.000000,2.367657,0.586544
Aug3b-basal,160.000000,2.000000,0.528688,0.573086
Aug3a-apical,20.000000,1.000000,6.111652,2.789551
Aug3a-apical,40.000000,2.000000,4.159813,1.602097
Aug3a-apical,60.000000,5.000000,6.383928,1.205828
Aug3a-apical,80.000000,10.000000,6.351146,0.832130
Aug3a-apical,100.000000,12.000000,7.794313,0.838125
Aug3a-apical,120.000000,15.000000,15.532850,1.028369
Aug3a-apical,140.000000,15.000000,5.961917,0.650921
Aug3a-apical,160.000000,11.000000,6.113983,0.752933
Aug3a-apical,180.000000,11.000000,4.314706,0.668378
Aug3a-apical,200.000000,11.000000,3.812939,0.624255
Aug3a-apical,220.000000,11.000000,3.190463,0.597484
Aug3a-apical,240.000000,10.000000,3.336663,0.616318
Aug3a-apical,260.000000,9.000000,2.915404,0.608541
Aug3a-apical,280.000000,8.000000,2.811084,0.623641
Aug3a-apical,300.000000,7.000000,2.880886,0.681667
Aug3a-apical,320.000000,3.000000,0.739134,0.555449
Aug3a-apical,340.000000,2.000000,0.959733,0.725808
Aug3a-apical,360.000000,1.000000,0.220834,0.530259
Aug3a-apical,380.000000,1.000000,2.744667,1.869390
Aug3a-apical,400.000000,1.000000,0.951622,1.100746
Aug3a-apical,420.000000,1.000000,1.121966,1.195212
Aug3a-apical,440.000000,1.000000,1.363069,1.317389
Aug3b-apical,20.000000,1.000000,5.560925,2.660900
Aug3b-apical,40.000000,3.000000,5.425509,1.381150
Aug3b-apical,60.000000,9.000000,8.206409,0.825723
Aug3b-apical,80.000000,10.000000,5.736726,0.719868
Aug3b-apical,100.000000,11.000000,7.323733,0.727961
Aug3b-apical,120.000000,11.000000,5.466848,0.724858
