name,radius,spineCount,sectionLength,spineDensity
Aug3b-basal,20,70,233.185762,0.300190
Aug3b-basal,40,180,364.039688,0.494452
Aug3b-basal,60,226,402.575377,0.561386
Aug3b-basal,80,234,362.297574,0.645878
Aug3b-basal,100,165,304.546873,0.541789
Aug3b-basal,120,121,224.410645,0.539190
Aug3b-basal,140,81,141.475379,0.572538
Aug3b-basal,160,21,31.518746,0.666270
Aug3a-apical,20,19,16.135699,1.177513
Aug3a-apical,40,44,32.883323,1.338064
Aug3a-apical,60,42,92.795952,0.452606
Aug3a-apical,80,104,182.900602,0.568615
Aug3a-apical,100,141,241.904735,0.582874
Aug3a-apical,120,156,307.851534,0.506738
Aug3a-apical,140,161,295.366024,0.545086
Aug3a-apical,160,104,236.979726,0.438856
Aug3a-apical,180,116,217.359601,0.533678
Aug3a-apical,200,96,208.475987,0.460485
Aug3a-apical,220,78,207.710754,0.375522
Aug3a-apical,240,75,203.135729,0.369211
Aug3a-apical,260,65,181.844906,0.357447
Aug3a-apical,280,67,168.366402,0.397942
Aug3a-apical,300,56,122.873728,0.455752
Aug3a-apical,320,30,58.143958,0.515961
Aug3a-apical,340,27,40.000000,0.675000
Aug3a-apical,360,13,22.730391,0.571922
Aug3a-apical,380,8,20.000000,0.400000
Aug3a-apical,400,9,20.000000,0.450000
Aug3a-apical,420,9,20.000000,0.450000
Aug3a-apical,440,18,20.000000,0.900000
Aug3b-apical,20,4,21.526011,0.185822
Aug3b-apical,40,32,72.982428,0.438462
Aug3b-apical,60,93,170.112808,0.546696
Aug3b-apical,80,144,194.765744,0.739350
Aug3b-apical,100,162,210.936069,0.768005
Aug3b-apical,120,136,217.948903,0.623999
Aug3b-apical,140,145,230.126605,0.630088
Aug3b-apical,160,161,246.366474,0.653498
Aug3b-apical,180,129,251.751565,0.512410
Aug3b-apical,200,89,166.384226,0.534906
Aug3b-apical,220,55,130.047295,0.422923
Aug3b-apical,240,60,97.695430,0.614154
Aug3b-apical,260,49,121.029975,0.404858
Aug3b-apical,280,71,140.000000,0.507143
Aug3b-apical,300,73,126.689999,0.576210
Aug3b-apical,320,41,91.824147,0.446506
Aug3b-apical,340,30,51.761781,0.579578
Aug3b-apical,360,33,40.000000,0.825000
Aug3b-apical,380,31,36.507858,0.849132
Aug3b-apical,400,12,15.929317,0.753328
Aug3a-basal,20,64,210.196588,0.304477
Aug3a-basal,40,210,498.119155,0.421586
Aug3a-basal,60,290,539.438646,0.537596
Aug3a-basal,80,285,485.944841,0.586486
Aug3a-basal,100,243,432.608583,0.561709
Aug3a-basal,120,242,369.211706,0.655451
Aug3a-basal,140,180,332.565230,0.541247
Aug3a-basal,160,103,203.071074,0.507212
Aug3a-basal,180,65,92.738569,0.700895
Aug3c-basal,20,23,234.859006,0.097931
Aug3c-basal,40,122,427.683010,0.285258
Aug3c-basal,60,152,463.997052,0.327588
Aug3c-basal,80,132,409.368013,0.322448
Aug3c-basal,100,103,291.194683,0.353715
Aug3c-basal,120,78,229.256609,0.340230
Aug3c-basal,140,45,152.455943,0.295167
Aug3c-basal,160,22,68.952368,0.319061
Aug3e-basal,20,27,159.520474,0.169257
Aug3e-basal,40,177,532.645868,0.332303
Aug3e-basal,60,350,745.463210,0.469507
Aug3e-basal,80,359,764.838627,0.469380
Aug3e-basal,100,339,670.199307,0.505820
Aug3e-basal,120,318,637.651739,0.498705
Aug3e-basal,140,253,604.145469,0.418773
Aug3e-basal,160,197,487.348894,0.404228
Aug3e-basal,180,117,286.989737,0.407680
Aug3e-basal,200,28,71.160045,0.393479
Aug3e-apical,20,10,20.000000,0.500000
Aug3e-apical,40,7,31.540981,0.221933
Aug3e-apical,60,41,107.099308,0.382822
Aug3e-apical,80,130,205.599396,0.632298
Aug3e-apical,100,189,322.557141,0.585943
Aug3e-apical,120,197,358.781897,0.549080
Aug3e-apical,140,175,352.739846,0.496116
Aug3e-apical,160,123,288.109249,0.426921
Aug3e-apical,180,119,245.118755,0.485479
Aug3e-apical,200,72,157.552157,0.456992
Aug3e-apical,220,62,107.284710,0.577902
Aug3e-apical,240,48,100.000000,0.480000
Aug3e-apical,260,40,100.000000,0.400000
Aug3e-apical,280,28,62.394895,0.448755
Aug3e-apical,300,30,49.166529,0.610171
Aug3e-apical,320,24,60.000000,0.400000
Aug3e-apical,340,23,57.748900,0.398276
Aug3e-apical,360,31,59.959184,0.517018
Aug3e-apical,380,51,96.986515,0.525846
Aug3e-apical,400,57,100.000000,0.570000
Aug3e-apical,420,67,100.881969,0.664142
Aug3e-apical,440,92,120.000000,0.766667
Aug3e-apical,460,72,141.978030,0.507121
Aug3e-apical,480,81,168.171977,0.481650
Aug3e-apical,500,92,174.024961,0.528660
Aug3e-apical,520,91,160.000000,0.568750
Aug3e-apical,540,86,160.000000,0.537500
Aug3e-apical,560,97,175.776794,0.551836
Aug3e-apical,580,102,176.479483,0.577971
Aug3e-apical,600,92,172.400367,0.533642
Aug3e-apical,620,71,98.264326,0.722541
Aug3e-apical,640,31,72.463087,0.427804
Aug3e-apical,660,45,60.386299,0.745202
Aug3e-apical,680,15,20.000000,0.750000
Aug3c-apical,20,0,14.766657,0.000000
Aug3c-apical,40,2,26.967413,0.074164
Aug3c-apical,60,23,93.655006,0.245582
Aug3c-apical,80,53,146.425472,0.361959
Aug3c-apical,100,74,171.999175,0.430235
Aug3c-apical,120,72,188.794599,0.381367
Aug3c-apical,140,108,233.571449,0.462385
Aug3c-apical,160,103,243.660851,0.422719
Aug3c-apical,180,89,239.977781,0.370868
Aug3c-apical,200,87,229.741475,0.378687
Aug3c-apical,220,103,253.102848,0.406949
Aug3c-apical,240,90,270.490140,0.332729
Aug3c-apical,260,98,230.549768,0.425071
Aug3c-apical,280,100,236.670565,0.422528
Aug3c-apical,300,122,280.437715,0.435034
Aug3c-apical,320,127,305.816493,0.415282
Aug3c-apical,340,140,308.492595,0.453820
Aug3c-apical,360,128,264.478722,0.483971
Aug3c-apical,380,122,195.681016,0.623464
Aug3c-apical,400,125,160.124545,0.780642
Aug3c-apical,420,104,163.250564,0.637058
Aug3c-apical,440,88,130.164471,0.676068
Aug3c-apical,460,59,90.018902,0.655418
Aug3c-apical,480,28,55.205194,0.507199
Aug3c-apical,500,7,15.527638,0.450809
Aug3g-apical,20,1,18.462824,0.054163
Aug3g-apical,40,28,62.898887,0.445159
Aug3g-apical,60,107,188.709018,0.567011
Aug3g-apical,80,163,249.330168,0.653752
Aug3g-apical,100,160,265.954451,0.601607
Aug3g-apical,120,148,268.649501,0.550904
Aug3g-apical,140,145,261.464603,0.554568
Aug3g-apical,160,125,214.222751,0.583505
Aug3g-apical,180,81,174.677796,0.463711
Aug3g-apical,200,61,114.809140,0.531317
Aug3g-apical,220,58,120.000000,0.483333
Aug3g-apical,240,80,156.210512,0.512129
Aug3g-apical,260,88,205.031503,0.429202
Aug3g-apical,280,89,213.816263,0.416245
Aug3g-apical,300,95,240.000000,0.395833
Aug3g-apical,320,74,212.756324,0.347816
Aug3g-apical,340,71,180.182918,0.394044
Aug3g-apical,360,50,143.871878,0.347531
Aug3g-apical,380,43,99.925720,0.430320
Aug3g-apical,400,16,52.671242,0.303771
Aug3g-apical,420,6,10.076582,0.595440
Aug3f-basal,20,65,206.466956,0.314820
Aug3f-basal,40,199,554.998387,0.358560
Aug3f-basal,60,350,771.677974,0.453557
Aug3f-basal,80,304,755.500065,0.402382
Aug3f-basal,100,226,603.286219,0.374615
Aug3f-basal,120,193,502.180900,0.384324
Aug3f-basal,140,140,375.783442,0.372555
Aug3f-basal,160,87,259.293541,0.335527
